boss_rank,boss_name
1,WingRaptor
2,Karlabos
3,Siren
4,Magisa & Forza
5,Galura
6,LiquiFlame
7,Sergeant & DeathClaw
8,Ifrit
9,Shiva
10,Byblos
11,Crayclaw
12,Sandworm
13,AdamanTiMi
14,Sol Cannon
15,ArchaeAvis
16,Chim.Brain
17,Puroboros
18,Titan
19,Gilgamesh 1
20,Gilgamesh 2
21,Tyrasaurus
22,Abductor
23,HiryuuPlant
24,Gilgamesh 3 & Enkidou
25,Atmos
26,Guardians
27,Carbunkle
28,Gilgamesh 4
29,Antlion
30,Gargoyles
31,Ramuh
32,Shoat
33,Golem
34,Merugene
35,Stalker
36,Odin
37,"Triton, Neregeid & Phobos"
38,Omniscient
39,Minotauros
40,Leviathan
41,GoGo
42,Bahamut
43,Calofisteri
44,Apanda
45,Apocalypse
46,Catastroph
47,Halicarnaso
48,Twin Tania
49,Necrophobe
