name,hex
Cure,12
Scan,13
Antidote,14
Mute,15
Armor,16
Size,17
Cure2,18
Life,19
Charm,1A
Image,1B
Shell,1C
Heal,1D
Cure3,1E
Wall,1F
Berserk,20
Life2,21
Holy,22
Dispel,23
Fire,24
Ice,25
Bolt,26
Venom,27
Sleep,28
Toad,29
Fire2,2A
Ice2,2B
Bolt2,2C
Drain,2D
Break,2E
Bio,2F
Fire3,30
Ice3,31
Bolt3,32
Flare,33
Doom,34
Psych,35
Drag,36
Slow,37
Regen,38
Void,39
Haste,3A
Float,3B
Demi,3C
Stop,3D
Exit,3E
Comet,3F
Slow2,40
Reset,41
Quarter,42
Haste2,43
Old,44
Meteo,45
Quick,46
XZone,47
Chocobo,48
Sylph,49
Remora,4A
Shiva,4B
Ramuh,4C
Ifrit,4D
Titan,4E
Golem,4F
Shoat,50
Carbuncle,51
Syldra,52
Odin,53
Phoenix,54
Leviathan,55
Bahamut,56
Fight,80
Specialty,81
Condemn,82
Roulette,83
AquaRake,84
L5,85
L4,86
L2,87
L3,88
FrogSong,89
TinySong,8A
Flash,8B
Time,8C
Moonflute,8D
DeathClaw,8E
Aero,8F
Aero2,90
Aero3,91
Emission,92
GoblinPunch,93
DarkShock,94
GuardOff,95
Fusion,96
MindBlast,97
Vampire,98
MagicHammer,99
MightyGuard,9A
Exploder,9B
Question,9C
Blowfish,9D
WhiteWind,9E
Missile,9F
Kurururu,A0
Level,A1
Escape,A2
Stalker,A3
Byblos,A4
No,A5
GrandCross,A6
DeltaAttack,A7
InterceptorRocket,A8
BarrierChange,A9
Nothing,AA
WindSlash,AB
NoDamage,AC
Targeting,AD
Gravity,AE
Darkness,AF
ReaperSword,B0
Punishment,B1
Blaster,B2
Beak,B3
Hug,B4
Spore,B5
PoisonBreath,B6
DanceoftheDead,B7
ZombiePowder,B8
ZombieBreath,B9
Spirit,BA
Allure,BB
Entangle,BC
RainbowWind,BD
StrangeDance,BE
ElectromagneticField,BF
WhiteHole,C0
Needle,C1
Maelstrom,C2
Bone,C3
Tailscrew,C4
StomachAcid,C5
RocketPunch,C6
MustardBomb,C7
Almagest,C8
Quicksand,C9
AtomicRay,CA
MiniBlaze,CB
Snowstorm,CC
Blaze,CD
ElectricShock,CE
EarthShaker,CF
TrueEdge,D0
TidalWave,D1
MegaFlare,D2
SonicWave,D3
Thread,D4
Mucus,D5
Quake,D6
StrongFight,D7
Medicine,D8
Image,D9
BreathWing,DA
Flame,DB
Thunder,DC
SurgeBeam,DD
Fight2,DE
Remedy,DF
ValiantAttack,E0
GigaFlare,E1
Circle,E2
Wormhole,E3
Possess,E4
Dynamo,E5
Magnet,E6
ReversePolarity,E7
Jump,E8
XZone2,E9
Hurricane,EA
DemonEye,EB
Pull,EC
Terminate,ED
