gil_id,power_byte,number_byte,readable_amount,value,max_count,tier
00,02,01,100,1,1,2
01,02,03,300,1,1,2
02,01,0F,150,1,1,2
03,01,63,990,1,1,2
04,03,01,1000,1,1,2
05,03,01,1000,1,1,2
06,03,01,1000,1,1,2
07,01,31,490,1,1,2
08,03,02,2000,1,1,2
09,03,02,2000,1,1,2
0A,03,02,2000,1,1,2
0B,03,05,5000,2,1,4
0C,02,63,9900,2,1,4
0D,03,08,8000,2,1,4
0E,02,2C,4400,1,1,4
0F,02,01,100,1,1,2
10,04,01,10000,2,1,5
11,03,05,5000,2,1,2
12,03,09,9000,2,1,2
13,03,12,18000,3,1,5
14,02,19,2500,1,1,2
15,02,31,4900,1,1,5
16,02,5F,9500,2,1,5
17,03,09,9000,2,1,5
18,03,08,8000,2,1,5
19,04,01,10000,2,1,4
1A,03,0C,12000,3,1,4
1B,03,0C,12000,3,1,4
1C,03,09,9000,2,1,4
1D,03,0C,12000,3,1,5
1E,03,05,5000,2,1,4
1F,04,01,10000,3,1,4
20,03,0F,15000,3,1,5
21,04,02,20000,3,1,7
22,03,19,25000,4,1,7
