"Fire Sword Magic",E77800
"Ice Sword Magic",E77818
"Bolt Sword Magic",E77830
"Venom Sword Magic",E77848
"Mute Sword Magic",E77860
"Sleep Sword Magic",E77878
"Fire2 Sword Magic",E77890
"Ice2 Sword Magic",E778A8
"Bolt2 Sword Magic",E778C0
"Drain Sword Magic",E778D8
"Break Sword Magic",E778F0
"Bio Sword Magic",E77908
"Fire3 Sword Magic",E77920
"Ice3 Sword Magic",E77938
"Bolt3 Sword Magic",E77950
"Holy Sword Magic",E77968
"Flare Sword Magic",E77980
"Psych Sword Magic",E77998
"Cure White Magic",E779B0
"Scan White Magic",E779C8
"Antdt White Magic",E779E0
"Mute White Magic",E779F8
"Armor White Magic",E77A10
"Size White Magic",E77A28
"Cure2 White Magic",E77A40
"Life White Magic",E77A58
"Charm White Magic",E77A70
"Image White Magic",E77A88
"Shell White Magic",E77AA0
"Heal White Magic",E77AB8
"Cure3 White Magic",E77AD0
"Wall White Magic",E77AE8
"Bersk White Magic",E77B00
"Life2 White Magic",E77B18
"Holy White Magic",E77B30
"Dispel White Magic",E77B48
"Fire Black Magic",E77B60
"Ice Black Magic",E77B78
"Bolt Black Magic",E77B90
"Venom Black Magic",E77BA8
"Sleep Black Magic",E77BC0
"Toad Black Magic",E77BD8
"Fire2 Black Magic",E77BF0
"Ice2 Black Magic",E77C08
"Bolt2 Black Magic",E77C20
"Drain Black Magic",E77C38
"Break Black Magic",E77C50
"Bio Black Magic",E77C68
"Fire3 Black Magic",E77C80
"Ice3 Black Magic",E77C98
"Bolt3 Black Magic",E77CB0
"Flare Black Magic",E77CC8
"Doom Black Magic",E77CE0
"Psych Black Magic",E77CF8
"Drag Time Magic",E77D10
"Slow Time Magic",E77D28
"Regen Time Magic",E77D40
"Void Time Magic",E77D58
"Haste Time Magic",E77D70
"Float Time Magic",E77D88
"Demi Time Magic",E77DA0
"Stop Time Magic",E77DB8
"Exit Time Magic",E77DD0
"Comet Time Magic",E77DE8
"Slow2 Time Magic",E77E00
"Reset Time Magic",E77E18
"Qrter Time Magic",E77E30
"Haste2 Time Magic",E77E48
"Old Time Magic",E77E60
"Meteo Time Magic",E77E78
"Quick Time Magic",E77E90
"XZone Time Magic",E77EA8
"Chocob Esper Magic",E77EC0
"Sylph Esper Magic",E77ED8
"Remora Esper Magic",E77EF0
"Shiva Esper Magic",E77F08
"Ramuh Esper Magic",E77F20
"Ifrit Esper Magic",E77F38
"Titan Esper Magic",E77F50
"Golem Esper Magic",E77F68
"Shoat Esper Magic",E77F80
"Crbnkl Esper Magic",E77F98
"Syldra Esper Magic",E77FB0
"Odin Esper Magic",E77FC8
"Phenix Esper Magic",E77FE0
"Levia Esper Magic",E77FF8
"Bahamut Esper Magic",E78010
"Power Song Magic",E78028
"Speed Song Magic",E78040
"Vitality Song Magic",E78058
"Magic Song Magic",E78070
"Hero Song Magic",E78088
"Requiem Song Magic",E780A0
"Love Song Magic",E780B8
"Charm Song Magic",E780D0
"Condemn Blue Magic",E78430
"Roulette Blue Magic",E78448
"AquaRake Blue Magic",E78460
"L5 Doom Blue Magic",E78478
"L4 Qrter Blue Magic",E78490
"L2 Old Blue Magic",E784A8
"L3 Flare Blue Magic",E784C0
"FrogSong Blue Magic",E784D8
"TinySong Blue Magic",E784F0
"Flash Blue Magic",E78508
"Time Slip Blue Magic",E78520
"MoonFlut Blue Magic",E78538
"DethClaw Blue Magic",E78550
"Aero Blue Magic",E78568
"Aero 2 Blue Magic",E78580
"Aero 3 Blue Magic",E78598
"Emission Blue Magic",E785B0
"GblinPnch Blue Magic",E785C8
"DrkShock Blue Magic",E785E0
"GuardOff Blue Magic",E785F8
"Fusion Blue Magic",E78610
"MindBlst Blue Magic",E78628
"Vampire Blue Magic",E78640
"Hammer Blue Magic",E78658
"BigGuard Blue Magic",E78670
"Exploder Blue Magic",E78688
"???? Blue Magic",E786A0
"Blowfish Blue Magic",E786B8
"WhiteWind Blue Magic",E786D0
"Missile Blue Magic",E786E8
