item_id,readable_name,valid,type,subtype,value,max_count,tier,textbox_addr,textmenu_addr,data_addr,shop_addr
00,<blank>,FALSE,dummy,dummy,0,0,0,E75860,D11380,D10000,D12A00
01,Empty,FALSE,dummy,dummy,0,0,0,E75878,D11389,D1000C,D12A02
02,Knife,TRUE,weapon,knife,1,3,1,E75890,D11392,D10018,D12A04
03,Dagger,TRUE,weapon,knife,2,3,2,E758A8,D1139B,D10024,D12A06
04,Mythril Knife,TRUE,weapon,knife,2,3,2,E758C0,D113A4,D10030,D12A08
05,Kunai,TRUE,weapon,knife,3,3,3,E758D8,D113AD,D1003C,D12A0A
06,Mage Masher,TRUE,weapon,knife,3,3,3,E758F0,D113B6,D10048,D12A0C
07,Guardian,TRUE,weapon,knife,4,3,4,E75908,D113BF,D10054,D12A0E
08,Kodachi,TRUE,weapon,knife,5,3,5,E75920,D113C8,D10060,D12A10
09,Orialcon,TRUE,weapon,knife,5,3,5,E75938,D113D1,D1006C,D12A12
0A,Air Knife,TRUE,weapon,knife,6,3,6,E75950,D113DA,D10078,D12A14
0B,Assassin,TRUE,weapon,knife,7,1,7,E75968,D113E3,D10084,D12A16
0C,Hardened,TRUE,weapon,knife,7,1,7,E75980,D113EC,D10090,D12A18
0D,Broadsword,TRUE,weapon,sword,1,3,1,E75998,D113F5,D1009C,D12A1A
0E,RegalCut,TRUE,weapon,sword,1,3,1,E759B0,D113FE,D100A8,D12A1C
0F,Mythril Sword,TRUE,weapon,sword,2,3,2,E759C8,D11407,D100B4,D12A1E
10,Coral Sword,TRUE,weapon,sword,3,3,3,E759E0,D11410,D100C0,D12A20
11,Ancient Sword,TRUE,weapon,sword,3,3,3,E759F8,D11419,D100CC,D12A22
12,Epee Sword,TRUE,weapon,sword,4,3,4,E75A10,D11422,D100D8,D12A24
13,Slumber Sword,TRUE,weapon,sword,4,3,4,E75A28,D1142B,D100E4,D12A26
14,Defender Sword,TRUE,weapon,knightsword,6,3,6,E75A40,D11434,D100F0,D12A28
15,Excalibur,TRUE,weapon,knightsword,7,1,7,E75A58,D1143D,D100FC,D12A2A
16,Ragnarok,TRUE,weapon,knightsword,8,1,8,E75A70,D11446,D10108,D12A2C
17,Javelin,TRUE,weapon,spear,1,3,1,E75A88,D1144F,D10114,D12A2E
18,Spear,TRUE,weapon,spear,2,3,2,E75AA0,D11458,D10120,D12A30
19,Mythril Spear,TRUE,weapon,spear,2,3,2,E75AB8,D11461,D1012C,D12A32
1A,Trident,TRUE,weapon,spear,3,3,3,E75AD0,D1146A,D10138,D12A34
1B,Wind Spear,TRUE,weapon,spear,4,3,4,E75AE8,D11473,D10144,D12A36
1C,Partisan,TRUE,weapon,spear,4,3,4,E75B00,D1147C,D10150,D12A38
1D,Heavy Spear,TRUE,weapon,spear,5,3,5,E75B18,D11485,D1015C,D12A3A
1E,DblLance,TRUE,weapon,spear,5,3,5,E75B30,D1148E,D10168,D12A3C
1F,Holy Lance,TRUE,weapon,spear,7,1,7,E75B48,D11497,D10174,D12A3E
20,Dragoon Lance,TRUE,weapon,spear,8,1,8,E75B60,D114A0,D10180,D12A40
21,Battle Axe,TRUE,weapon,axe,1,3,1,E75B78,D114A9,D1018C,D12A42
22,Mythril Hammer,TRUE,weapon,axe,2,3,2,E75B90,D114B2,D10198,D12A44
23,Ogre Killer,TRUE,weapon,axe,2,3,2,E75BA8,D114BB,D101A4,D12A46
24,War Hammer,TRUE,weapon,axe,3,3,3,E75BC0,D114C4,D101B0,D12A48
25,Venom Axe,TRUE,weapon,axe,3,3,3,E75BD8,D114CD,D101BC,D12A4A
26,Earth Hammer,TRUE,weapon,axe,7,3,7,E75BF0,D114D6,D101C8,D12A4C
