item_id,readable_name,valid,type,subtype,value,max_count,tier,textbox_addr,textmenu_addr,data_addr,byte_data,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12
00,<blank>,FALSE,dummy,dummy,0,0,0,E75860,D11380,D10000,380000000000000000000000,38,00,00,00,00,00,00,00,00,00,00,00
01,Empty,FALSE,dummy,dummy,0,0,0,E75878,D11389,D1000C,388040800000780330080000,38,80,40,80,00,00,78,03,30,08,00,00
02,Knife,TRUE,weapon,knife,1,3,1,E75890,D11392,D10018,008002801604780732000000,00,80,02,80,16,04,78,07,32,00,00,00
03,Dagger,TRUE,weapon,knife,2,3,2,E758A8,D1139B,D10024,008002801604780e32000000,00,80,02,80,16,04,78,0e,32,00,00,00
04,Mythril Knife,TRUE,weapon,knife,2,3,2,E758C0,D113A4,D10030,008002801604781732000000,00,80,02,80,16,04,78,17,32,00,00,00
05,Kunai,TRUE,weapon,knife,3,3,3,E758D8,D113AD,D1003C,008003a01604781d32000000,00,80,03,a0,16,04,78,1d,32,00,00,00
06,Mage Masher,TRUE,weapon,knife,3,3,3,E758F0,D113B6,D10048,00800288160c781f32002115,00,80,02,88,16,0c,78,1f,32,00,21,15
07,Guardian,TRUE,weapon,knife,4,3,4,E75908,D113BF,D10054,008002801644782432000000,00,80,02,80,16,44,78,24,32,00,00,00
08,Kodachi,TRUE,weapon,knife,5,3,5,E75920,D113C8,D10060,008003a01604782e32000000,00,80,03,a0,16,04,78,2e,32,00,00,00
09,Orialcon,TRUE,weapon,knife,5,3,5,E75938,D113D1,D1006C,008002801604782932000000,00,80,02,80,16,04,78,29,32,00,00,00
0A,Air Lance,TRUE,weapon,knife,6,3,6,E75950,D113DA,D10078,008002401604783832400000,00,80,02,40,16,04,78,38,32,40,00,00
0B,Assassin,TRUE,weapon,knife,7,1,7,E75968,D113E3,D10084,008002a0160c785132001934,00,80,02,a0,16,0c,78,51,32,00,19,34
0C,Sasuke,TRUE,weapon,knife,7,1,7,E75980,D113EC,D10090,008003a01684786332000000,00,80,03,a0,16,84,78,63,32,00,00,00
0D,Broadsword,TRUE,weapon,sword,1,3,1,E75998,D113F5,D1009C,008004805504780f31000000,00,80,04,80,55,04,78,0f,31,00,00,00
0E,RegalCut,TRUE,weapon,sword,1,3,1,E759B0,D113FE,D100A8,008004805504781631000000,00,80,04,80,55,04,78,16,31,00,00,00
0F,Mythril Sword,TRUE,weapon,sword,2,3,2,E759C8,D11407,D100B4,008004805504781f31000000,00,80,04,80,55,04,78,1f,31,00,00,00
10,Coral Sword,TRUE,weapon,sword,3,3,3,E759E0,D11410,D100C0,008004805504782531040000,00,80,04,80,55,04,78,25,31,04,00,00
11,Ancient Sword,TRUE,weapon,sword,3,3,3,E759F8,D11419,D100CC,00800480550c782b31002144,00,80,04,80,55,0c,78,2b,31,00,21,44
12,Epee Sword,TRUE,weapon,sword,4,3,4,E75A10,D11422,D100D8,008004805504783931000000,00,80,04,80,55,04,78,39,31,00,00,00
13,Slumber Sword,TRUE,weapon,sword,4,3,4,E75A28,D1142B,D100E4,00800480550c783131003228,00,80,04,80,55,0c,78,31,31,00,32,28
14,Defender Sword,TRUE,weapon,knightsword,6,3,6,E75A40,D11434,D100F0,308005805584166331000000,30,80,05,80,55,84,16,63,31,00,00,00
15,Excalibur,TRUE,weapon,knightsword,7,1,7,E75A58,D1143D,D100FC,008005c75504786e31100000,00,80,05,c7,55,04,78,6e,31,10,00,00
16,Ragnarok,TRUE,weapon,knightsword,8,1,8,E75A70,D11446,D10108,008005805504788c31000000,00,80,05,80,55,04,78,8c,31,00,00,00
17,Javelin,TRUE,weapon,spear,1,3,1,E75A88,D1144F,D10114,388006c01700783733000000,38,80,06,c0,17,00,78,37,33,00,00,00
18,Spear,TRUE,weapon,spear,2,3,2,E75AA0,D11458,D10120,388006a01700781933000000,38,80,06,a0,17,00,78,19,33,00,00,00
19,Mythril Spear,TRUE,weapon,spear,2,3,2,E75AB8,D11461,D1012C,008006801700781e33000000,00,80,06,80,17,00,78,1e,33,00,00,00
1A,Trident,TRUE,weapon,spear,3,3,3,E75AD0,D1146A,D10138,008006801700782633040000,00,80,06,80,17,00,78,26,33,04,00,00
1B,Wind Spear,TRUE,weapon,spear,4,3,4,E75AE8,D11473,D10144,008006801700782c33400000,00,80,06,80,17,00,78,2c,33,40,00,00
