idx,address,original_reward,area,description,reward_style
71,D13212,Broadsword,Wind Shrine,Wind Shrine Chest,chest
72,D13216,Ether,Tule,Beginner's House Chest,chest
73,D1321A,100,Tule,Beginner's House Chest,chest
74,D1321E,Potion,Tule,Beginner's House Chest,chest
75,D13222,Phoenix Down,Tule,Beginner's House Chest,chest
76,D13226,Tent,Tule,Beginner's House Chest,chest
77,D1322A,Leather Shoes,Tule,Beginner's House Chest MIB 1,mib_key
78,D1322E,Leather Cap,Pirate's Cave,Pirate's Cave Chest,chest
79,D13232,Tent,Pirate's Cave,Pirate's Cave Chest,chest
80,D13236,Ether,Pirate's Cave,Pirate's Cave Chest,chest
81,D1323A,300,Pirate's Cave,Pirate's Cave Chest,chest
82,D1323E,Tent,Wind Shrine,Wind Shrine Chest,chest
83,D13242,Leather Cap,Wind Shrine,Wind Shrine Chest,chest
84,D13246,Staff,Wind Shrine,Wind Shrine Chest,chest
85,D1324A,150,Tule,Tule Barrel,chest
86,D1324E,Leather Shoes,Tule,Tule Box,chest
87,D13252,Potion,Tule,Tule Barrel,chest
88,D13256,Tent,Tule,Tule Box,chest
89,D1325A,Phoenix Down,Tule,Tule Bush,chest
90,D1325E,Flail,Ship Graveyard,Ship Graveyard Chest,chest
91,D13262,Phoenix Down,Ship Graveyard,Ship Graveyard Chest,chest
92,D13266,Tent,Ship Graveyard,Ship Graveyard Chest,chest
93,D1326A,990,Ship Graveyard,Ship Graveyard Box,chest
94,D1326E,Potion,Ship Graveyard,Ship Graveyard Chest,chest
95,D13272,Antidote,Ship Graveyard,Ship Graveyard Chest,chest
96,D13276,Antidote,Ship Graveyard,Ship Graveyard Chest,chest
97,D1327A,Phoenix Down,Ship Graveyard,Ship Graveyard Chest,chest
98,D1327E,Antidote,Carwen,Carwen Barrel,chest
99,D13282,Ice Rod,Carwen,Carwen Box,chest
100,D13286,1000,Carwen,Carwen Pot,chest
101,D1328A,Soft,North Mountain,North Mountain Chest,chest
102,D1328E,Phoenix Down,North Mountain,North Mountain Chest,chest
103,D13292,Glasses,Walse,Walse Town Pot,chest
104,D13296,Hi-Potion,Tycoon Castle,Tycoon Castle Pot,chest
105,D1329A,Ether,Tycoon Castle,Tycoon Castle Pot,chest
106,D1329E,Elixir,Tycoon Castle,Tycoon Castle Barrel,chest
107,D132A2,Phoenix Down,Tycoon Castle,Tycoon Castle Barrel,chest
108,D132A6,Cabin,Tycoon Castle,Tycoon Castle Barrel,chest
109,D132AA,Ether,Tycoon Castle,Tycoon Castle Pot,chest
110,D132AE,Elixir,Tycoon Castle,Tycoon Castle Pot,chest
111,D132B2,Phoenix Down,Tycoon Castle,Tycoon Castle Pot,chest
