idx,address,original_reward,area,description,reward_style,event_flag_asar,event_flag_type,event_flag_direction1,event_flag_byte,event_flag_bit,event_flag_direction,note
0,C0FAB2,Knight,Wind Shrine,Wind Crystal,event,"$A2, $17",standard,on,0A16,80,ON,
1,C0FAB4,BlueMage,Wind Shrine,Wind Crystal,event,"$A2, $17",standard,on,0A16,80,ON,
2,C0FAB6,BlackMage,Wind Shrine,Wind Crystal,event,"$A2, $17",standard,on,0A16,80,ON,
3,C0FAB8,WhiteMage,Wind Shrine,Wind Crystal,event,"$A2, $17",standard,on,0A16,80,ON,
4,C0FABA,Monk,Wind Shrine,Wind Crystal,event,"$A2, $17",standard,on,0A16,80,ON,
5,C0FABC,Thief,Wind Shrine,Wind Crystal,event,"$A2, $17",standard,on,0A16,80,ON,
6,C0FABE,Trainer,Karnak,Fire Crystal,event,"$A4, $DB",standard,on,0A4F,08,ON,
7,C0FAC0,Geomancer,Karnak,Fire Crystal,event,"$A4, $DB",standard,on,0A4F,08,ON,
8,C0FAC2,Ninja,Karnak,Fire Crystal,event,"$A4, $DB",standard,on,0A4F,08,ON,
9,C0FAC4,Bard,Crescent Island,Black Choco Crystals,event,"$A2, $A8",standard,on,0A29,01,ON,
10,C0FAC6,Hunter,Crescent Island,Black Choco Crystals,event,"$A2, $A8",standard,on,0A29,01,ON,
11,C0FAC8,Samurai,Flying Lonka Ruins,Earth Crystal,event,"$A4, $DE",standard,on,0A4F,40,ON,
12,C0FACA,Dragoon,Flying Lonka Ruins,Earth Crystal,event,"$A4, $DE",standard,on,0A4F,40,ON,
13,C0FACC,Chemist,Flying Lonka Ruins,Earth Crystal,event,"$A4, $DE",standard,on,0A4F,40,ON,
14,C0FACE,Dancer,Flying Lonka Ruins,Earth Crystal,event,"$A4, $DE",standard,on,0A4F,40,ON,
15,C0FAD0,Levia,Istory Falls,Leviathan Esper,event,"$A2, $0E ",standard,on,0A15,40,ON,
16,C0FAD2,Titan,Karnak,Titan,event,"$A2, $50",standard,on,0A1E,01,ON,
17,C0FAD4,Crbnkl,Exdeath's Castle,Carbuncle,event,"$CB, $87, $01",npc,off,0A84,80,OFF,
18,C0FAD6,Syldra,Pirate's Cave,Syldra,event,"$A4, $4F  ",standard,on,0A3D,80,ON,
19,C0FAD8,Odin,Bal Castle,Odin,event,"$CB, $2F, $00",npc,off,0A59,80,OFF,
20,C0FADA,Phenix,Phoenix Tower,Phoenix,event,"$A2, $96",standard,on,0A26,40,ON,
21,C0FADC,Bahmut,Hiryuu Valley,Bahamut,event,"$A2, $D4",standard,on,0A2E,10,ON,
22,C0FADE,Vitality,Crescent Island,Life Song,event,"$A2, $D0",standard,on,0A2E,01,ON,
