arch_id,name,item_type,item_id
100,Knight Crystal,Crystal,00
101,Monk Crystal,Crystal,01
102,Thief Crystal,Crystal,02
103,Dragoon Crystal,Crystal,03
104,Ninja Crystal,Crystal,04
105,Samurai Crystal,Crystal,05
106,Berserker Crystal,Crystal,06
107,Hunter Crystal,Crystal,07
108,MysticKnight Crystal,Crystal,08
109,WhiteMage Crystal,Crystal,09
110,BlackMage Crystal,Crystal,0A
111,TimeMage Crystal,Crystal,0B
112,Summoner Crystal,Crystal,0C
113,BlueMage Crystal,Crystal,0D
114,RedMage Crystal,Crystal,0E
115,Trainer Crystal,Crystal,0F
116,Chemist Crystal,Crystal,10
117,Geomancer Crystal,Crystal,11
118,Bard Crystal,Crystal,12
119,Dancer Crystal,Crystal,13
120,Mimic Crystal,Crystal,14
121,Freelancer Crystal,Crystal,15
201,Ice Sword Magic,Magic,01
202,Bolt Sword Magic,Magic,02
203,Venom Sword Magic,Magic,03
204,Mute Sword Magic,Magic,04
205,Sleep Sword Magic,Magic,05
206,Fire2 Sword Magic,Magic,06
207,Ice2 Sword Magic,Magic,07
208,Bolt2 Sword Magic,Magic,08
209,Drain Sword Magic,Magic,09
210,Break Sword Magic,Magic,0A
211,Bio Sword Magic,Magic,0B
212,Fire3 Sword Magic,Magic,0C
213,Ice3 Sword Magic,Magic,0D
214,Bolt3 Sword Magic,Magic,0E
215,Holy Sword Magic,Magic,0F
216,Flare Sword Magic,Magic,10
217,Psych Sword Magic,Magic,11
218,Cure White Magic,Magic,12
219,Scan White Magic,Magic,13
220,Antdt White Magic,Magic,14
221,Mute White Magic,Magic,15
222,Armor White Magic,Magic,16
223,Size White Magic,Magic,17
224,Cure2 White Magic,Magic,18
225,Life White Magic,Magic,19
226,Charm White Magic,Magic,1A
227,Image White Magic,Magic,1B
228,Shell White Magic,Magic,1C
229,Heal White Magic,Magic,1D
230,Cure3 White Magic,Magic,1E
231,Wall White Magic,Magic,1F
232,Bersk White Magic,Magic,20
233,Life2 White Magic,Magic,21
234,Holy White Magic,Magic,22
235,Dispel White Magic,Magic,23
236,Fire Black Magic,Magic,24
237,Ice Black Magic,Magic,25
238,Bolt Black Magic,Magic,26
239,Venom Black Magic,Magic,27
240,Sleep Black Magic,Magic,28
241,Toad Black Magic,Magic,29
242,Fire2 Black Magic,Magic,2A
243,Ice2 Black Magic,Magic,2B
244,Bolt2 Black Magic,Magic,2C
245,Drain Black Magic,Magic,2D
246,Break Black Magic,Magic,2E
247,Bio Black Magic,Magic,2F
248,Fire3 Black Magic,Magic,30
249,Ice3 Black Magic,Magic,31
250,Bolt3 Black Magic,Magic,32
251,Flare Black Magic,Magic,33
252,Doom Black Magic,Magic,34
253,Psych Black Magic,Magic,35
255,Slow Time Magic,Magic,37
256,Regen Time Magic,Magic,38
257,Void Time Magic,Magic,39
258,Haste Time Magic,Magic,3A
259,Float Time Magic,Magic,3B
260,Demi Time Magic,Magic,3C
261,Stop Time Magic,Magic,3D
263,Comet Time Magic,Magic,3F
264,Slow2 Time Magic,Magic,40
265,Reset Time Magic,Magic,41
266,Qrter Time Magic,Magic,42
267,Hast2 Time Magic,Magic,43
268,Old Time Magic,Magic,44
269,Meteo Time Magic,Magic,45
270,Quick Time Magic,Magic,46
271,Xzone Time Magic,Magic,47
272,Chocob Esper Magic,Magic,48
273,Sylph Esper Magic,Magic,49
274,Remora Esper Magic,Magic,4A
275,Shiva Esper Magic,Magic,4B
276,Ramuh Esper Magic,Magic,4C
277,Ifrit Esper Magic,Magic,4D
278,Titan Esper Magic,Magic,4E
279,Golem Esper Magic,Magic,4F
280,Shoat Esper Magic,Magic,50
281,Crbnkl Esper Magic,Magic,51
282,Syldra Esper Magic,Magic,52
283,Odin Esper Magic,Magic,53
284,Phenix Esper Magic,Magic,54
285,Levia Esper Magic,Magic,55
286,Bahmut Esper Magic,Magic,56
287,Power Song Magic,Magic,57
288,Speed Song Magic,Magic,58
289,Vitality Song Magic,Magic,59
290,Magic Song Magic,Magic,5A
291,Hero Song Magic,Magic,5B
292,Requiem Song Magic,Magic,5C
293,Love Song Magic,Magic,5D
294,Charm Song Magic,Magic,5E
295,Condemn Blue Magic,Magic,82
296,Roulette Blue Magic,Magic,83
297,AquaRake Blue Magic,Magic,84
298,L5 Doom Blue Magic,Magic,85
