area_id,area_name,capacity,order,num_checks,vanilla_capacity
30,Crescent Island,20,10,5,9
12,Bal Castle,20,12,4,9
16,Ruined City,20,11,3,8
3,Pyramid,70,17,28,70
29,Barrier Tower,20,14,4,7
31,North Mountain,20,5,3,6
19,Kelb,20,8,2,6
26,Mirage Village,20,20,1,5
10,Istory Falls,44,20,17,44
27,Karnak,42,7,19,42
24,Surgate Castle,20,13,3,4
2,Rugor,20,20,1,4
23,Exdeath's Castle,37,16,16,37
21,Moogle Village,36,15,9,12
4,Kuzar,35,21,12,35
8,Tule,32,3,11,16
6,Solitary Island,31,19,14,31
9,Flying Lonka Ruins,30,12,15,30
20,Wind Shrine,28,2,11,14
17,Tycoon Castle,28,5,14,28
15,Walse,27,6,18,27
0,Steamship,24,8,10,24
1,Carwen,20,5,3,4
34,Jacole,20,5,2,4
14,Lix,20,10,1,2
33,Pirate's Cave,20,1,6,7
7,Mua,20,15,12,20
18,Void,20,23,5,17
13,Fork Tower,20,18,6,16
28,Great Trench,20,20,6,14
5,Phoenix Tower,1000,20,11,14
22,Ship Graveyard,20,4,8,12
11,Hiryuu Valley,20,13,8,12
32,Ancient Library,20,9,5,11
25,Rift,1000,22,17,49
