item_id,readable_name,valid,type,subtype,value,max_count,tier,byte_data,addr,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12
6F,L. Hand,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D10534,38,80,40,80,00,00,78,00,00,00,00,00
70,R. Hand,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D10540,38,80,40,80,00,00,78,00,00,00,00,00
71,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D1054C,38,80,40,80,00,00,78,00,00,00,00,00
72,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D10558,38,80,40,80,00,00,78,00,00,00,00,00
73,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D10564,38,80,40,80,00,00,78,00,00,00,00,00
74,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D10570,38,80,40,80,00,00,78,00,00,00,00,00
75,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D1057C,38,80,40,80,00,00,78,00,00,00,00,00
76,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D10588,38,80,40,80,00,00,78,00,00,00,00,00
77,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D10594,38,80,40,80,00,00,78,00,00,00,00,00
78,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D105A0,38,80,40,80,00,00,78,00,00,00,00,00
79,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D105AC,38,80,40,80,00,00,78,00,00,00,00,00
7A,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D105B8,38,80,40,80,00,00,78,00,00,00,00,00
7B,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D105C4,38,80,40,80,00,00,78,00,00,00,00,00
7C,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D105D0,38,80,40,80,00,00,78,00,00,00,00,00
7D,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D105DC,38,80,40,80,00,00,78,00,00,00,00,00
7E,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D105E8,38,80,40,80,00,00,78,00,00,00,00,00
7F,<dummy>,FALSE,dummy,dummy,0,0,0,388040800000780000000000,D105F4,38,80,40,80,00,00,78,00,00,00,00,00
80,<blank>,FALSE,dummy,dummy,0,0,0,000000000000000000000000,D10600,00,00,00,00,00,00,00,00,00,00,00,00
81,Leather Shield,TRUE,armor,shield,1,3,1,0802118000000a0000000000,D1060C,08,02,11,80,00,00,0a,00,00,00,00,00
82,Bronze Shield,TRUE,armor,shield,2,3,2,0805118000000f0100000000,D10618,08,05,11,80,00,00,0f,01,00,00,00,00
83,Iron Shield,TRUE,armor,shield,2,3,2,080511800000140200000000,D10624,08,05,11,80,00,00,14,02,00,00,00,00
84,Mythril Shield,TRUE,armor,shield,3,3,3,080511800000190300000000,D10630,08,05,11,80,00,00,19,03,00,00,00,00
85,Golden Shield,TRUE,armor,shield,4,3,4,0805118000001e0400000000,D1063C,08,05,11,80,00,00,1e,04,00,00,00,00
86,Aegis Shield,TRUE,armor,shield,5,1,5,080411880080210500000004,D10648,08,04,11,88,00,80,21,05,00,00,00,04
87,Diamond Shield,TRUE,armor,shield,6,3,6,080511800000230600000100,D10654,08,05,11,80,00,00,23,06,00,00,01,00
88,Crystal Shield,TRUE,armor,shield,7,3,7,0805118000002d0800000000,D10660,08,05,11,80,00,00,2d,08,00,00,00,00
89,Leather Cap,TRUE,armor,helm,1,3,1,040101800000000100010000,D1066C,04,01,01,80,00,00,00,01,00,01,00,00
8A,Bronze Helm,TRUE,armor,helm,2,3,2,040412800000000200020000,D10678,04,04,12,80,00,00,00,02,00,02,00,00
8B,Iron Helm,TRUE,armor,helm,2,3,2,040412800000000400020000,D10684,04,04,12,80,00,00,00,04,00,02,00,00
8C,Mythril Helm,TRUE,armor,helm,2,3,2,040412800000000600020000,D10690,04,04,12,80,00,00,00,06,00,02,00,00
8D,Golden Helm,TRUE,armor,helm,3,3,3,040412800000000800020000,D1069C,04,04,12,80,00,00,00,08,00,02,00,00
8E,Diamond Helm,TRUE,armor,helm,5,3,5,040412800000000a00020100,D106A8,04,04,12,80,00,00,00,0a,00,02,01,00
8F,Crystal Helm,TRUE,armor,helm,7,3,7,040412800000000d00020000,D106B4,04,04,12,80,00,00,00,0d,00,02,00,00
90,Plumed Hat,TRUE,armor,helm,1,3,1,040201800000000205020000,D106C0,04,02,01,80,00,00,00,02,05,02,00,00
91,Tricorn Hat,TRUE,armor,helm,2,3,2,040214880000000405020000,D106CC,04,02,14,88,00,00,00,04,05,02,00,00
92,Magus,TRUE,armor,helm,3,3,3,040214890000000605020000,D106D8,04,02,14,89,00,00,00,06,05,02,00,00
93,Circlet,TRUE,armor,helm,3,3,3,0402148a0000000a05020000,D106E4,04,02,14,8a,00,00,00,0a,05,02,00,00
94,Gold Hairpin,TRUE,armor,helm,4,2,4,040214801c08000005020000,D106F0,04,02,14,80,1c,08,00,00,05,02,00,00
95,Ribbon,TRUE,armor,helm,4,2,4,040215ff2100000c05020005,D106FC,04,02,15,ff,21,00,00,0c,05,02,00,05
96,Bandana,TRUE,armor,helm,1,3,1,040213c20000000600000000,D10708,04,02,13,c2,00,00,00,06,00,00,00,00
97,GrnBeret,TRUE,armor,helm,2,3,2,040213e00000000300020000,D10714,04,02,13,e0,00,00,00,03,00,02,00,00
98,DarkHood,TRUE,armor,helm,3,3,3,040013a10000000c00020000,D10720,04,00,13,a1,00,00,00,0c,00,02,00,00
99,Lamia's Tiara,TRUE,armor,helm,4,3,4,0402148a000400030a070006,D1072C,04,02,14,8a,00,04,00,03,0a,07,00,06
9A,Leather Armor,TRUE,armor,armor,1,3,1,020201800000000100010000,D10738,02,02,01,80,00,00,00,01,00,01,00,00
9B,Bronze Armor,TRUE,armor,armor,2,3,2,020816800000000400020000,D10744,02,08,16,80,00,00,00,04,00,02,00,00
9C,Iron Armor,TRUE,armor,armor,2,3,2,020816800000000600020000,D10750,02,08,16,80,00,00,00,06,00,02,00,00
