idx,enemy_name,enemy_rank,tier,loc_name,boss_rank,num_gauge_time,num_phys_power,num_phys_mult,num_evade,num_phys_def,num_mag_power,num_mag_def,num_mag_evade,num_mp,ai_starting_address,ai_write_loc,ai_skills,ai_hp_write_loc,ai_hp_mult
256,WingRaptor,boss,1,WingRaptor,1,19,11,2,0,3,1,3,3,11,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Karlabos,2,20,14,2,1,4,1,4,4,12,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Siren,3,20,17,3,1,5,1,4,4,12,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Magisa & Forza,4,21,20,3,1,5,1,4,4,13,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Galura,5,22,22,3,1,6,1,5,5,14,D0B045,[],[],[],[]
256,WingRaptor,boss,1,LiquiFlame,6,23,25,3,2,7,1,5,5,15,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Sergeant & DeathClaw,7,23,28,4,2,8,1,5,5,15,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Ifrit,8,24,31,4,2,9,1,6,6,16,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Shiva,9,25,34,4,2,10,1,6,6,17,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Byblos,10,26,37,4,3,11,1,6,6,18,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Crayclaw,11,26,40,5,3,11,1,7,7,19,D0B045,[],[],[],[]
256,WingRaptor,boss,1,Sandworm,12,27,43,5,3,12,1,7,7,19,D0B045,[],[],[],[]
256,WingRaptor,boss,2,AdamanTiMi,13,28,46,5,3,13,1,7,7,20,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Sol Cannon,14,29,49,5,4,14,1,8,8,21,D0B045,[],[],[],[]
256,WingRaptor,boss,2,ArchaeAvis,15,29,51,6,4,15,1,8,8,22,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Chim.Brain,16,30,54,6,4,16,1,8,8,22,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Puroboros,17,31,57,6,5,17,1,9,9,23,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Titan,18,32,60,6,5,17,1,9,9,24,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Gilgamesh 1,19,32,63,7,5,18,1,9,9,25,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Gilgamesh 2,20,33,66,7,5,19,1,10,10,26,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Tyrasaurus,21,34,69,7,6,20,1,10,10,26,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Abductor,22,35,72,7,6,21,1,10,10,27,D0B045,[],[],[],[]
256,WingRaptor,boss,2,HiryuuPlant,23,35,75,8,6,22,1,11,11,28,D0B045,[],[],[],[]
256,WingRaptor,boss,2,Gilgamesh 3 & Enkidou,24,36,78,8,6,23,1,11,11,29,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Atmos,25,37,80,8,7,23,1,11,11,29,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Guardians,26,38,83,8,7,24,1,11,11,30,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Carbunkle,27,38,86,9,7,25,1,12,12,31,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Gilgamesh 4,28,39,89,9,7,26,1,12,12,32,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Antlion,29,40,92,9,8,27,1,12,12,32,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Gargoyles,30,41,95,9,8,28,1,13,13,33,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Ramuh,31,41,98,10,8,29,1,13,13,34,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Shoat,32,42,101,10,8,29,1,13,13,35,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Golem,33,43,104,10,9,30,1,14,14,36,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Merugene,34,44,107,10,9,31,1,14,14,36,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Stalker,35,44,109,11,9,32,1,14,14,37,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Odin,36,45,112,11,10,33,1,15,15,38,D0B045,[],[],[],[]
256,WingRaptor,boss,3,"Triton, Neregeid & Phobos",37,46,115,11,10,34,1,15,15,39,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Omniscient,38,47,118,11,10,35,1,15,15,39,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Minotauros,39,47,121,12,10,35,1,16,16,40,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Leviathan,40,48,124,12,11,36,1,16,16,41,D0B045,[],[],[],[]
256,WingRaptor,boss,3,GoGo,41,49,127,12,11,37,1,16,16,42,D0B045,[],[],[],[]
256,WingRaptor,boss,3,Bahamut,42,50,130,12,11,38,1,17,17,43,D0B045,[],[],[],[]
256,WingRaptor,boss,4,Calofisteri,43,50,133,13,11,39,1,17,17,43,D0B045,[],[],[],[]
256,WingRaptor,boss,4,Apanda,44,51,136,13,12,40,1,17,17,44,D0B045,[],[],[],[]
256,WingRaptor,boss,4,Apocalypse,45,52,138,13,12,41,1,18,18,45,D0B045,[],[],[],[]
256,WingRaptor,boss,4,Catastroph,46,53,141,13,12,41,1,18,18,46,D0B045,[],[],[],[]
256,WingRaptor,boss,4,Halicarnaso,47,53,144,14,12,42,1,18,18,46,D0B045,[],[],[],[]
256,WingRaptor,boss,4,Twin Tania,48,54,147,14,13,43,1,19,19,47,D0B045,[],[],[],[]
256,WingRaptor,boss,4,Necrophobe,49,55,150,14,13,44,1,19,19,48,D0B045,[],[],[],[]
257,WingRaptor,boss,1,WingRaptor,1,19,11,2,16,12,1,3,3,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Karlabos,2,20,14,3,17,14,1,4,4,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Siren,3,20,17,3,19,15,1,4,4,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Magisa & Forza,4,21,20,4,20,17,1,4,4,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Galura,5,22,22,4,21,19,1,5,5,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,LiquiFlame,6,23,25,4,22,21,1,5,5,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Sergeant & DeathClaw,7,23,28,5,23,22,1,5,5,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Ifrit,8,24,31,5,24,24,1,6,6,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Shiva,9,25,34,6,26,26,1,6,6,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Byblos,10,26,37,6,27,28,1,6,6,0,D0B049,[],[],[],[]
257,WingRaptor,boss,1,Crayclaw,11,26,40,6,28,29,1,7,7,0,D0B049,[],[],[],[]
