index,weapon_name_menu,weapon_name_textbox,weapon_str,weapon_type,tier,magic_id,magic_type,killer_type,ability,ability_id,adjustment_type,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,byte9,byte10,byte11,byte12
0,<Knif>Cure,Cure Knife,6,knife,1,12,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
1,<Knif>Scan,Scan Knife,9,knife,1,13,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
2,<Knif>Antdt,Antdt Knife,12,knife,1,14,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
3,<Knif>Mute,Mute Knife,15,knife,1,15,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
4,<Knif>Armor,Armor Knife,18,knife,1,16,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
5,<Knif>Size,Size Knife,21,knife,1,17,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
6,<Knif>Cure2,Cure2 Knife,24,knife,2,18,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
7,<Knif>Life,Life Knife,27,knife,2,19,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
8,<Knif>Charm,Charm Knife,30,knife,2,1A,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
9,<Knif>Image,Image Knife,33,knife,2,1B,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
10,<Knif>Shell,Shell Knife,36,knife,2,1C,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
11,<Knif>Heal,Heal Knife,39,knife,3,1D,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
12,<Knif>Cure3,Cure3 Knife,42,knife,4,1E,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
13,<Knif>Wall,Wall Knife,45,knife,3,1F,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
14,<Knif>Bersk,Bersk Knife,48,knife,3,20,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
15,<Knif>Life2,Life2 Knife,51,knife,4,21,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
16,<Knif>Holy,Holy Knife,54,knife,7,22,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
17,<Knif>Dispel,Dispel Knife,57,knife,3,23,White,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
18,<Knif>Fire,Fire Knife,37,knife,1,24,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
19,<Knif>Ice,Ice Knife,37,knife,1,25,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
20,<Knif>Bolt,Bolt Knife,37,knife,1,26,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
21,<Knif>Venom,Venom Knife,49,knife,1,27,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
22,<Knif>Sleep,Sleep Knife,50,knife,1,28,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
23,<Knif>Toad,Toad Knife,52,knife,1,29,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
24,<Knif>Fire2,Fire2 Knife,58,knife,2,2A,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
25,<Knif>Ice2,Ice2 Knife,58,knife,2,2B,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
26,<Knif>Bolt2,Bolt2 Knife,58,knife,2,2C,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
27,<Knif>Drain,Drain Knife,66,knife,2,2D,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
28,<Knif>Break,Break Knife,73,knife,3,2E,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
29,<Knif>Bio,Bio Knife,73,knife,3,2F,Black,,,,spell,00,80,02,80,16,04,78,00,32,00,00,00
