item_id,readable_name,valid,type,subtype,value,max_count,tier,related_jobs
00,<blank>,FALSE,dummy,dummy,0,0,0,[]
01,Empty,FALSE,dummy,dummy,0,0,0,[]
02,Knife,TRUE,weapon,knife,1,3,1,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
03,Dagger,TRUE,weapon,knife,2,3,2,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
04,Mythril Knife,TRUE,weapon,knife,2,3,2,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
05,Kunai,TRUE,weapon,knife,3,3,3,[“Ninja”]
06,Mage Masher,TRUE,weapon,knife,3,3,3,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
07,Guardian,TRUE,weapon,knife,4,3,4,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
08,Kodachi,TRUE,weapon,knife,5,3,5,[“Ninja”]
09,Orialcon,TRUE,weapon,knife,5,3,5,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
0A,Air Lance,TRUE,weapon,knife,6,3,6,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
0B,Assassin,TRUE,weapon,knife,7,1,7,"[""Knight"", ""Thief"", ""Dragoon"", ""Ninja"", ""Samurai"", ""Berserker"", ""Hunter"", ""MysticKnight"", ""BlackMage"", ""TimeMage"", ""Summoner"", ""Blue Mage"", ""Red Mage"", ""Mediator"", ""Chemist"", ""Geomancer"", ""Bard"", ""Dancer"", ""Mimic""]"
0C,Sasuke,TRUE,weapon,knife,7,1,7,[“Ninja”]
0D,Broadsword,TRUE,weapon,sword,1,3,1,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
0E,RegalCut,TRUE,weapon,sword,1,3,1,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
0F,Mythril Sword,TRUE,weapon,sword,2,3,2,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
10,Coral Sword,TRUE,weapon,sword,3,3,3,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
11,Ancient Sword,TRUE,weapon,sword,3,3,3,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
12,Epee Sword,TRUE,weapon,sword,4,3,4,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
13,Slumber Sword,TRUE,weapon,sword,4,3,4,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
14,Defender Sword,TRUE,weapon,knightsword,6,3,6,[“Knight”]
15,Excalibur,TRUE,weapon,knightsword,7,1,7,"[""Knight"", ""MysticKnight"", ""BlueMage"", ""RedMage""]"
16,Ragnarok,TRUE,weapon,knightsword,8,1,8,[“Knight”]
17,Javelin,TRUE,weapon,spear,1,3,1,[“Dragoon”]
18,Spear,TRUE,weapon,spear,2,3,2,[“Dragoon”]
19,Mythril Spear,TRUE,weapon,spear,2,3,2,[“Dragoon”]
1A,Trident,TRUE,weapon,spear,3,3,3,[“Dragoon”]
1B,Wind Spear,TRUE,weapon,spear,4,3,4,[“Dragoon”]
1C,Partisan,TRUE,weapon,spear,4,3,4,[“Dragoon”]
1D,Gungnir,TRUE,weapon,spear,5,3,5,[“Dragoon”]
1E,DblLance,TRUE,weapon,spear,4,3,4,"[“Thief”, “Ninja”, “Mimic”]"
1F,Holy Lance,TRUE,weapon,spear,7,1,7,[“Dragoon”]
20,Dragoon Lance,TRUE,weapon,spear,8,1,8,[“Dragoon”]
21,Battle Axe,TRUE,weapon,axe,1,3,1,[“Berserker”]
22,Mythril Hammer,TRUE,weapon,axe,2,3,2,[“Berserker”]
23,Ogre Killer,TRUE,weapon,axe,2,3,2,[“Berserker”]
24,War Hammer,TRUE,weapon,axe,3,3,3,[“Berserker”]
25,Venom Axe,TRUE,weapon,axe,3,3,3,[“Berserker”]
26,Earth Hammer,TRUE,weapon,axe,7,3,7,[“Berserker”]
27,Rune Axe,TRUE,weapon,axe,7,3,7,[“Berserker”]
28,Thor Hammer,TRUE,weapon,axe,7,1,7,[“Berserker”]
29,Katana,TRUE,weapon,katana,1,3,1,[“Samurai”]
2A,Air Blade,TRUE,weapon,katana,2,3,2,[“Samurai”]
2B,Kotetsu,TRUE,weapon,katana,3,3,3,[“Samurai”]
2C,Bizen,TRUE,weapon,katana,4,3,4,[“Samurai”]
2D,Forged,TRUE,weapon,katana,4,3,4,[“Samurai”]
2E,Murasume,TRUE,weapon,katana,6,1,6,[“Samurai”]
2F,Masamune,TRUE,weapon,katana,7,1,7,[“Samurai”]
30,Tempest,TRUE,weapon,katana,7,1,7,[“Samurai”]
31,Rod,TRUE,weapon,rod,1,3,1,"[“BlackMage”, “TimeMage”, “Summoner”, “RedMage”, “Mimic”]"
32,Fire Rod,TRUE,weapon,rod,3,3,3,"[“BlackMage”, “TimeMage”, “Summoner”, “RedMage”, “Mimic”]"
33,Ice Rod,TRUE,weapon,rod,3,3,3,"[“BlackMage”, “TimeMage”, “Summoner”, “RedMage”, “Mimic”]"
34,Thunder Rod,TRUE,weapon,rod,3,3,3,"[“BlackMage”, “TimeMage”, “Summoner”, “RedMage”, “Mimic”]"
35,Venom Rod,TRUE,weapon,rod,3,3,3,"[“BlackMage”, “TimeMage”, “Summoner”, “RedMage”, “Mimic”]"
36,Lillith Rod,TRUE,weapon,rod,4,3,4,"[“BlackMage”, “TimeMage”, “Summoner”, “RedMage”, “Mimic”]"
37,Wizard Rod,TRUE,weapon,rod,4,3,4,"[“BlackMage”, “TimeMage”, “Summoner”, “RedMage”, “Mimic”]"
38,Staff,TRUE,weapon,staff,1,3,1,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
39,Mythril Staff,TRUE,weapon,staff,2,3,2,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
3A,Power Staff,TRUE,weapon,staff,3,3,3,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
3B,Healing Staff,TRUE,weapon,staff,3,3,3,"[“WhiteMage”, “TimeMage”, “RedMage”, “Chemist”, “Mimic”]"
