idx,enemy_list,hp,rank
1,Goblin,16,1
15,White Snake,25,1
10,"Dearo, Dearo",32,1
2,"Killer Bee, Killer Bee",40,1
8,"Steel Bat, Steel Bat",40,1
12,"Stroper, Stroper",40,1
14,"Black Goblin, Black Goblin",40,1
16,"White Snake, Black Goblin",45,1
20,"ManiWizard, White Snake",45,1
3,"Goblin, Goblin, Goblin",48,1
4,"Killer Bee, Killer Bee, Goblin",56,1
9,"Steel Bat, Steel Bat, Dearo",56,1
5,"Nut Eater, Nut Eater, Nut Eater",60,1
11,"Steel Bat, Steel Bat, Steel Bat",60,1
13,"Stroper, Stroper, Steel Bat",60,1
18,"Mold Wind, Mold Wind, Mold Wind",60,1
19,"ManiWizard, Mold Wind, Black Goblin",60,1
21,"ManiWizard, ManiWizard, ManiWizard",60,1
17,"Mold Wind, Black Goblin, White Snake",65,1
36,Skeleton,70,1
410,"Sea Avis, Sea Avis, Sea Avis",75,1
6,"Stray Cat, Stray Cat, Stray Cat, Stray Cat",80,1
7,"Stray Cat, Killer Bee, Nut Eater, Stray Cat",80,1
26,Gatlings,80,1
436,Wild Nack,95,1
23,"Sucker, Sucker",100,1
47,Gala Cat,100,1
50,Cockatrice,100,1
22,"Octoraken, Octoraken",120,1
32,Bander S.,120,1
39,UndeadRusk,130,1
90,Karnak,140,1
24,"Sucker, Sucker, Octoraken",160,1
25,"Octoraken, Octoraken, Sucker",170,1
31,"Bighorn, Bighorn",180,1
28,"Tatu, Tatu",200,1
52,"Cockatrice, Cockatrice",200,1
60,Wyvern,200,1
182,"Sting Eagle, Sting Eagle",200,1
33,"Bander S., Bighorn",210,1
37,"Skeleton, Skeleton, Skeleton",210,1
41,"UndeadRusk, PsychoHead",220,1
211,"GajraGajri, GajraGajri, GajraGajri",225,1
44,"PsychoHead, Carcurser, Skeleton",235,1
46,"RockGarter, RockGarter",240,1
27,"Gatlings, Gatlings, Bighorn",250,2
53,"Blocks, Blocks, Blocks, Blocks, Blocks",250,2
