idx,idx_hex,enemy_name,enemy_rank,stats_address,drops_address,name_address,enemy_name_python,unique_name,num_gauge_time,num_phys_power,num_phys_mult,num_evade,num_phys_def,num_mag_power,num_mag_def,num_mag_evade,num_hp,num_mp,num_exp,num_gil,num_level,atk_index,elemental_immune,status0_immune,status1_immune,status2_immune,elemental_absorb,unavoidable_atk,elemental_weakness,enemy_type,special_immune,initial_status0,initial_status1,initial_status2,initial_status3,name_index,level,steal_common,steal_rare,drop_common,drop_rare
357,65,SomberMage,boss,D02CA0,D05594,E00E42,SomberMage,SomberMage,30,81,18,0,30,32,50,30,65535,50000,0,0,97,46,80,FF,7B,F7,40,0,0,A0,18,0,0,8,0,65,3F,0,0,0,0
358,66,SomberMage,boss,D02CC0,D05598,E00E4C,SomberMage,SomberMage,35,85,20,10,50,40,30,50,65535,50000,0,0,97,46,0,FF,FF,F3,C0,0,10,21,18,0,0,28,0,66,3F,0,0,0,0
359,67,SomberMage,boss,D02CE0,D0559C,E00E56,SomberMage,SomberMage,40,105,22,10,55,48,50,60,65535,50000,0,0,97,46,0,FF,FF,F3,C0,0,0,A0,18,0,0,C8,0,67,3D,0,0,0,0
357,65,RainSenshi,boss,D02CA0,D05594,E00E42,RainSenshi,RainSenshi,30,91,20,10,45,25,40,40,65535,50000,0,0,97,2E,0,FF,FF,F3,80,0,0,A0,18,0,0,8,0,65,43,0,0,0,0
358,66,RainSenshi,boss,D02CC0,D05598,E00E4C,RainSenshi,RainSenshi,35,107,22,20,55,30,35,30,65535,50000,0,0,97,2E,0,FB,7F,F7,80,0,0,A0,18,0,0,28,0,66,43,0,0,0,0
359,67,RainSenshi,boss,D02CE0,D0559C,E00E56,RainSenshi,RainSenshi,40,80,17,5,45,45,60,60,65535,50000,0,0,97,58,0,FF,BF,F7,80,0,0,20,18,0,0,C8,0,67,43,0,0,0,0
357,65,DragonClan,boss,D02CA0,D05594,E00E42,Velocity,Velocity,37,85,17,5,45,10,30,30,65535,50000,0,0,97,F4,20,FF,FF,16,40,0,8,30,18,0,0,0,0,65,43,0,0,0,0
358,66,DragonClan,boss,D02CC0,D05598,E00E4C,Torque,Torque,32,73,16,10,55,10,10,10,65535,50000,0,0,97,F4,2,FF,F3,12,4,0,0,30,18,0,0,0,0,66,43,0,0,0,0
359,67,DragonClan,boss,D02CE0,D0559C,E00E56,Force,Force,34,90,19,5,45,45,60,60,65535,50000,0,0,97,F4,1,FF,FF,16,20,0,0,30,18,0,0,0,0,67,43,0,0,0,0
357,65,Tetsudono,boss,D02CA0,D05594,E00E42,Tetsudono,Tetsudono,45,160,22,10,55,85,65,20,65535,50000,0,0,113,27,01,FE,7C,12,20,00,08,24,18,0,0,60,0,65,3F,0,0,0,0
358,66,Tetsudono,boss,D02CC0,D05598,E00E4C,Tetsudono,Tetsudono,47,180,24,0,75,12,15,60,65535,50000,0,0,127,27,01,FF,B8,12,20,00,10,A0,18,0,0,88,0,66,43,0,0,0,0
359,67,Tetsudono,boss,D02CE0,D0559C,E00E56,Tetsudono,Tetsudono,51,195,26,10,65,45,60,40,65535,50000,0,0,131,27,11,FF,FC,16,20,00,02,20,18,0,0,C8,0,67,47,0,0,0,0
