idx,address,shop_type,slot1,slot2,slot3,slot4,slot5,slot6,slot7,slot8,readable_name,valid,num_items,tier
1,D12D40,01,0D,31,38,00,00,00,00,00,Tule Weapon,TRUE,3,1
2,D12D49,02,81,89,9A,00,00,00,00,00,Tule Armor,TRUE,3,1
3,D12D52,03,E0,F0,00,00,00,00,00,00,Tule Inn,TRUE,2,1
4,D12D5B,00,24,25,26,12,13,14,00,00,Tule Magic,TRUE,6,1
5,D12D64,01,03,0E,31,38,00,00,00,00,Carwen Weapon,TRUE,4,1
6,D12D6D,02,82,8A,9B,A1,A7,00,00,00,Carwen Armor,TRUE,5,1
7,D12D76,03,E0,E8,E9,E5,ED,EC,E4,F0,Carwen Inn,TRUE,8,1
8,D12D7F,00,24,25,26,28,12,14,15,16,Carwen Magic,TRUE,8,1
9,D12D88,01,21,0E,03,00,00,00,00,00,Worus Weapon,TRUE,3,1
10,D12D91,02,83,8B,9C,A2,A7,00,00,00,Worus Armor,TRUE,5,1
11,D12D9A,00,37,38,39,3A,48,49,4A,00,Worus Magic,TRUE,7,1
12,D12DA3,01,04,0F,22,32,33,34,5E,00,Karnak Weapon 1,TRUE,7,1
13,D12DAC,01,19,05,4B,50,00,00,00,00,Karnak Weapon 2,TRUE,3,1
14,D12DB5,02,84,8C,90,9D,A3,A8,B6,B7,Karnak Armor,TRUE,8,1
15,D12DBE,03,E0,E8,E9,E5,ED,EC,E4,F0,Common World 1 Inn,TRUE,8,1
16,D12DC7,00,2A,2B,2C,27,28,24,25,26,Karnak Magic 1,TRUE,8,1
17,D12DD0,00,18,19,1A,15,16,12,13,14,Karnak Magic 2,TRUE,8,1
18,D12DD9,00,3C,3D,3A,39,37,38,00,00,Karnak Magic 3,TRUE,6,1
19,D12DE2,01,3F,40,41,47,00,00,00,00,Crescent Weapon,TRUE,4,1
20,D12DEB,02,90,AA,00,00,00,00,00,00,Crescent Armor,TRUE,2,1
21,D12DF4,00,00,00,00,00,00,00,00,00,0 Magic,FALSE,0,1
22,D12DFD,04,BD,BE,BC,00,00,00,00,00,Istory Relic,TRUE,3,1
23,D12E06,02,00,00,00,00,00,00,00,00,0 Armor,FALSE,0,1
24,D12E0F,00,00,00,00,00,00,00,00,00,0 Inn,FALSE,0,1
25,D12E18,01,23,10,06,1A,29,65,00,00,Jacole Weapon,TRUE,6,1
26,D12E21,02,97,A4,AA,00,00,00,00,00,Jacole Armor,TRUE,3,1
27,D12E2A,03,E2,E6,F1,F2,F3,F4,F5,F6,Common World 2 Inn 1,TRUE,8,1
28,D12E33,05,05,5A,FC,FD,FE,00,00,00,Lix Guild,TRUE,5,1
29,D12E3C,02,97,A4,00,00,00,00,00,00,Lix Armor,TRUE,2,1
30,D12E45,00,1D,00,00,00,00,00,00,00,Lix Magic,TRUE,1,1
31,D12E4E,01,09,24,29,13,1B,42,48,4C,Rugor Weapon,TRUE,8,3
32,D12E57,02,85,8D,97,91,9E,A4,A9,00,Rugor Armor,TRUE,7,3
33,D12E60,03,E1,E0,E4,EC,E5,ED,E9,E8,Common World 2 Inn 2,TRUE,8,3
