idx,address,shop_type,id,content_name,price,resell_byte,price_byte,int_price,resell
1,D12A00,3,0,<blank>,100,1,0,0,HALF
2,D12A02,3,1,Empty,100,1,0,0,HALF
3,D12A04,3,2,Knife,010f,1,0f,150,HALF
4,D12A06,3,3,Dagger,011e,1,1e,300,HALF
5,D12A08,3,4,Mythril Knife,012d,1,2d,450,HALF
6,D12A0A,3,5,Kunai,013c,1,3c,600,HALF
7,D12A0C,3,6,Mage Masher,015a,1,5a,900,HALF
8,D12A0E,3,7,Guardian,021a,2,1a,2600,HALF
9,D12A10,3,8,Kodachi,233,2,33,5100,HALF
10,D12A12,3,9,Orialcon,222,2,22,3400,HALF
11,D12A14,3,0A,Air Lance,244,2,44,6800,HALF
12,D12A16,3,0B,Assassin,402,4,2,20000,HALF
13,D12A18,3,0C,Sasuke,402,4,2,20000,HALF
14,D12A1A,3,0D,Broadsword,011c,1,1c,280,HALF
15,D12A1C,3,0E,RegalCut,130,1,30,480,HALF
16,D12A1E,3,0F,Mythril Sword,158,1,58,880,HALF
17,D12A20,3,10,Coral Sword,021c,2,1c,2800,HALF
18,D12A22,3,11,Ancient Sword,022a,2,2a,4200,HALF
19,D12A24,3,12,Epee Sword,254,2,54,8400,HALF
20,D12A26,3,13,Slumber Sword,238,2,38,5600,HALF
21,D12A28,3,14,Defender Sword,026e,2,6e,11000,HALF
22,D12A2A,3,15,Excalibur,4402,4,2,20000,HALF
23,D12A2C,3,16,Ragnarok,4403,4,3,30000,HALF
24,D12A2E,3,17,Javelin,010a,1,0a,100,HALF
25,D12A30,3,18,Spear,010a,1,0a,100,HALF
26,D12A32,3,19,Mythril Spear,014f,1,4f,790,HALF
27,D12A34,3,1A,Trident,021b,2,1b,2700,HALF
28,D12A36,3,1B,Wind Spear,236,2,36,5400,HALF
29,D12A38,3,1C,Partisan,266,2,66,10200,HALF
30,D12A3A,3,1D,Gungnir,251,2,51,8100,HALF
31,D12A3C,3,1E,DblLance,026c,2,6c,10800,HALF
32,D12A3E,3,1F,Holy Lance,4402,4,2,20000,HALF
33,D12A40,3,20,Dragoon Lance,403,4,3,30000,HALF
34,D12A42,3,21,Battle Axe,141,1,41,650,HALF
35,D12A44,3,22,Mythril Hammer,169,1,69,1050,HALF
36,D12A46,3,23,Ogre Killer,220,2,20,3200,HALF
37,D12A48,3,24,War Hammer,240,2,40,6400,HALF
38,D12A4A,3,25,Venom Axe,260,2,60,9600,HALF
39,D12A4C,3,26,Earth Hammer,280,2,80,12800,HALF
40,D12A4E,3,27,Rune Axe,4402,4,2,20000,HALF
41,D12A50,3,28,Thor Hammer,4403,4,3,30000,HALF
42,D12A52,3,29,Katana,023a,2,3a,5800,HALF
43,D12A54,3,2A,Air Blade,010a,1,0a,100,HALF
44,D12A56,3,2B,Kotetsu,276,2,76,11800,HALF
45,D12A58,3,2C,Bizen,258,2,58,8800,HALF
46,D12A5A,3,2D,Forged,294,2,94,14800,HALF
47,D12A5C,3,2E,Murasume,4402,4,2,20000,HALF
48,D12A5E,3,2F,Masamune,4402,4,2,20000,HALF
49,D12A60,3,30,Tempest,4403,4,3,30000,HALF
50,D12A62,3,31,Rod,114,1,14,200,HALF
51,D12A64,3,32,Fire Rod,014b,1,4b,750,HALF
52,D12A66,3,33,Ice Rod,014b,1,4b,750,HALF
53,D12A68,3,34,Thunder Rod,014b,1,4b,750,HALF
54,D12A6A,3,35,Venom Rod,020f,2,0f,1500,HALF
55,D12A6C,3,36,Lillith Rod,021e,2,1e,3000,HALF
56,D12A6E,3,37,Wizard Rod,402,4,2,20000,HALF
57,D12A70,3,38,Staff,114,1,14,200,HALF
58,D12A72,3,39,Mythril Staff,132,1,32,500,HALF
59,D12A74,3,3A,Power Staff,212,2,12,1800,HALF
60,D12A76,3,3B,Healing Staff,209,2,9,900,HALF
61,D12A78,3,3C,Staff of Light,021b,2,1b,2700,HALF
62,D12A7A,3,3D,Sage's Staff,402,4,2,20000,HALF
63,D12A7C,3,3E,Judgement Staff,403,4,3,30000,HALF
64,D12A7E,3,3F,Fire Bow,219,2,19,2500,HALF
65,D12A80,3,40,Ice Bow,219,2,19,2500,HALF
66,D12A82,3,41,Thunder Bow,219,2,19,2500,HALF
67,D12A84,3,42,Darkness Bow,226,2,26,3800,HALF
68,D12A86,3,43,Killer Bow,232,2,32,5000,HALF
69,D12A88,3,44,Elven Bow,024b,2,4b,7500,HALF
70,D12A8A,3,45,Yoichi Bow,4402,4,2,20000,HALF
71,D12A8C,3,46,Artemis Bow,4403,4,3,30000,HALF
72,D12A8E,3,47,Silver Harp,208,2,8,800,HALF
73,D12A90,3,48,Dream Harp,210,2,10,1600,HALF
74,D12A92,3,49,Lamia's Harp,220,2,20,3200,HALF
75,D12A94,3,4A,Apollo's Harp,4402,4,2,20000,HALF
76,D12A96,3,4B,Whip,020b,2,0b,1100,HALF
77,D12A98,3,4C,Chain Whip,221,2,21,3300,HALF
78,D12A9A,3,4D,Thunder Whip,216,2,16,2200,HALF
79,D12A9C,3,4E,Flame Whip,402,4,2,20000,HALF
80,D12A9E,3,4F,Dragon's Whisker,022c,2,2c,4400,HALF
81,D12AA0,3,50,Giyaman,132,1,32,500,HALF
82,D12AA2,3,51,Earth Bell,309,3,9,9000,HALF
83,D12AA4,3,52,Rune Chime,4402,4,2,20000,HALF
84,D12AA6,3,53,Tinkerbell,020f,2,0f,1500,HALF
85,D12AA8,3,54,Sabre (*Dummy),010a,1,0a,100,HALF
86,D12AAA,3,55,Drain Sword,310,3,10,16000,HALF
87,D12AAC,3,56,RuneEdge,313,3,13,19000,HALF
88,D12AAE,3,57,Flametongue,264,2,64,10000,HALF
89,D12AB0,3,58,IceBrand,026e,2,6e,11000,HALF
90,D12AB2,3,59,Full Moon,016e,1,6e,1100,HALF
91,D12AB4,3,5A,Shuriken,4219,2,19,2500,HALF
92,D12AB6,3,5B,Pinwheel,4319,3,19,25000,HALF
93,D12AB8,3,5C,Excailbur,2,43,0a,10000,HALF
94,D12ABA,3,5D,BeastKiller,030f,3,0f,15000,HALF
95,D12ABC,3,5E,Flail,014e,1,4e,780,HALF
96,D12ABE,3,5F,Morning Star,024e,2,4e,7800,HALF
97,D12AC0,3,60,Wonder Wand,401,4,1,10000,HALF
98,D12AC2,3,61,Brave Blade,403,4,3,30000,HALF
99,D12AC4,3,62,Soot,2,1,0a,100,HALF
100,D12AC6,3,63,Chicken Knife,2,3,19,25000,HALF
101,D12AC8,3,64,RisingSun,026e,2,6e,11000,HALF
102,D12ACA,3,65,Silver Bow,020f,2,0f,1500,HALF
103,D12ACC,3,66,Gale Bow,255,2,55,8500,HALF
104,D12ACE,3,67,AntiMagic Bow,030a,3,0a,10000,HALF
105,D12AD0,3,68,Avis Killer,402,4,2,20000,HALF
106,D12AD2,3,69,DoomCut,023b,2,3b,5900,HALF
107,D12AD4,3,6A,Giant's Axe,404,4,4,40000,HALF
108,D12AD6,3,6B,ManEater,2,3,19,25000,HALF
