"Knight Crystal",E77560
"Monk Crystal",E77578
"Thief Crystal",E77590
"Dragoon Crystal",E775A8
"Ninja Crystal",E775C0
"Samurai Crystal",E775D8
"Berserker Crystal",E775F0
"Hunter Crystal",E77608
"MysticKnight Crystal",E77620
"WhiteMage Crystal",E77638
"BlackMage Crystal",E77650
"TimeMage Crystal",E77668
"Summoner Crystal",E77680
"BlueMage Crystal",E77698
"RedMage Crystal",E776B0
"Mediator Crystal",E776C8
"Chemist Crystal",E776E0
"Geomancer Crystal",E776F8
"Bard Crystal",E77710
"Dancer Crystal",E77728
"Mimic Crystal",E77740
"Freelancer Crystal",E77758
