item_id,item_name,type,subtype
00,<blank>,dummy,dummy
01,Empty,dummy,dummy
02,Knife,weapon,knife
03,Dagger,weapon,knife
04,Mythril Knife,weapon,knife
05,Kunai,weapon,knife
06,Mage Masher,weapon,knife
07,Guardian,weapon,knife
08,Kodachi,weapon,knife
09,Orialcon,weapon,knife
0A,Air Lance,weapon,knife
0B,Assassin,weapon,knife
0C,Sasuke,weapon,knife
0D,Broadsword,weapon,sword
0E,RegalCut,weapon,sword
0F,Mythril Sword,weapon,sword
10,Coral Sword,weapon,sword
11,Ancient Sword,weapon,sword
12,Epee Sword,weapon,sword
13,Slumber Sword,weapon,sword
14,Defender Sword,weapon,sword
15,Excalibur,weapon,sword
16,Ragnarok,weapon,sword
17,Javelin,weapon,spear
18,Spear,weapon,spear
19,Mythril Spear,weapon,spear
1A,Trident,weapon,spear
1B,Wind Spear,weapon,spear
1C,Partisan,weapon,spear
1D,Gungnir,weapon,spear
1E,DblLance,weapon,spear
1F,Holy Lance,weapon,spear
20,Dragoon Lance,weapon,spear
21,Battle Axe,weapon,axe
22,Mythril Hammer,weapon,axe
23,Ogre Killer,weapon,axe
24,War Hammer,weapon,axe
25,Venom Axe,weapon,axe
26,Earth Hammer,weapon,axe
27,Rune Axe,weapon,axe
28,Thor Hammer,weapon,axe
29,Katana,weapon,katana
2A,Air Blade,weapon,katana
2B,Kotetsu,weapon,katana
2C,Bizen,weapon,katana
2D,Forged,weapon,katana
2E,Murasume,weapon,katana
2F,Masamune,weapon,katana
30,Tempest,weapon,katana
31,Rod,weapon,rod
32,Fire Rod,weapon,rod
33,Ice Rod,weapon,rod
34,Thunder Rod,weapon,rod
35,Venom Rod,weapon,rod
36,Lillith Rod,weapon,rod
37,Wizard Rod,weapon,rod
38,Staff,weapon,staff
39,Mythril Staff,weapon,staff
3A,Power Staff,weapon,staff
3B,Healing Staff,weapon,staff
3C,Staff of Light,weapon,staff
3D,Sage's Staff,weapon,staff
3E,Judgement Staff,weapon,staff
3F,Fire Bow,weapon,bow
40,Ice Bow,weapon,bow
41,Thunder Bow,weapon,bow
42,Darkness Bow,weapon,bow
43,Killer Bow,weapon,bow
44,Elven Bow,weapon,bow
45,Yoichi Bow,weapon,bow
46,Artemis Bow,weapon,bow
47,Silver Harp,weapon,harp
48,Dream Harp,weapon,harp
49,Lamia's Harp,weapon,harp
4A,Apollo's Harp,weapon,harp
4B,Whip,weapon,whip
4C,Chain Whip,weapon,whip
4D,Thunder Whip,weapon,whip
4E,Flame Whip,weapon,whip
4F,Dragon's Whisker,weapon,whip
50,Giyaman,weapon,bell
51,Earth Bell,weapon,bell
52,Rune Chime,weapon,bell
53,Tinkerbell,weapon,bell
54,Sabre (*Dummy),dummy,dummy
55,Drain Sword,weapon,sword
56,RuneEdge,weapon,sword
57,Flametongue,weapon,sword
58,IceBrand,weapon,sword
59,Full Moon,weapon,flail
5A,Shuriken,item,throw
5B,Pinwheel,item,throw
5C,Excailbur,item,throw
5D,BeastKiller,weapon,whip
5E,Flail,weapon,flail
5F,Morning Star,weapon,flail
60,Wonder Wand,weapon,rod
61,Brave Blade,weapon,sword
62,Soot,weapon,flail
63,Chicken Knife,weapon,knife
64,RisingSun,item,throw
65,Silver Bow,weapon,bow
66,Gale Bow,weapon,bow
67,AntiMagic Bow,weapon,bow
68,Avis Killer,weapon,bow
69,DoomCut,weapon,axe
6A,Giant's Axe,weapon,axe
6B,ManEater,weapon,knife
6C,Thief Knife,weapon,knife
6D,Dancing Dagger,weapon,knife
