idx,idx_hex,monster_name,monster_rank,stats_address,drops_address,name_address,monster_name_python,unique_name,num_gauge_time,num_phys_power,num_phys_mult,num_evade,num_phys_def,num_mag_power,num_mag_def,num_mag_evade,num_hp,num_mp,num_exp,num_gil,num_level,gauge_time,phys_power,phys_mult,evade,phys_def,mag_power,mag_def,mag_evade,hp_lo,hp_hi,mp_lo,mp_hi,exp_lo,exp_hi,gil_lo,gil_hi,atk_index,elemental_immune,status0_immune,status1_immune,status2_immune,elemental_absorb,unavoidable_atk,elemental_weakness,monster_type,special_immune,initial_status0,initial_status1,initial_status2,initial_status3,name_index,level,steal_common,steal_rare,drop_common,drop_rare,steal_common_name,steal_rare_name,drop_common_name,drop_rare_name,name_string,immune_ dead,immune_ petrify,immune_ toad,immune_ mini,immune_ float,immune_ poison,immune_ zombie,immune_darkness,immune_aging,immune_sleep,immune_paralyze,immune_charm,immune_berserk,immune_mute,immune_image2,immune_image,immune_wall,immune_armor,immune_shell,immune_stop,immune_haste,immune_slow,immune_invul,immune_regen,immune_water,immune_wind,immune_earth,immune_holy,immune_poison,immune_lightning,immune_ice,immune_fire,absorb_water,absorb_wind,absorb_earth,absorb_holy,absorb_poison,absorb_lightning,absorb_ice,absorb_fire,weakness_water,weakness_wind,weakness_earth,weakness_holy,weakness_poison,weakness_lightning,weakness_ice,weakness_fire,inflictable_dead,inflictable_petrify,inflictable_toad,inflictable_mini,inflictable_float,inflictable_poison,inflictable_zombie,inflictable_darkness,inflictable_aging,inflictable_sleep,inflictable_paralyze,inflictable_charm,inflictable_berserk,inflictable_mute,inflictable_image2,inflictable_image,inflictable_wall,inflictable_armor,inflictable_shell,inflictable_stop,inflictable_haste,inflictable_slow,inflictable_invul,inflictable_regen,immune_text_water,immune_text_wind,immune_text_earth,immune_text_holy,immune_text_poison,immune_text_lightning,immune_text_ice,immune_text_fire,absorb_text_water,absorb_text_wind,absorb_text_earth,absorb_text_holy,absorb_text_poison,absorb_text_lightning,absorb_text_ice,absorb_text_fire,weakness_text_water,weakness_text_wind,weakness_text_earth,weakness_text_holy,weakness_text_poison,weakness_text_lightning,weakness_text_ice,weakness_text_fire
0,00,Goblin,monster,D00000,D05000,E00050,Goblin,Goblin_0,10,05,01,00,00,00,05,00,16,3,10,20,6,0A,05,01,00,00,00,05,00,10,00,03,00,0A,00,14,00,02,00,80,00,00,00,00,00,00,00,00,00,00,00,00,06,00,E0,89,00, ,Potion,Leather Cap, ,66887b9787ffffffffff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,mini,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
1,01,Killer Bee,monster,D00020,D05004,E0005A,Killer_Bee,Killer_Bee_1,10,05,02,10,00,00,05,00,20,0,15,20,1,0A,05,02,0A,00,00,05,00,14,00,00,00,0F,00,14,00,00,20,30,00,00,00,40,00,00,00,88,00,00,00,01,01,E0,00,00,00,Potion, , , ,6a8285857e8b96617e7e,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,earth,,,,,,,,,,,,,,,,,,,,,
2,02,Nut Eater,monster,D00040,D05008,E00064,Nut_Eater,Nut_Eater_2,10,05,02,00,00,00,05,00,20,0,10,20,1,0A,05,02,00,00,00,05,00,14,00,00,00,0A,00,14,00,00,00,10,00,00,00,00,00,04,00,00,00,01,00,02,01,E0,E0,E0,00,Potion,Potion,Potion, ,6d8e8d96647a8d7e8bff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
3,03,Stray Cat,monster,D00060,D0500C,E0006E,Stray_Cat,Stray_Cat_3,10,05,02,00,00,00,05,00,20,0,15,20,2,0A,05,02,00,00,00,05,00,14,00,00,00,0F,00,14,00,00,00,10,00,00,00,00,00,04,00,00,00,00,00,03,02,E0,00,00,00,Potion, , , ,728d8b7a9296627a8dff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
4,04,Steel Bat,monster,D00080,D05010,E00078,Steel_Bat,Steel_Bat_4,05,03,02,00,00,00,05,00,20,9961,9,20,2,05,03,02,00,00,00,05,00,14,00,10,27,09,00,14,00,00,20,30,00,00,00,40,00,00,00,88,00,00,00,04,02,E0,00,00,00,Potion, , , ,728d7e7e8596617a8dff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,earth,,,,,,,,,,,,,,,,,,,,,
5,05,Dearo,monster,D000A0,D05014,E00082,Dearo,Dearo_5,07,04,01,00,03,00,05,00,16,0,7,20,3,07,04,01,00,03,00,05,00,10,00,00,00,07,00,14,00,00,00,10,00,00,00,00,02,00,00,00,00,00,00,05,03,E0,00,00,00,Potion, , , ,637e7a8b88ffffffffff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,petrify,toad,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,ice,
6,06,Stroper,monster,D000C0,D05018,E0008C,Stroper,Stroper_6,07,04,02,00,00,00,05,00,20,0,8,20,3,07,04,02,00,00,00,05,00,14,00,00,00,08,00,14,00,00,00,30,00,00,00,00,00,00,00,00,00,00,00,06,03,E0,E0,00,00,Potion,Potion, , ,728d8b88897e8bffffff,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,,,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
7,07,Black Goblin,monster,D000E0,D0501C,E00096,Black_Goblin,Black_Goblin_7,10,05,03,00,00,00,05,00,20,0,20,21,7,0A,05,03,00,00,00,05,00,14,00,00,00,14,00,15,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,07,07,E0,E0,C0,00,Potion,Potion,Leather Shoes, ,a6a77c849666887b9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,mini,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,,
8,08,White Snake,monster,D00100,D05020,E000A0,White_Snake,White_Snake_8,10,05,02,00,00,00,05,00,25,0,20,24,4,0A,05,02,00,00,00,05,00,19,00,00,00,14,00,18,00,00,00,00,00,00,00,00,02,00,00,00,00,00,00,08,04,E0,00,00,00,Potion, , , ,7681957e9672877a847e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,petrify,toad,mini,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,,,,,,,,,,,,,,,,,,,,,ice,
9,09,Mold Wind,monster,D00120,D05024,E000AA,Mold_Wind,Mold_Wind_9,10,05,03,00,00,00,05,00,20,5,20,27,1,0A,05,03,00,00,00,05,00,14,00,05,00,14,00,1B,00,00,20,00,00,00,40,40,00,00,00,88,00,00,00,09,01,00,00,E3,00, , ,Elixir, ,6c88857d967682877dff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,petrify,toad,mini,float,poison,zombie,darkness,aging,sleep,paralyze,charm,berserk,mute,image2,image,wall,armor,shell,stop,haste,slow,invul,regen,,,earth,,,,,,,wind,,,,,,,,,,,,,,
