name,readable_location,type,type_address,type_data,item_address,item_data,kind,,,
Broadsword,Wind Shrine Chest,Item,D13212,40,D13213,0D,Reward,,Chest/event rewards,done
Ether,Beginner’s House Chest,Item,D13216,40,D13217,E2,Reward,,Shop Items,done
100,Beginner’s House Chest,Gil,D1321A,02,D1321B,01,Reward,,Monster Items,done
Potion,Beginner’s House Chest,Item,D1321E,40,D1321F,E0,Reward,,Key Items,
Phoenix Down,Beginner’s House Chest,Item,D13222,40,D13223,E4,Reward,,Earnables,
Tent,Beginner’s House Chest,Item,D13226,40,D13227,F0,Reward,,,
Leather Shoes,Beginner’s House Chest,Monster,D1322A,A4,D1322B,C0,Reward,,,
Leather Cap,Pirate’s Cave Chest,Item,D1322E,40,D1322F,89,Reward,,,
Tent,Pirate’s Cave Chest,Item,D13232,40,D13233,F0,Reward,,,
Ether,Pirate’s Cave Chest,Item,D13236,40,D13237,E2,Reward,,,
300,Pirate’s Cave Chest,Gil,D1323A,02,D1323B,03,Reward,,,
Tent,Wind Shrine Chest,Item,D1323E,40,D1323F,F0,Reward,,,
Leather Cap,Wind Shrine Chest,Item,D13242,40,D13243,89,Reward,,,
Staff,Wind Shrine Chest,Item,D13246,40,D13247,38,Reward,,,
150,Tule Barrel,Gil,D1324A,01,D1324B,0F,Reward,,,
Leather Shoes,Tule Box,Item,D1324E,40,D1324F,C0,Reward,,,
Potion,Tule Barrel,Item,D13252,40,D13253,E0,Reward,,,
Tent,Tule Box,Item,D13256,40,D13257,F0,Reward,,,
Phoenix Down,Tule Bush,Item,D1325A,40,D1325B,E4,Reward,,,
Flail,Ship Graveyard Chest,Item,D1325E,40,D1325F,5E,Reward,,,
Phoenix Down,Ship Graveyard Chest,Item,D13262,40,D13263,E4,Reward,,,
Tent,Ship Graveyard Chest,Item,D13266,40,D13267,F0,Reward,,,
990,Ship Graveyard Box,Gil,D1326A,01,D1326B,63,Reward,,,
Potion,Ship Graveyard Chest,Item,D1326E,40,D1326F,E0,Reward,,,
Antidote,Ship Graveyard Chest,Item,D13272,40,D13273,E8,Reward,,,
Antidote,Ship Graveyard Chest,Item,D13276,40,D13277,E8,Reward,,,
Phoenix Down,Ship Graveyard Chest,Item,D1327A,40,D1327B,E4,Reward,,,
Antidote,Carwen Barrel,Item,D1327E,40,D1327F,E8,Reward,,,
Ice Rod,Carwen Box,Item,D13282,40,D13283,33,Reward,,,
1000,Carwen Pot,Gil,D13286,03,D13287,01,Reward,,,
Soft,North Mountain Chest,Item,D1328A,40,D1328B,EC,Reward,,,
Phoenix Down,North Mountain Chest,Item,D1328E,40,D1328F,E4,Reward,,,
