id_num,id_hex,address,shop_type,slot1,slot2,slot3,slot4,slot5,slot6,slot7,slot8,shop_name
1,1,D12D40,1,0D,31,38,0,0,0,0,0,Tule Weapon
2,2,D12D49,2,81,89,9A,0,0,0,0,0,Tule Armor
3,3,D12D52,3,E0,F0,0,0,0,0,0,0,Tule Inn
4,4,D12D5B,0,24,25,26,12,13,14,0,0,Tule Magic
5,5,D12D64,1,03,0E,31,38,0,0,0,0,Carwen Weapon
6,6,D12D6D,2,82,8A,9B,A1,A7,0,0,0,Carwen Armor
7,7,D12D76,3,E0,E8,E9,E5,ED,EC,E4,F0,Carwen Inn
8,8,D12D7F,0,24,25,26,28,12,14,15,16,Carwen Magic
9,9,D12D88,1,21,0E,03,0,0,0,0,0,Worus Weapon
10,0A,D12D91,2,83,8B,9C,A2,A7,0,0,0,Worus Armor
11,0B,D12D9A,0,37,38,39,3A,48,49,4A,0,Worus Magic
12,0C,D12DA3,1,04,0F,22,32,33,34,5E,0,Karnak Weapon 1
13,0D,D12DAC,1,19,05,4B,50,0,0,0,0,Karnak Weapon 2
14,0E,D12DB5,2,84,8C,90,9D,A3,A8,B6,B7,Karnak Armor
15,0F,D12DBE,3,E0,E8,E9,E5,ED,EC,E4,F0,Common World 1 Inn
16,10,D12DC7,0,2A,2B,2C,27,28,24,25,26,Karnak Magic 1
17,11,D12DD0,0,18,19,1A,15,16,12,13,14,Karnak Magic 2
18,12,D12DD9,0,3C,3D,3A,39,37,38,0,0,Karnak Magic 3
19,13,D12DE2,1,3F,40,41,47,0,0,0,0,Crescent Weapon
20,14,D12DEB,2,90,AA,0,0,0,0,0,0,Crescent Armor
21,15,D12DF4,0,0,0,0,0,0,0,0,0,0 Magic
22,16,D12DFD,4,BD,BE,BC,0,0,0,0,0,Istory Rare
23,17,D12E06,2,0,0,0,0,0,0,0,0,0 Armor
24,18,D12E0F,0,0,0,0,0,0,0,0,0,0 Inn
25,19,D12E18,1,23,10,06,1A,29,65,0,0,Jacole Weapon
26,1A,D12E21,2,97,A4,AA,0,0,0,0,0,Jacole Armor
27,1B,D12E2A,3,E2,E6,F1,F2,F3,F4,F5,F6,Common World 2 Inn 1
28,1C,D12E33,5,05,5A,FC,FD,FE,0,0,0,Lix Guild
29,1D,D12E3C,2,97,A4,0,0,0,0,0,0,Lix Armor
30,1E,D12E45,0,1D,0,0,0,0,0,0,0,Lix Magic
31,1F,D12E4E,1,09,24,29,13,1B,42,48,4C,Rugor Weapon
32,20,D12E57,2,85,8D,97,91,9E,A4,A9,0,Rugor Armor
33,21,D12E60,3,E1,E0,E4,EC,E5,ED,E9,E8,Common World 2 Inn 2
34,22,D12E69,1,09,24,29,13,1B,42,48,4C,Bal/Kelb Weapon
35,23,D12E72,2,85,8D,97,91,9E,A4,A9,C2,Bal/Kelb Armor
36,24,D12E7B,1,08,43,35,5A,FC,FD,FE,0,Kelb Weapon
37,25,D12E84,2,96,B9,BA,0,0,0,0,0,Kelb Armor
38,26,D12E8D,0,1B,1C,1D,0,0,0,0,0,Common World 2 Magic 1
39,27,D12E96,0,2D,2E,2F,0,0,0,0,0,Common World 2 Magic 2
40,28,D12E9F,0,3F,40,41,0,0,0,0,0,Common World 2 Magic 3
41,29,D12EA8,1,12,1D,2C,25,0,0,0,0,Surgate Weapon
42,2A,D12EB1,2,85,8D,96,91,9E,B9,A9,C2,Surgate Armor
43,2B,D12EBA,1,0A,44,0,0,0,0,0,0,Mua Weapon
44,2C,D12EC3,2,87,8E,C3,92,9F,A5,AB,B8,Mua Armor
45,2D,D12ECC,0,1E,1F,20,1B,1C,1D,0,0,Mua Magic 1
46,2E,D12ED5,0,30,31,32,2D,2E,2F,0,0,Mua Magic 2
47,2F,D12EDE,0,42,43,44,3F,40,41,0,0,Mua Magic 3
48,30,D12EE7,1,0,0,0,0,0,0,0,0,0 Weapon
49,31,D12EF0,2,0,0,0,0,0,0,0,0,0 Armor
50,32,D12EF9,83,E2,E0,E8,E9,ED,E5,EC,F0,Lix Inn
51,33,D12F02,0,21,23,34,35,46,47,0,0,Dwarf Magic
52,34,D12F0B,1,26,5F,67,2D,0,0,0,0,Dwarf Weapon
53,35,D12F14,2,88,8F,98,93,A0,A6,AC,AD,Dwarf Armor
54,36,D12F1D,3,0,0,0,0,0,0,0,0,0 Inn
55,37,D12F26,1,57,58,26,5F,67,2D,1C,0,Mirage Weapon
56,38,D12F2F,5,5B,5A,1E,59,FC,FD,FE,0,Mirage Guild
57,39,D12F38,2,88,8F,98,93,A0,A6,AC,AD,Mirage Armor
58,3A,D12F41,4,B5,BC,BD,BE,99,BB,0,0,Mirage Rare
59,3B,D12F4A,0,21,23,34,35,46,47,0,0,Mirage Magic 1
60,3C,D12F53,0,17,29,36,3B,3E,48,49,4A,Mirage Magic 2
61,3D,D12F5C,3,E0,E1,E4,E5,E8,E9,EC,ED,Mirage Inn 1
62,3E,D12F65,6,E3,E2,E6,F2,F3,F4,F5,F6,Mirage Inn 2
63,3F,D12F6E,81,04,0F,22,32,33,34,5E,0,Karnak Weapon (discount)
64,40,D12F77,82,84,8C,9D,A3,A8,B6,B7,0,Karnak Armor (discount)
