check,value
12 Kuzar Events Apollo's Harp,2.3055555555555554
12 Kuzar Events Assassin,2.5660377358490565
12 Kuzar Events Earth Bell,2.2950819672131146
12 Kuzar Events Excalibur,2.287878787878788
12 Kuzar Events Flame Whip,2.417910447761194
12 Kuzar Events Holy Lance,2.1186440677966103
12 Kuzar Events Masamune,2.514705882352941
12 Kuzar Events Rune Axe,2.4242424242424243
12 Kuzar Events Sage's Staff,2.380952380952381
12 Kuzar Events Sasuke,2.365079365079365
12 Kuzar Events Wizard Rod,2.35
12 Kuzar Events Yoichi Bow,2.4153846153846152
"5 potions in Wind Shrine, bottom left guy Potion",2.4328358208955225
"8 potions, Pirate after Torna Canal Key acquired Potion",1.513157894736842
Abductor New,4.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,2.888888888888889
Ancient Library Chest Ether,2.5
Ancient Library Chest Phoenix Down,2.378787878787879
Ancient Library Chest Stealth Suit,2.5303030303030303
Antlion New,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,2.1451612903225805
Bahamut New,4.0
Bal Castle Chest Angel Gwn,2.7857142857142856
Bal Castle Chest Exit,2.4558823529411766
Bal Castle Chest Hero Drink,2.1904761904761907
Barrier Tower Chest 18000,2.451219512195122
Barrier Tower Chest 9000,2.41025641025641
Barrier Tower Chest Drain Sword,2.6176470588235294
Barrier Tower Chest Gold Hairpin,2.514851485148515
Beginner's House Chest 100,2.4615384615384617
Beginner's House Chest Ether,2.5245901639344264
Beginner's House Chest Leather Shoes,2.46
Beginner's House Chest Phoenix Down,2.4177215189873418
Beginner's House Chest Potion,2.5063291139240507
Beginner's House Chest Tent,2.4657534246575343
Black Choco Crystals Bard,2.3454545454545452
Black Choco Crystals Hunter,2.1311475409836067
Brave Blade Brave Blade,2.48
Byblos New,4.0
Carbuncle Crbnkl,2.4461538461538463
Carbunkle New,4.0
Carwen Barrel Antidote,1.7820512820512822
Carwen Box Ice Rod,2.1944444444444446
Carwen Pot 1000,2.1555555555555554
Chancellor at Tycoon Healing Staff,2.513888888888889
Chicken Knife Chicken Knife,2.445945945945946
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,2.1846153846153844
Crayclaw New,4.0
Earth Crystal Chemist,2.4
Earth Crystal Dancer,2.4285714285714284
Earth Crystal Dragoon,2.324675324675325
Earth Crystal Samurai,2.393939393939394
Exdeath's Castle Chest 8000,2.4307692307692306
Exdeath's Castle Chest 9900,2.4383561643835616
Exdeath's Castle Chest DblLance,2.2816901408450705
Exdeath's Castle Chest Diamond Shield,2.442857142857143
Exdeath's Castle Chest Elixir,2.4411764705882355
Exdeath's Castle Chest Ether,2.456140350877193
Exdeath's Castle Chest Gale Bow,2.276315789473684
Exdeath's Castle Chest Ice Shield,2.5606060606060606
Exdeath's Castle Chest IceBrand,2.2580645161290325
Exdeath's Castle Chest Kotetsu,2.3230769230769233
Exdeath's Castle Chest Partisan,2.1029411764705883
Exdeath's Castle Chest Pinwheel,2.287878787878788
Fire Crystal Geomancer,2.3714285714285714
Fire Crystal Mediator,2.515151515151515
Fire Crystal Ninja,2.5873015873015874
Flying Lonka Ruins Chest 5000,2.4461538461538463
Flying Lonka Ruins Chest Ancient Sword,2.453125
Flying Lonka Ruins Chest Cabin,2.420289855072464
Flying Lonka Ruins Chest Elixir,2.421875
Flying Lonka Ruins Chest Ether,2.6
Flying Lonka Ruins Chest Full Moon,2.4833333333333334
Flying Lonka Ruins Chest Golden Armor,2.453125
Flying Lonka Ruins Chest Golden Shield,2.4
Flying Lonka Ruins Chest Hi-Potion,2.5625
Flying Lonka Ruins Chest Phoenix Down,2.426470588235294
Flying Lonka Ruins Chest Power Wrist,2.3333333333333335
Flying Lonka Ruins Chest Shuriken,2.171875
Fork Tower L. Chest Ether,2.4444444444444446
Fork Tower L. Chest Wonder Wand,2.442857142857143
Fork Tower R. Chest Defender Sword,2.480769230769231
Fork Tower R. Chest Hi-Potion,2.425925925925926
"Fork Tower, two Magics Flare",2.3548387096774195
"Fork Tower, two Magics Holy",2.4923076923076923
Galura New,4.0
Gilgamesh 1 New,4.0
Gilgamesh 2 New,4.0
Gilgamesh 3 & Enkidou New,4.0
Gilgamesh 4 New,4.0
GoGo New,4.0
Great Trench Chest DragonFang,2.278481012658228
Great Trench Chest Ether,2.227272727272727
Great Trench Chest Flame Ring,2.2816901408450705
Great Trench Chest Kaiser Knuckles,2.7049180327868854
Great Trench Chest Phoenix Down,2.4603174603174605
Great Trench Chest Water Scroll,2.216666666666667
Guardians New,4.0
Hero Song from Crescent Town Hero,2.3833333333333333
Hiryuu Valley Chest 5000,2.3846153846153846
Hiryuu Valley Chest 7000,2.4833333333333334
Hiryuu Valley Chest Air Blade,2.28125
Hiryuu Valley Chest Cabin,2.234375
Hiryuu Valley Chest Coronet,2.3846153846153846
Hiryuu Valley Chest Phoenix Down,2.3492063492063493
Hiryuu Valley Skull Bone Mail,2.3492063492063493
HiryuuPlant New,4.0
Ifrit Ifrit,2.2857142857142856
Ifrit New,4.0
Istory Falls Chest 12000,2.5223880597014925
Istory Falls Chest Aegis Shield,2.6052631578947367
Istory Falls Chest Air Lance,2.551282051282051
Istory Falls Chest Artemis Bow,2.5405405405405403
Istory Falls Chest Enhancer,2.7966101694915255
Istory Falls Chest Ether,2.246376811594203
Istory Falls Chest Giant Drink,2.4285714285714284
Istory Falls Chest Giant's Axe,2.4714285714285715
Istory Falls Chest Guard Ring,2.5833333333333335
Istory Falls Chest Phoenix Down,2.3484848484848486
