check,reward,value
12 Kuzar Events Apollo's Harp,2-Handed,2
12 Kuzar Events Apollo's Harp,Aegis Shield,1
12 Kuzar Events Apollo's Harp,Agility,3
12 Kuzar Events Apollo's Harp,Apollo's Harp,1
12 Kuzar Events Apollo's Harp,Bandana,1
12 Kuzar Events Apollo's Harp,Black Robe,1
12 Kuzar Events Apollo's Harp,Bone Mail,2
12 Kuzar Events Apollo's Harp,Brave Blade,1
12 Kuzar Events Apollo's Harp,Brawl,1
12 Kuzar Events Apollo's Harp,Bronze Armor,1
12 Kuzar Events Apollo's Harp,Bronze Shield,1
12 Kuzar Events Apollo's Harp,Conjure,1
12 Kuzar Events Apollo's Harp,Cotton Robe,1
12 Kuzar Events Apollo's Harp,Cover,1
12 Kuzar Events Apollo's Harp,Crystal Armor,1
12 Kuzar Events Apollo's Harp,Dagger,1
12 Kuzar Events Apollo's Harp,DarkHood,2
12 Kuzar Events Apollo's Harp,Diamond Armlet,1
12 Kuzar Events Apollo's Harp,Drain Sword,1
12 Kuzar Events Apollo's Harp,Drink,1
12 Kuzar Events Apollo's Harp,Elven Bow,1
12 Kuzar Events Apollo's Harp,Epee Sword,2
12 Kuzar Events Apollo's Harp,Equip Harps,1
12 Kuzar Events Apollo's Harp,Equip Ribbon,1
12 Kuzar Events Apollo's Harp,Equip Rods,1
12 Kuzar Events Apollo's Harp,Escape,1
12 Kuzar Events Apollo's Harp,Fire Rod,1
12 Kuzar Events Apollo's Harp,Flame Scroll,1
12 Kuzar Events Apollo's Harp,Full Moon,1
12 Kuzar Events Apollo's Harp,Gale Bow,1
12 Kuzar Events Apollo's Harp,Genji Gloves,1
12 Kuzar Events Apollo's Harp,Genji Shield,1
12 Kuzar Events Apollo's Harp,Giyaman,1
12 Kuzar Events Apollo's Harp,Golden Shield,3
12 Kuzar Events Apollo's Harp,HiPotion,1
12 Kuzar Events Apollo's Harp,Iron Armor,1
12 Kuzar Events Apollo's Harp,Judgement Staff,1
12 Kuzar Events Apollo's Harp,Lamia's Harp,1
12 Kuzar Events Apollo's Harp,LuckMallet,1
12 Kuzar Events Apollo's Harp,Magic Lamp,1
12 Kuzar Events Apollo's Harp,ManEater,1
12 Kuzar Events Apollo's Harp,Medicine,1
12 Kuzar Events Apollo's Harp,Morning Star,1
12 Kuzar Events Apollo's Harp,Murasume,1
12 Kuzar Events Apollo's Harp,Mythril Armor,1
12 Kuzar Events Apollo's Harp,Ogre Killer,1
12 Kuzar Events Apollo's Harp,Partisan,1
12 Kuzar Events Apollo's Harp,Plumed Hat,2
12 Kuzar Events Apollo's Harp,Power Staff,1
12 Kuzar Events Apollo's Harp,Red Lv.3,1
12 Kuzar Events Apollo's Harp,RegalCut,1
12 Kuzar Events Apollo's Harp,Revive,1
12 Kuzar Events Apollo's Harp,Sasuke,1
12 Kuzar Events Apollo's Harp,Silk robe,1
12 Kuzar Events Apollo's Harp,Silver Harp,1
12 Kuzar Events Apollo's Harp,Spear,2
12 Kuzar Events Apollo's Harp,Staff,1
12 Kuzar Events Apollo's Harp,Tricorn Hat,2
12 Kuzar Events Apollo's Harp,TurtleShell,1
12 Kuzar Events Apollo's Harp,Venom Axe,1
12 Kuzar Events Apollo's Harp,Wizard Rod,1
12 Kuzar Events Assassin,Air Lance,1
12 Kuzar Events Assassin,Apollo's Harp,1
12 Kuzar Events Assassin,Bandana,1
12 Kuzar Events Assassin,Bard's Surplice,1
12 Kuzar Events Assassin,BeastKiller,1
12 Kuzar Events Assassin,Brave Blade,1
12 Kuzar Events Assassin,CornaJar,1
12 Kuzar Events Assassin,DarkHood,1
12 Kuzar Events Assassin,DarkMatter,1
12 Kuzar Events Assassin,DarkSuit,1
12 Kuzar Events Assassin,DblLance,1
12 Kuzar Events Assassin,Dragoon Lance,1
12 Kuzar Events Assassin,Drain Sword,1
12 Kuzar Events Assassin,Earth Bell,1
12 Kuzar Events Assassin,Elf Cape,1
12 Kuzar Events Assassin,Equip Shield,1
12 Kuzar Events Assassin,Escape,2
12 Kuzar Events Assassin,Excalibur,1
12 Kuzar Events Assassin,Gauntlets,1
12 Kuzar Events Assassin,Giyaman,2
12 Kuzar Events Assassin,GrnBeret,1
12 Kuzar Events Assassin,Guard Ring,1
12 Kuzar Events Assassin,Holy Lance,1
12 Kuzar Events Assassin,Ice Rod,1
12 Kuzar Events Assassin,Iron Armor,1
12 Kuzar Events Assassin,Judgement Staff,2
12 Kuzar Events Assassin,Kotetsu,1
