shop_name,value
Bal/Kelb Armor,2.1837088388214903
Bal/Kelb Weapon,2.171900826446281
Carwen Armor,2.039451114922813
Carwen Inn,2.2445482866043616
Carwen Magic,2.2613293051359515
Carwen Weapon,2.1053677932405566
Common World 1 Inn,2.2911392405063293
Common World 2 Inn 1,2.1956521739130435
Common World 2 Inn 2,2.1628721541155866
Common World 2 Magic 1,2.1383495145631066
Common World 2 Magic 2,1.9549763033175356
Common World 2 Magic 3,2.027027027027027
Crescent Armor,2.021021021021021
Crescent Weapon,2.0954446854663775
Dwarf Armor,2.2543720190779015
Dwarf Magic,2.0689655172413794
Dwarf Weapon,2.038306451612903
Istory Relic,1.962877030162413
Jacole Armor,2.0864197530864197
Jacole Weapon,2.0939044481054365
Karnak Armor,2.2296173044925123
Karnak Magic 1,2.225122349102773
Karnak Magic 2,2.1759868421052633
Karnak Magic 3,2.086206896551724
Karnak Weapon 1,2.1763727121464225
Karnak Weapon 2,2.0041407867494825
Kelb Armor,2.0097087378640777
Kelb Weapon,2.1647254575707153
Lix Armor,2.019867549668874
Lix Guild,2.086
Lix Inn,2.1905537459283386
Lix Magic,1.9903536977491962
Mirage Armor,2.159937888198758
Mirage Guild,2.1226415094339623
Mirage Inn 1,2.1624441132637853
Mirage Inn 2,2.16
Mirage Magic 1,2.1494607087827426
Mirage Magic 2,2.183734939759036
Mirage Relic,2.1169871794871793
Mirage Weapon,2.111842105263158
Mua Armor,2.1936560934891487
Mua Magic 1,2.125205930807249
Mua Magic 2,2.1533219761499147
Mua Magic 3,2.1443123938879456
Mua Weapon,2.0152439024390243
Rugor Armor,2.208261617900172
Rugor Weapon,2.1924959216965743
Surgate Armor,2.1901639344262294
Surgate Weapon,2.0764705882352943
Tule Armor,2.048936170212766
Tule Inn,2.023474178403756
Tule Magic,2.1109375
Tule Weapon,2.0120967741935485
Worus Armor,2.1231884057971016
Worus Magic,2.230016313213703
Worus Weapon,1.9613636363636364
