shop_name,item,value
Bal/Kelb Armor,????,4
Bal/Kelb Armor,Aero,1
Bal/Kelb Armor,Aero 2,2
Bal/Kelb Armor,Aero 3,2
Bal/Kelb Armor,Agility,1
Bal/Kelb Armor,Aim,2
Bal/Kelb Armor,Air Lance,1
Bal/Kelb Armor,Analyze,1
Bal/Kelb Armor,Ancient Sword,3
Bal/Kelb Armor,Angel Gwn,2
Bal/Kelb Armor,Angel Ring,2
Bal/Kelb Armor,Animals,3
Bal/Kelb Armor,Antdt,1
Bal/Kelb Armor,AntiMagic Bow,3
Bal/Kelb Armor,Antidote,3
Bal/Kelb Armor,AquaRake,1
Bal/Kelb Armor,Armor,2
Bal/Kelb Armor,Artemis Bow,1
Bal/Kelb Armor,Avis Killer,1
Bal/Kelb Armor,Bahmut,3
Bal/Kelb Armor,Bandana,2
Bal/Kelb Armor,Bard's Surplice,2
Bal/Kelb Armor,Barrier,1
Bal/Kelb Armor,Battle Axe,1
Bal/Kelb Armor,Berserk,3
Bal/Kelb Armor,Bersk,1
Bal/Kelb Armor,Bio,6
Bal/Kelb Armor,Black Lv.2,3
Bal/Kelb Armor,Black Lv.3,1
Bal/Kelb Armor,Black Lv.4,1
Bal/Kelb Armor,Black Lv.5,1
Bal/Kelb Armor,Blowfish,2
Bal/Kelb Armor,Bolt,4
Bal/Kelb Armor,Bolt2,6
Bal/Kelb Armor,Bolt3,12
Bal/Kelb Armor,Break,6
Bal/Kelb Armor,Broadsword,2
Bal/Kelb Armor,Bronze Helm,2
Bal/Kelb Armor,Bronze Shield,2
Bal/Kelb Armor,Catch,2
Bal/Kelb Armor,Charm,6
Bal/Kelb Armor,Chicken Knife,1
Bal/Kelb Armor,Circlet,1
Bal/Kelb Armor,Combine,2
Bal/Kelb Armor,Comet,1
Bal/Kelb Armor,Condemn,2
Bal/Kelb Armor,Conjure,1
Bal/Kelb Armor,Control,2
Bal/Kelb Armor,CopperPlt,1
Bal/Kelb Armor,Coral Ring,4
Bal/Kelb Armor,Coral Sword,1
Bal/Kelb Armor,CornaJar,1
Bal/Kelb Armor,Coronet,3
Bal/Kelb Armor,Cotton Robe,2
Bal/Kelb Armor,Crbnkl,1
Bal/Kelb Armor,Crystal Armor,2
Bal/Kelb Armor,Crystal Helm,2
Bal/Kelb Armor,Crystal Shield,1
Bal/Kelb Armor,Cure3,1
Bal/Kelb Armor,Cursed Ring,1
Bal/Kelb Armor,Dagger,2
Bal/Kelb Armor,Dance,1
Bal/Kelb Armor,Dancing Dagger,1
Bal/Kelb Armor,DarkSuit,2
Bal/Kelb Armor,Darkness Bow,1
Bal/Kelb Armor,Dbl Grip,1
Bal/Kelb Armor,DblLance,4
Bal/Kelb Armor,Demi,2
Bal/Kelb Armor,DiamndPlt,3
Bal/Kelb Armor,Diamond Armlet,2
Bal/Kelb Armor,Diamond Shield,1
Bal/Kelb Armor,Dimen Lv.1,1
Bal/Kelb Armor,Dimen Lv.2,1
Bal/Kelb Armor,Dimen Lv.3,1
Bal/Kelb Armor,Dimen Lv.4,3
Bal/Kelb Armor,Dimen Lv.5,3
Bal/Kelb Armor,Dispel,1
Bal/Kelb Armor,DmgFloor,2
Bal/Kelb Armor,Doom,5
Bal/Kelb Armor,DoomCut,1
Bal/Kelb Armor,Dragon's Whisker,1
Bal/Kelb Armor,Drain,6
Bal/Kelb Armor,Drain Sword,2
Bal/Kelb Armor,DrgnCrest,3
Bal/Kelb Armor,DrgnSwd,1
Bal/Kelb Armor,Drink,2
Bal/Kelb Armor,DrkShock,1
Bal/Kelb Armor,Earth Bell,2
Bal/Kelb Armor,Earth Hammer,1
Bal/Kelb Armor,Elixir,3
Bal/Kelb Armor,Elven Bow,3
Bal/Kelb Armor,Enhancer,2
Bal/Kelb Armor,Equip Armors,3
Bal/Kelb Armor,Equip Axes,1
Bal/Kelb Armor,Equip Harps,1
Bal/Kelb Armor,Equip Katana,1
Bal/Kelb Armor,Equip Rods,1
Bal/Kelb Armor,Equip Shield,2
Bal/Kelb Armor,Equip Spears,3
Bal/Kelb Armor,Equip Whips,3
Bal/Kelb Armor,Escape,2
Bal/Kelb Armor,Ether,3
Bal/Kelb Armor,Exit,1
Bal/Kelb Armor,Eyedrop,2
Bal/Kelb Armor,Fire,2
Bal/Kelb Armor,Fire2,2
Bal/Kelb Armor,Fire3,2
Bal/Kelb Armor,Flail,1
Bal/Kelb Armor,Flame Ring,3
Bal/Kelb Armor,Flame Scroll,1
Bal/Kelb Armor,Flame Shield,1
Bal/Kelb Armor,Flare,8
Bal/Kelb Armor,Flash,1
Bal/Kelb Armor,Float,4
Bal/Kelb Armor,Fusion,2
Bal/Kelb Armor,Gaia Gear,1
Bal/Kelb Armor,Gale Bow,1
Bal/Kelb Armor,Gauntlets,1
Bal/Kelb Armor,Genji Armor,1
Bal/Kelb Armor,Giant's Axe,1
Bal/Kelb Armor,Giant's Gloves,1
Bal/Kelb Armor,Giyaman,4
Bal/Kelb Armor,Glasses,2
Bal/Kelb Armor,GrnBeret,4
Bal/Kelb Armor,Guardian,1
Bal/Kelb Armor,HP +10%,2
Bal/Kelb Armor,HP +20%,1
Bal/Kelb Armor,Hammer,2
Bal/Kelb Armor,Haste,1
Bal/Kelb Armor,Heal,1
Bal/Kelb Armor,Healing Staff,2
Bal/Kelb Armor,Hero,1
Bal/Kelb Armor,Hero Drink,1
Bal/Kelb Armor,HiPotion,3
Bal/Kelb Armor,Holy,4
Bal/Kelb Armor,Ice,10
Bal/Kelb Armor,Ice Rod,1
Bal/Kelb Armor,Ice Shield,1
Bal/Kelb Armor,Ice2,8
Bal/Kelb Armor,Ice3,8
Bal/Kelb Armor,IceBrand,3
Bal/Kelb Armor,Iron Armor,1
Bal/Kelb Armor,Iron Helm,1
Bal/Kelb Armor,Iron Shield,1
Bal/Kelb Armor,Javelin,3
Bal/Kelb Armor,Judgement Staff,1
Bal/Kelb Armor,Jump,1
Bal/Kelb Armor,Kick,3
Bal/Kelb Armor,Killer Bow,1
Bal/Kelb Armor,Knife,3
Bal/Kelb Armor,Kodachi,1
Bal/Kelb Armor,Kotetsu,2
Bal/Kelb Armor,L3 Flare,2
Bal/Kelb Armor,L5 Doom,1
Bal/Kelb Armor,Lamia's Tiara,1
