index,address,shop_type,id,content_name,price,
1,D12A00,03,00,<blank>,0100,
2,D12A02,03,01,Empty,0100,
3,D12A04,03,02,Knife,010f,
4,D12A06,03,03,Dagger,011e,
5,D12A08,03,04,Mythril Knife,012d,
6,D12A0A,03,05,Kunai,013c,
7,D12A0C,03,06,Mage Masher,015a,
8,D12A0E,03,07,Guardian,021a,
9,D12A10,03,08,Kodachi,0233,
10,D12A12,03,09,Orialcon,0222,
11,D12A14,03,0A,Air Lance,0244,
12,D12A16,03,0B,Assassin,0402,
13,D12A18,03,0C,Sasuke,0402,
14,D12A1A,03,0D,Broadsword,011c,
15,D12A1C,03,0E,RegalCut,0130,
16,D12A1E,03,0F,Mythril Sword,0158,
17,D12A20,03,10,Coral Sword,021c,
18,D12A22,03,11,Ancient Sword,022a,
19,D12A24,03,12,Epee Sword,0254,
20,D12A26,03,13,Slumber Sword,0238,
21,D12A28,03,14,Defender Sword,026e,
22,D12A2A,03,15,Excalibur,4402,
23,D12A2C,03,16,Ragnarok,4403,
24,D12A2E,03,17,Javelin,010a,
25,D12A30,03,18,Spear,010a,
26,D12A32,03,19,Mythril Spear,014f,
27,D12A34,03,1A,Trident,021b,
28,D12A36,03,1B,Wind Spear,0236,
29,D12A38,03,1C,Partisan,0266,
30,D12A3A,03,1D,Gungnir,0251,
31,D12A3C,03,1E,DblLance,026c,
32,D12A3E,03,1F,Holy Lance,4402,
33,D12A40,03,20,Dragoon Lance,0403,
34,D12A42,03,21,Battle Axe,0141,
35,D12A44,03,22,Mythril Hammer,0169,
36,D12A46,03,23,Ogre Killer,0220,
37,D12A48,03,24,War Hammer,0240,
38,D12A4A,03,25,Venom Axe,0260,
39,D12A4C,03,26,Earth Hammer,0280,
40,D12A4E,03,27,Rune Axe,4402,
41,D12A50,03,28,Thor Hammer,4403,
42,D12A52,03,29,Katana,023a,
43,D12A54,03,2A,Air Blade,010a,
44,D12A56,03,2B,Kotetsu,0276,
45,D12A58,03,2C,Bizen,0258,
46,D12A5A,03,2D,Forged,0294,
47,D12A5C,03,2E,Murasume,4402,
48,D12A5E,03,2F,Masamune,4402,
49,D12A60,03,30,Tempest,4403,
50,D12A62,03,31,Rod,0114,
51,D12A64,03,32,Fire Rod,014b,
52,D12A66,03,33,Ice Rod,014b,
53,D12A68,03,34,Thunder Rod,014b,
54,D12A6A,03,35,Venom Rod,020f,
55,D12A6C,03,36,Lillith Rod,021e,
56,D12A6E,03,37,Wizard Rod,0402,
57,D12A70,03,38,Staff,0114,
58,D12A72,03,39,Mythril Staff,0132,
59,D12A74,03,3A,Power Staff,0212,
60,D12A76,03,3B,Healing Staff,0209,
61,D12A78,03,3C,Staff of Light,021b,
62,D12A7A,03,3D,Sage's Staff,0402,
63,D12A7C,03,3E,Judgement Staff,0403,
64,D12A7E,03,3F,Fire Bow,0219,
65,D12A80,03,40,Ice Bow,0219,
66,D12A82,03,41,Thunder Bow,0219,
67,D12A84,03,42,Darkness Bow,0226,
68,D12A86,03,43,Killer Bow,0232,
69,D12A88,03,44,Elven Bow,024b,
70,D12A8A,03,45,Yoichi Bow,4402,
71,D12A8C,03,46,Artemis Bow,4403,
72,D12A8E,03,47,Silver Harp,0208,
73,D12A90,03,48,Dream Harp,0210,
74,D12A92,03,49,Lamia's Harp,0220,
75,D12A94,03,4A,Apollo's Harp,4402,
76,D12A96,03,4B,Whip,020b,
77,D12A98,03,4C,Chain Whip,0221,
78,D12A9A,03,4D,Thunder Whip,0216,
79,D12A9C,03,4E,Flame Whip,0402,
80,D12A9E,03,4F,Dragon's Whisker,022c,
81,D12AA0,03,50,Giyaman,0132,
82,D12AA2,03,51,Earth Bell,0309,
83,D12AA4,03,52,Rune Chime,4402,
84,D12AA6,03,53,Tinkerbell,020f,
85,D12AA8,03,54,Sabre (*Dummy),010a,
86,D12AAA,03,55,Drain Sword,0310,
87,D12AAC,03,56,RuneEdge,0313,
88,D12AAE,03,57,Flametongue,0264,
89,D12AB0,03,58,IceBrand,026e,
90,D12AB2,03,59,Full Moon,016e,
91,D12AB4,03,5A,Shuriken,4219,
92,D12AB6,03,5B,Pinwheel,4319,
93,D12AB8,03,5C,Excailbur,0002,
94,D12ABA,03,5D,BeastKiller,030f,
95,D12ABC,03,5E,Flail,014e,
96,D12ABE,03,5F,Morning Star,024e,
97,D12AC0,03,60,Wonder Wand,0401,
98,D12AC2,03,61,Brave Blade,0403,
99,D12AC4,03,62,Soot,0002,
100,D12AC6,03,63,Chicken Knife,0002,
101,D12AC8,03,64,RisingSun,026e,
102,D12ACA,03,65,Silver Bow,020f,
103,D12ACC,03,66,Gale Bow,0255,
104,D12ACE,03,67,AntiMagic Bow,030a,
105,D12AD0,03,68,Avis Killer,0402,
106,D12AD2,03,69,DoomCut,023b,
107,D12AD4,03,6A,Giant's Axe,0404,
108,D12AD6,03,6B,ManEater,0002,
109,D12AD8,03,6C,Thief Knife,0244,
110,D12ADA,03,6D,Dancing Dagger,023a,
111,D12ADC,03,6E,Enhancer,0402,
112,D12ADE,03,6F,L. Hand,010a,
113,D12AE0,03,70,R. Hand,010a,
114,D12AE2,03,71,<dummy>,010a,
115,D12AE4,03,72,<dummy>,010a,
116,D12AE6,03,73,<dummy>,010a,
117,D12AE8,03,74,<dummy>,010a,
118,D12AEA,03,75,<dummy>,010a,
119,D12AEC,03,76,<dummy>,010a,
120,D12AEE,03,77,<dummy>,010a,
121,D12AF0,03,78,<dummy>,010a,
122,D12AF2,03,79,<dummy>,010a,
123,D12AF4,03,7A,<dummy>,010a,
124,D12AF6,03,7B,<dummy>,010a,
125,D12AF8,03,7C,<dummy>,010a,
126,D12AFA,03,7D,<dummy>,010a,
127,D12AFC,03,7E,<dummy>,010a,
128,D12AFE,03,7F,<dummy>,010a,
129,D12B00,03,80,<blank>,0100,
130,D12B02,03,81,Leather Shield,0109,
131,D12B04,03,82,Bronze Shield,011d,
132,D12B06,03,83,Iron Shield,0127,
133,D12B08,03,84,Mythril Shield,013b,
134,D12B0A,03,85,Golden Shield,021e,
135,D12B0C,03,86,Aegis Shield,022d,
136,D12B0E,03,87,Diamond Shield,023c,
137,D12B10,03,88,Crystal Shield,025a,
138,D12B12,03,89,Leather Cap,0105,
139,D12B14,03,8A,Bronze Helm,0119,
140,D12B16,03,8B,Iron Helm,0123,
141,D12B18,03,8C,Mythril Helm,0137,
142,D12B1A,03,8D,Golden Helm,0223,
143,D12B1C,03,8E,Diamond Helm,0246,
144,D12B1E,03,8F,Crystal Helm,0269,
145,D12B20,03,90,Plumed Hat,0123,
146,D12B22,03,91,Tricorn Hat,020f,
147,D12B24,03,92,Magus,021e,
148,D12B26,03,93,Circlet,022d,
149,D12B28,03,94,Gold Hairpin,0403,
150,D12B2A,03,95,Ribbon,0002,
151,D12B2C,03,96,Bandana,0223,
152,D12B2E,03,97,GrnBeret,0219,
153,D12B30,03,98,DarkHood,0241,
154,D12B32,03,99,Lamia's Tiara,0219,
155,D12B34,03,9A,Leather Armor,0108,
156,D12B36,03,9B,Bronze Armor,0128,
157,D12B38,03,9C,Iron Armor,0132,
158,D12B3A,03,9D,Mythril Armor,0146,
159,D12B3C,03,9E,Golden Armor,0228,
160,D12B3E,03,9F,Diamond Armor,0250,
161,D12B40,03,A0,Crystal Armor,030c,
162,D12B42,03,A1,CopperPlt,0123,
163,D12B44,03,A2,Training Suit,012d,
164,D12B46,03,A3,Silver Plate,013c,
165,D12B48,03,A4,Stealth Suit,021e,
166,D12B4A,03,A5,DiamndPlt,023c,
167,D12B4C,03,A6,DarkSuit,025a,
168,D12B4E,03,A7,Cotton Robe,011e,
169,D12B50,03,A8,Silk robe,0132,
170,D12B52,03,A9,Gaia Gear,0214,
171,D12B54,03,AA,Bard's Surplice,020a,
172,D12B56,03,AB,Lumina Robe,0228,
173,D12B58,03,AC,Black Robe,0308,
174,D12B5A,03,AD,White Robe,0308,
175,D12B5C,03,AE,Mirage Vest,010a,
176,D12B5E,03,AF,Guard Ring,0403,
177,D12B60,03,B0,Thief's Glove,0303,
178,D12B62,03,B1,Giant's Gloves,0305,
179,D12B64,03,B2,Elf Cape,0228,
180,D12B66,03,B3,Cursed Ring,0002,
181,D12B68,03,B4,Glasses,0119,
182,D12B6A,03,B5,Running Shoes,0405,
183,D12B6C,03,B6,Mythril Glove,013c,
184,D12B6E,03,B7,Silver Armlet,0132,
185,D12B70,03,B8,Diamond Armlet,0228,
186,D12B72,03,B9,Strength,022d,
187,D12B74,03,BA,Power Wrist,0219,
188,D12B76,03,BB,Angel Gwn,021e,
189,D12B78,03,BC,Angel Ring,0405,
190,D12B7A,03,BD,Flame Ring,0405,
191,D12B7C,03,BE,Coral Ring,0405,
192,D12B7E,03,BF,Bone Mail,0002,
193,D12B80,03,C0,Leather Shoes,0107,
194,D12B82,03,C1,Kaiser Knuckles,030f,
195,D12B84,03,C2,Gauntlets,021e,
196,D12B86,03,C3,Tiger Mask,0232,
