ability_id,readable_name,valid,value,related_jobs,max_count,progression_id,tier
00,Other,FALSE,0,[],0,FF,0
01,Item,FALSE,0,[],0,FF,0
02,Row,FALSE,0,[],0,FF,0
03,Def.,FALSE,0,[],0,FF,0
04,Attack,FALSE,0,[],0,FF,0
05,Guard,FALSE,0,[],0,FF,0
06,Kick,TRUE,1,[“Monk”],1,00,2
07,BuildUp,TRUE,2,[“Monk”],1,01,2
08,Mantra,TRUE,2,[“Monk”],1,02,2
09,Escape,TRUE,0,[“Thief”],1,03,2
0A,Steal,TRUE,1,[“Thief”],1,04,2
0B,Capture,TRUE,2,[“Thief”],1,05,3
0C,Jump,TRUE,2,[“Dragoon”],1,06,2
0D,DrgnSwd,TRUE,2,[“Dragoon”],1,07,2
0E,Smoke,TRUE,2,[“Ninja”],1,08,2
0F,Image,TRUE,2,[“Ninja”],1,09,3
10,Throw,TRUE,2,[“Ninja”],1,0A,4
11,SwdSlap,TRUE,2,[“Samurai”],1,0B,2
12,GilToss,TRUE,100,[“Samurai”],1,0C,9
13,Slash,TRUE,2,[“Samurai”],1,0D,3
14,Animals,TRUE,2,[“Hunter”],1,0E,2
15,Aim,TRUE,2,[“Hunter”],1,0E,2
16,X-Fight,TRUE,2,[“Hunter”],1,0E,8
17,Conjure,TRUE,2,[“Summoner”],1,0F,3
18,Observe,TRUE,2,[“BlueMage”],1,10,2
19,Analyze,TRUE,2,[“BlueMage”],1,11,2
1A,Tame,TRUE,2,[“Mediator”],1,12,3
1B,Control,TRUE,2,[“Mediator”],1,13,5
1C,Catch,TRUE,2,[“Mediator”],1,14,4
1D,Release,FALSE,2,[“Mediator”],1,15,0
1E,Combine,TRUE,2,[“Chemist”],1,16,5
1F,Drink,TRUE,2,[“Chemist”],1,17,3
20,Pray,TRUE,2,[“Chemist”],1,18,3
21,Revive,TRUE,2,[“Chemist”],1,19,5
22,Terrain,TRUE,2,[“Geomancer”],1,1A,2
23,*Dummy01,FALSE,0,[],0,FF,0
24,Hide,TRUE,1,[“Bard”],1,1B,2
25,Show,FALSE,0,[“Bard”],0,FF,0
26,*Dummy02,FALSE,0,[],0,FF,0
27,Sing,TRUE,2,[“Bard”],1,1C,2
28,Flirt,TRUE,2,[“Dancer”],1,1D,2
29,Dance,TRUE,2,[“Dancer”],1,1E,2
2A,Mimic,TRUE,2,[“Mimic”],1,1F,5
2B,Blank18,FALSE,0,[],0,FF,0
2C,Blank19,FALSE,0,[],0,FF,0
2D,Blank20,FALSE,0,[],0,FF,0
2E,Blank21,FALSE,0,[],0,FF,0
2F,Blank22,FALSE,0,[],0,FF,0
30,MgcSwrd Lv.1,TRUE,1,[“MysticKnight”],1,20,2
31,MgcSwrd Lv.2,TRUE,1,[“MysticKnight”],1,20,2
32,MgcSwrd Lv.3,TRUE,2,[“MysticKnight”],1,20,3
33,MgcSwrd Lv.4,TRUE,2,[“MysticKnight”],1,20,4
34,MgcSwrd Lv.5,TRUE,3,[“MysticKnight”],1,20,6
35,MgcSwrd Lv.6,TRUE,3,[“MysticKnight”],1,20,8
36,Blank23,FALSE,0,[],0,FF,0
37,Blank24,FALSE,0,[],0,FF,0
38,White Lv.1,TRUE,1,[“WhiteMage”],1,21,2
39,White Lv.2,TRUE,1,[“WhiteMage”],1,21,2
3A,White Lv.3,TRUE,1,[“WhiteMage”],1,21,3
3B,White Lv.4,TRUE,2,[“WhiteMage”],1,21,4
3C,White Lv.5,TRUE,2,[“WhiteMage”],1,21,6
3D,White Lv.6,TRUE,3,[“WhiteMage”],1,21,8
3E,Blank25,FALSE,0,[],0,FF,0
3F,Blank26,FALSE,0,[],0,FF,0
40,Black Lv.1,TRUE,1,[“BlackMage”],1,22,2
41,Black Lv.2,TRUE,1,[“BlackMage”],1,22,2
42,Black Lv.3,TRUE,1,[“BlackMage”],1,22,3
43,Black Lv.4,TRUE,2,[“BlackMage”],1,22,4
44,Black Lv.5,TRUE,2,[“BlackMage”],1,22,6
45,Black Lv.6,TRUE,3,[“BlackMage”],1,22,8
46,Blank1,FALSE,0,[],0,FF,0
47,Blank2,FALSE,0,[],0,FF,0
48,Dimen Lv.1,TRUE,1,[“TimeMage”],1,23,2
49,Dimen Lv.2,TRUE,1,[“TimeMage”],1,23,2
4A,Dimen Lv.3,TRUE,1,[“TimeMage”],1,23,3
4B,Dimen Lv.4,TRUE,2,[“TimeMage”],1,23,4
4C,Dimen Lv.5,TRUE,2,[“TimeMage”],1,23,6
4D,Dimen Lv.6,TRUE,3,[“TimeMage”],1,23,8
4E,Blank3,FALSE,0,[],0,FF,0
4F,Blank4,FALSE,0,[],0,FF,0
50,Summon Lv.1,TRUE,1,[“Summoner”],1,24,2
51,Summon Lv.2,TRUE,1,[“Summoner”],1,24,3
52,Summon Lv.3,TRUE,1,[“Summoner”],1,24,4
53,Summon Lv.4,TRUE,2,[“Summoner”],1,24,6
54,Summon Lv.5,TRUE,3,[“Summoner”],1,24,8
55,Blank5,FALSE,0,[],0,FF,0
56,Blank6,FALSE,0,[],0,FF,0
57,Blank7,FALSE,0,[],0,FF,0
58,Red Lv.1,TRUE,1,[“RedMage”],1,25,2
59,Red Lv.2,TRUE,2,[“RedMage”],1,25,2
5A,Red Lv.3,TRUE,3,[“RedMage”],1,25,3
5B,Blank8,FALSE,0,[],0,FF,0
