index,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8,name
00,06,FF,FF,FF,FF,FF,FF,FF,Kick
01,07,FF,FF,FF,FF,FF,FF,FF,BuildUp
02,08,FF,FF,FF,FF,FF,FF,FF,Mantra
03,09,FF,FF,FF,FF,FF,FF,FF,Escape
04,0A,FF,FF,FF,FF,FF,FF,FF,Steal
05,0B,FF,FF,FF,FF,FF,FF,FF,Capture
06,0C,FF,FF,FF,FF,FF,FF,FF,Jump
07,0D,FF,FF,FF,FF,FF,FF,FF,DrgnSwd
08,0E,FF,FF,FF,FF,FF,FF,FF,Smoke
09,0F,FF,FF,FF,FF,FF,FF,FF,Image
0A,10,FF,FF,FF,FF,FF,FF,FF,Throw
0B,11,FF,FF,FF,FF,FF,FF,FF,SwdSlap
0C,12,FF,FF,FF,FF,FF,FF,FF,GilToss
0D,13,FF,FF,FF,FF,FF,FF,FF,Slash
0E,14,15,16,FF,FF,FF,FF,FF,Animals/Aim/X-Fight
0F,17,FF,FF,FF,FF,FF,FF,FF,Conjure
10,18,FF,FF,FF,FF,FF,FF,FF,Observe
11,19,FF,FF,FF,FF,FF,FF,FF,Analyze
12,1A,FF,FF,FF,FF,FF,FF,FF,Tame
13,1B,FF,FF,FF,FF,FF,FF,FF,Control
14,1C,FF,FF,FF,FF,FF,FF,FF,Catch
15,1D,FF,FF,FF,FF,FF,FF,FF,Release
16,1E,FF,FF,FF,FF,FF,FF,FF,Combine
17,1F,FF,FF,FF,FF,FF,FF,FF,Drink
18,20,FF,FF,FF,FF,FF,FF,FF,Pray
19,21,FF,FF,FF,FF,FF,FF,FF,Revive
1A,22,FF,FF,FF,FF,FF,FF,FF,Terrain
1B,24,FF,FF,FF,FF,FF,FF,FF,Hide
1C,27,FF,FF,FF,FF,FF,FF,FF,Sing
1D,28,FF,FF,FF,FF,FF,FF,FF,Flirt
1E,29,FF,FF,FF,FF,FF,FF,FF,Dance
1F,2A,FF,FF,FF,FF,FF,FF,FF,Mimic
20,30,31,32,33,34,35,FF,FF,MgcSwrd
21,38,39,3A,3B,3C,3D,FF,FF,White
22,40,41,42,43,44,45,FF,FF,Black
23,48,49,4A,4B,4C,4D,FF,FF,Dimen
24,50,51,52,53,54,FF,FF,FF,Summon
25,58,59,5A,60,FF,FF,FF,FF,Red/X-Magic
26,61,FF,FF,FF,FF,FF,FF,FF,Blue
27,68,FF,FF,FF,FF,FF,FF,FF,Equip Shield
28,69,FF,FF,FF,FF,FF,FF,FF,Equip Armors
29,6A,FF,FF,FF,FF,FF,FF,FF,Equip Ribbon
2A,6B,FF,FF,FF,FF,FF,FF,FF,Equip Swords
2B,6C,FF,FF,FF,FF,FF,FF,FF,Equip Spears
2C,6D,FF,FF,FF,FF,FF,FF,FF,Equip Katana
2D,6E,FF,FF,FF,FF,FF,FF,FF,Equip Axes
2E,6F,FF,FF,FF,FF,FF,FF,FF,Equip Bows
2F,70,FF,FF,FF,FF,FF,FF,FF,Equip Whips
30,71,FF,FF,FF,FF,FF,FF,FF,Equip Harps
31,72,FF,FF,FF,FF,FF,FF,FF,Agility
32,73,74,75,FF,FF,FF,FF,FF,HP +X%
33,76,77,FF,FF,FF,FF,FF,FF,MP +X%
34,78,FF,FF,FF,FF,FF,FF,FF,Brawl
35,79,FF,FF,FF,FF,FF,FF,FF,Dbl Grip
36,7A,FF,FF,FF,FF,FF,FF,FF,2-Handed
37,7B,FF,FF,FF,FF,FF,FF,FF,Medicine
38,7C,FF,FF,FF,FF,FF,FF,FF,Cover
39,7D,FF,FF,FF,FF,FF,FF,FF,Counter
3A,7E,FF,FF,FF,FF,FF,FF,FF,Evade
3B,7F,FF,FF,FF,FF,FF,FF,FF,Learning
3C,80,FF,FF,FF,FF,FF,FF,FF,Barrier
3D,81,FF,FF,FF,FF,FF,FF,FF,Berserk
3E,82,FF,FF,FF,FF,FF,FF,FF,Caution
3F,83,FF,FF,FF,FF,FF,FF,FF,Preemptive
40,84,FF,FF,FF,FF,FF,FF,FF,Passages
41,85,FF,FF,FF,FF,FF,FF,FF,DmgFloor
42,86,FF,FF,FF,FF,FF,FF,FF,Pitfalls
43,87,FF,FF,FF,FF,FF,FF,FF,Equip Rods
44,88,FF,FF,FF,FF,FF,FF,FF,Dash
