area_id,area_name,capacity,order
3,Pyramid,70,17
25,Rift,49,22
10,Istory Falls,44,20
27,Karnak,42,7
23,Exdeath’s Castle,37,16
4,Kuzar,35,21
6,Solitary Island,31,19
9,Flying Lonka Ruins,30,12
17,Tycoon Castle,28,5
15,Walse,27,6
0,Steamship,24,8
7,Mua,20,15
18,Void,17,23
8,Tule,16,3
13,Fork Tower,16,18
20,Wind Shrine,14,2
28,Great Trench,14,20
5,Phoenix Tower,14,20
21,Moogle Village,12,15
11,Hiryuu Valley,12,13
22,Ship Graveyard,12,4
32,Ancient Library,11,9
30,Crescent Island,9,10
12,Bal Castle,9,12
16,Ruined City,8,11
33,Pirate’s Cave,7,1
29,Barrier Tower,7,14
31,North Mountain,6,5
19,Kelb,6,8
26,Mirage Village,5,20
1,Carwen,4,5
34,Jacole,4,5
24,Surgate Castle,4,13
2,Rugor,4,20
14,Lix,2,10
