idx,enemy_name,enemy_rank,tier,num_gauge_time,num_phys_power,num_phys_mult,num_evade,num_phys_def,num_mag_power,num_mag_def,num_mag_evade,num_mp,ai_starting_address,ai_write_loc,ai_skills
256,WingRaptor,boss,1,25,7,2,0,0,1,10,10,25,D0B045,[],['']
256,WingRaptor,boss,2,32,30,6,0,0,1,10,10,25,D0B045,[],['']
256,WingRaptor,boss,3,40,65,9,0,0,1,10,10,25,D0B045,[],['']
256,WingRaptor,boss,4,45,100,11,10,30,1,10,10,25,D0B045,[],['']
257,WingRaptor,boss,1,25,7,3,40,20,1,10,10,0,D0B049,[],['']
257,WingRaptor,boss,2,32,30,7,40,20,1,10,10,0,D0B049,[],['']
257,WingRaptor,boss,3,40,65,10,40,20,1,10,10,0,D0B049,[],['']
257,WingRaptor,boss,4,45,100,20,40,60,1,10,10,0,D0B049,[],['']
258,Karlabos,boss,1,30,10,4,0,0,0,10,0,100,D0B2B7,[],['']
258,Karlabos,boss,2,37,50,7,0,3,0,13,0,100,D0B2B7,[],['']
258,Karlabos,boss,3,45,70,8,0,7,0,17,0,100,D0B2B7,[],['']
258,Karlabos,boss,4,50,110,10,10,10,0,20,0,100,D0B2B7,[],['']
260,Siren,boss,1,35,15,6,0,0,0,20,0,200,D0B2E0,"[6,7,8,10,11,12,14,15,16]","['Mute','Slow','Haste','Cure','Ice,'Scan','Armor','Sleep','Bolt']"
260,Siren,boss,2,40,15,6,0,0,10,30,0,500,D0B2E0,"[6,7,8,10,11,12,14,15,16]","['Mute','Slow','Haste','Cure2','Ice2,'Scan','Armor','Sleep','Bolt2']"
260,Siren,boss,3,42,15,6,0,0,20,40,0,800,D0B2E0,"[6,7,8,10,11,12,14,15,16]","['Mute','Slow2','Haste','Cure2','Ice3,'Scan','Armor','Sleep','Bolt2']"
260,Siren,boss,4,45,15,6,0,0,30,50,0,1000,D0B2E0,"[6,7,8,10,11,12,14,15,16]","['Mute','Slow2','Haste','Cure2','Ice3,'Scan','Armor','Sleep','Bolt3']"
261,Siren,boss,1,35,14,8,0,12,0,0,0,200,D0B300,[],['']
261,Siren,boss,2,40,50,10,0,20,0,0,0,200,D0B300,[],['']
261,Siren,boss,3,42,70,11,0,30,0,0,0,200,D0B300,[],['']
261,Siren,boss,4,45,110,12,0,40,0,0,0,200,D0B300,[],['']
262,Forza,boss,1,37,14,9,0,3,0,5,0,100,D0B318,[],['']
262,Forza,boss,2,40,50,9,0,8,0,5,5,100,D0B318,[],['']
262,Forza,boss,3,45,80,9,0,10,0,5,5,100,D0B318,[],['']
262,Forza,boss,4,45,110,9,0,15,0,5,10,100,D0B318,[],['']
