char,job,byte_string
Butz,Knight,06228410ff7f60551f4755217e191b041c26d110f8213f0300620045a042c86e
Butz,Monk,06228410ff7f60551f475521ff4c1a2c1c26d110f8216b515f02a042e02d3f03
Butz,Thief,06228410ff7f60551f475521e61ae30d1c26d110f8213f03d725ff6bbf3bd110
Butz,Dragoon,06228410ff7f60551f4755212e6e67511c26d110f821197e706d3f031b04887f
Butz,Ninja,06228410ff7f60551f475521c04d20491c26d110f821a05e7902b601ff7f1c03
Butz,Samurai,06228410ff7f60551f4755211b0411081c26d110f821524a4a293f03ff6bfd3d
Butz,Berserker,06228410ff7f60551f475521b54ace2d1c26d110f8211b04385bff6bdd56c04d
Butz,Hunter,06228410ff7f60551f475521c03f6c221c26d110f82179027f4b53011a2cbf3b
Butz,Mystic Knight,06228410ff7f60555b365521ff6b1847b61dd110f82119017c79a042ce2d3544
Butz,White Mage,80258410ff7f60551f475521ff6b7f3f1c26d110f821bb1c58321f3c1f3cd110
Butz,Black Mage,524e8410ff7ff37f630c5521a0726051630cd110f8211602bf43fc02a042e02d
Butz,Time Mage,19218410ff7f00693f531f03567a2d793f3adb0dff3f7f405f035f72a51ee53b
Butz,Summoner,a0028410ff7f60551f475521800260051c26d110f8217f3f9a26df5b2003d110
Butz,Blue Mage,19218410ff7f60551f475521857de3481c26d110f821e87aff6bff2c151c3f03
Butz,Red Mage,d34d8410ff7f60551f4755211f0413081c26d110f821b0257f3f3f0353261011
Butz,Trainer,934c8410ff7f60551f4755213f4b5a3a1c26d110f821d110c0599f02ff6bde52
Butz,Chemist,06228410ff7f60551f4755211f03b6011c26d110f821ff6b2057e029bf3fcc10
Butz,Geomancer,06228410ff7f6055bd365521804a802d9819d110f821b601d73bc91e3f038067
Butz,Bard,06228410ff7f60551f475521c91ea0051c26d110f821ff6b1450bc029f78cc10
Butz,Dancer,06228410ff7f60551f475521191413181c26d110f8214a29ff6b1f1de003c002
Butz,Mimic,06228410ff7f60551f475521207ee07c1c26d110f821fb141100bf3fa40a5301
Butz,Freelancer,06228410ff7f60551f475521207ee07c1c26d110f82153273536ff6ba40a5301
Lenna,Knight,06228410ff7fa6213f53ff409266206adf2d17343f4e3f036049a02ca042d34d
Lenna,Monk,80258410ff7fa6213f53ff4099109110df2d17343f4e3f03ff11e029ad51cc10
Lenna,Thief,524e8410ff7fa6213f53ff40e61ae30ddf2d17343f4e3f03d725f13bbf3bd110
