magic_id,readable_name,type,value,max_count,valid,item_randomization_valid,related_jobs,progression_id,tier,randomization_power
0,Fire,Sword,2,1,FALSE,FALSE,[“MysticKnight”],0,1,
1,Ice,Sword,2,1,TRUE,FALSE,[“MysticKnight”],1,1,
2,Bolt,Sword,2,1,TRUE,FALSE,[“MysticKnight”],2,1,
3,Venom,Sword,2,1,TRUE,FALSE,[“MysticKnight”],3,1,
4,Mute,Sword,2,1,TRUE,FALSE,[“MysticKnight”],4,1,
5,Sleep,Sword,2,1,TRUE,FALSE,[“MysticKnight”],5,1,
6,Fire2,Sword,2,1,TRUE,FALSE,[“MysticKnight”],0,2,
7,Ice2,Sword,2,1,TRUE,FALSE,[“MysticKnight”],1,2,
8,Bolt2,Sword,2,1,TRUE,FALSE,[“MysticKnight”],2,2,
9,Drain,Sword,3,1,TRUE,FALSE,[“MysticKnight”],3,2,
0A,Break,Sword,3,1,TRUE,FALSE,[“MysticKnight”],3,3,
0B,Bio,Sword,3,1,TRUE,FALSE,[“MysticKnight”],5,3,
0C,Fire3,Sword,3,1,TRUE,FALSE,[“MysticKnight”],0,4,
0D,Ice3,Sword,3,1,TRUE,FALSE,[“MysticKnight”],1,4,
0E,Bolt3,Sword,3,1,TRUE,FALSE,[“MysticKnight”],2,4,
0F,Holy,Sword,3,1,TRUE,FALSE,[“MysticKnight”],4,7,
10,Flare,Sword,3,1,TRUE,FALSE,[“MysticKnight”],5,7,
11,Psych,Sword,3,1,TRUE,FALSE,[“MysticKnight”],4,3,
12,Cure,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",6,1,3
13,Scan,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",0A,1,6
14,Antdt,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",9,1,9
15,Mute,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",8,1,12
16,Armor,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",7,1,15
17,Size,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",8,1,18
18,Cure2,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",6,2,21
19,Life,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",0B,2,24
1A,Charm,White,2,1,TRUE,TRUE,"[“WhiteMage”, “RedMage”]",0A,2,27
1B,Image,White,2,1,TRUE,TRUE,[“WhiteMage”],9,2,30
1C,Shell,White,2,1,TRUE,TRUE,[“WhiteMage”],7,2,33
1D,Heal,White,2,1,TRUE,TRUE,[“WhiteMage”],9,3,36
1E,Cure3,White,2,1,TRUE,TRUE,[“WhiteMage”],6,4,39
1F,Wall,White,2,1,TRUE,TRUE,[“WhiteMage”],7,3,42
20,Bersk,White,2,1,TRUE,TRUE,[“WhiteMage”],8,3,45
21,Life2,White,2,1,TRUE,TRUE,[“WhiteMage”],0B,4,48
22,Holy,White,2,1,TRUE,TRUE,[“WhiteMage”],0A,7,51
23,Dispel,White,2,1,TRUE,TRUE,[“WhiteMage”],7,3,54
24,Fire,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",0C,1,34
25,Ice,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",0D,1,34
26,Bolt,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",0E,1,34
27,Venom,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",0F,1,46
28,Sleep,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",10,1,47
29,Toad,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",11,1,49
2A,Fire2,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",0C,2,55
2B,Ice2,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",0D,2,55
2C,Bolt2,Black,2,1,TRUE,TRUE,"[“BlackMage”, “RedMage”]",0E,2,55
2D,Drain,Black,2,1,TRUE,TRUE,[“BlackMage”],0F,2,63
2E,Break,Black,2,1,TRUE,TRUE,[“BlackMage”],0F,3,70
2F,Bio,Black,2,1,TRUE,TRUE,[“BlackMage”],11,3,70
30,Fire3,Black,2,1,TRUE,TRUE,[“BlackMage”],0C,4,79
31,Ice3,Black,2,1,TRUE,TRUE,[“BlackMage”],0D,4,79
32,Bolt3,Black,2,1,TRUE,TRUE,[“BlackMage”],0E,4,79
33,Flare,Black,2,1,TRUE,TRUE,[“BlackMage”],11,7,110
34,Doom,Black,2,1,TRUE,TRUE,[“BlackMage”],10,5,105
35,Psych,Black,2,1,TRUE,TRUE,[“BlackMage”],10,3,92
36,Drag,Time,2,1,FALSE,FALSE,[“TimeMage”],FF,1,
37,Slow,Time,2,1,TRUE,TRUE,[“TimeMage”],12,1,49
