idx,address,original_reward,area,description,reward_style,tier,force_type,required_key_items,required_key_items_lock1,required_key_items_lock2,exdeath_address,hint_tags,world
0,C0FAB2,Knight,Wind Shrine,Wind Crystal,event,4,,,,,,,
1,C0FAB4,BlueMage,Wind Shrine,Wind Crystal,event,4,,,,,,,
2,C0FAB6,BlackMage,Wind Shrine,Wind Crystal,event,4,,,,,,,
3,C0FAB8,WhiteMage,Wind Shrine,Wind Crystal,event,4,,,,,,,
4,C0FABA,Monk,Wind Shrine,Wind Crystal,event,4,,,,,,,
5,C0FABC,Thief,Wind Shrine,Wind Crystal,event,4,,,,,,,
6,C0FABE,Trainer,Karnak,Fire Crystal,event,4,,,,,,,
7,C0FAC0,Geomancer,Karnak,Fire Crystal,event,4,,,,,,,
8,C0FAC2,Ninja,Karnak,Fire Crystal,event,4,,,,,,,
9,C0FAC4,Bard,Crescent Island,Black Choco Crystals,event,3,,,,,,,
10,C0FAC6,Hunter,Crescent Island,Black Choco Crystals,event,3,,,,,,,
11,C0FAC8,Samurai,Flying Lonka Ruins,Earth Crystal,event,4,,,,,,,
12,C0FACA,Dragoon,Flying Lonka Ruins,Earth Crystal,event,4,,,,,,,
13,C0FACC,Chemist,Flying Lonka Ruins,Earth Crystal,event,4,,,,,,,
14,C0FACE,Dancer,Flying Lonka Ruins,Earth Crystal,event,4,,,,,,,
15,C0FAD0,Levia,Istory Falls,Leviathan Esper,event,4,,,,,,,
16,C0FAD2,Titan,Karnak,Titan,event,4,,,,,,,
17,C0FAD4,Crbnkl,Exdeath's Castle,Carbuncle,event,6,,,,,,,
18,C0FAD6,Syldra,Pirate's Cave,Syldra,event,6,,,,,,,
19,C0FAD8,Odin,Bal Castle,Odin,event,7,,,,,,,
20,C0FADA,Phenix,Phoenix Tower,Phoenix,event,8,,,,,,,
21,C0FADC,Bahmut,Hiryuu Valley,Bahamut,event,8,,,,,,,
22,C0FADE,Vitality,Crescent Island,Life Song,event,2,,,,,,,
23,C0FAE0,Charm,Lix,Temptation Song at Lix,event,2,,,,,,,
24,C0FAE2,Love,Istory Falls,Love Song at Istory,event,2,,,,,,,
25,C0FAE4,Requiem,Kelb,Requiem Song at Kelb,event,2,,,,,,,
26,C0FAE6,Speed,Surgate Castle,Speed Song at Surgate,event,4,,,,,,,
27,C0FAE8,Magic,Ancient Library,Magic Song at Ancient Library,event,4,,,,,,,
28,C0FAEA,Power,Crescent Island,Power Song from Crescent Town,event,2,,,,,,,
29,C0FAEC,Hero,Crescent Island,Hero Song from Crescent Town,event,4,,,,,,,
30,C0FAEE,Holy,Fork Tower,"Fork Tower, two Magics",event,8,,,,,,,
31,C0FAF0,Flare,Fork Tower,"Fork Tower, two Magics",event,8,,,,,,,
32,C0FAF2,Meteo,Great Trench,Meteo,event,8,,,,,,,
33,C0FAF4,Potion,Wind Shrine,5 potions (from NPC),event,2,,,,,,,
34,C0FAF6,Potion,Pirate's Cave,8 potions (from NPC),event,2,,,,,,,
35,C0FAF8,Healing Staff,Tycoon Castle,Chancellor at Tycoon,event,2,,,,,,,
36,C0FAFA,Mythril Helm,North Mountain,Magisa & Forza,event,2,,,,,,,
37,C0FAFC,CornaJar,Kelb,CornaJar at Kelb,event,8,,,,,,,
38,C0FAFE,Ribbon,Rugor,Ribbon from girl in Rugor,event,4,,,,,,,
39,C0FB02,Assassin,Kuzar,12 Kuzar Events,event,8,,,,,,,
40,C0FB04,Apollo's Harp,Kuzar,12 Kuzar Events,event,8,,,,,,,
41,C0FB06,Excalibur,Kuzar,12 Kuzar Events,event,8,,,,,,,
42,C0FB08,Flame Whip,Kuzar,12 Kuzar Events,event,8,,,,,,,
43,C0FB0A,Earth Bell,Kuzar,12 Kuzar Events,event,8,,,,,,,
44,C0FB0C,Holy Lance,Kuzar,12 Kuzar Events,event,8,,,,,,,
45,C0FB0E,Masamune,Kuzar,12 Kuzar Events,event,8,,,,,,,
46,C0FB10,Wizard Rod,Kuzar,12 Kuzar Events,event,8,,,,,,,
47,C0FB12,Rune Axe,Kuzar,12 Kuzar Events,event,8,,,,,,,
48,C0FB14,Sage's Staff,Kuzar,12 Kuzar Events,event,8,,,,,,,
49,C0FB16,Hardened Dagger,Kuzar,12 Kuzar Events,event,8,,,,,,,
50,C0FB18,Yoichi Bow,Kuzar,12 Kuzar Events,event,8,,,,,,,
51,C0FB1A,Shiva,Walse,Shiva,event,4,,,,,,,
52,C0FB1C,Ifrit,Ancient Library,Ifrit,event,4,,,,,,,
53,C0FB1E,Samurai,Walse,Water Crystal,event,4,,,,,,,
54,C0FB20,Berserker,Walse,Water Crystal,event,4,,,,,,,
55,C0FB22,MysticKnight,Walse,Water Crystal,event,4,,,,,,,
56,C0FB24,TimeMage,Walse,Water Crystal,event,4,,,,,,,
57,C0FB26,Summoner,Walse,Water Crystal,event,4,,,,,,,
58,C0FB28,Brave Blade,Mua,Brave Blade,event,6,,,,,,,
59,C0FB2A,Chicken Knife,Mua,Chicken Knife,event,6,,,,,,,
60,C0FB2C,Cabin,Tycoon Castle,Tycoon Castle Cabin,event,2,,,,,,,
61,C0FB2E,Cabin,Tycoon Castle,Tycoon Castle Cabin,event,2,,,,,,,
62,C0FB30,GoGo,Walse,Walse Tower Chest,event,2,,,,,,,
63,C0FB32,Pyramid Tablet,Pyramid,Pyramid Top,event,2,,,,,,,
64,C0FB34,Toad,Istory Falls,Toad Event,event,2,,,,,,,
65,C0FB36,Aegis Shield,Mua,Aegis Shield Chest,event,4,,,,,,,
66,C0FB38,Cabin,Carwen,Lone Wolf Barrel,event,2,,,,,,,
67,C0FB3A,Thunder Whip,Bal Castle,Lone Wolf Chest,event,4,,,,,,,
68,C0FB3C,Epee,Bal Castle,Moat Item,event,4,,,,,,,
69,C0FB3E,Lamia Harp,Bal Castle,Shop Backdoor,event,4,,,,,,,
70,C0FB40,Magic Lamp,Istory Falls,Top of the Falls,event,6,,,,,,,
71,D13212,Broadsword,Wind Shrine,Wind Shrine Chest,chest,2,,,,,,,
72,D13216,Ether,Tule,Beginner's House Chest,chest,2,,,,,,,
73,D1321A,100,Tule,Beginner's House Chest,chest,2,,,,,,,
74,D1321E,Potion,Tule,Beginner's House Chest,chest,2,,,,,,,
75,D13222,Phoenix Down,Tule,Beginner's House Chest,chest,2,,,,,,,
76,D13226,Tent,Tule,Beginner's House Chest,chest,2,,,,,,,
77,D1322A,Leather Shoes,Tule,Beginner's House Chest MIB 1,mib_key,2,Item,,,,83,,1
78,D1322E,Leather Cap,Pirate's Cave,Pirate's Cave Chest,chest,2,,,,,,,
79,D13232,Tent,Pirate's Cave,Pirate's Cave Chest,chest,2,,,,,,,
80,D13236,Ether,Pirate's Cave,Pirate's Cave Chest,chest,2,,,,,,,
81,D1323A,300,Pirate's Cave,Pirate's Cave Chest,chest,2,,,,,,,
82,D1323E,Tent,Wind Shrine,Wind Shrine Chest,chest,2,,,,,,,
83,D13242,Leather Cap,Wind Shrine,Wind Shrine Chest,chest,2,,,,,,,
84,D13246,Staff,Wind Shrine,Wind Shrine Chest,chest,2,,,,,,,
85,D1324A,150,Tule,Tule Barrel,chest,2,,,,,,,
86,D1324E,Leather Shoes,Tule,Tule Box,chest,2,,,,,,,
87,D13252,Potion,Tule,Tule Barrel,chest,2,,,,,,,
88,D13256,Tent,Tule,Tule Box,chest,2,,,,,,,
89,D1325A,Phoenix Down,Tule,Tule Bush,chest,2,,,,,,,
90,D1325E,Flail,Ship Graveyard,Ship Graveyard Chest,chest,2,,,,,,,
91,D13262,Phoenix Down,Ship Graveyard,Ship Graveyard Chest,chest,2,,,,,,,
92,D13266,Tent,Ship Graveyard,Ship Graveyard Chest,chest,2,,,,,,,
93,D1326A,990,Ship Graveyard,Ship Graveyard Box,chest,2,,,,,,,
94,D1326E,Potion,Ship Graveyard,Ship Graveyard Chest,chest,2,,,,,,,
95,D13272,Antidote,Ship Graveyard,Ship Graveyard Chest,chest,2,,,,,,,
96,D13276,Antidote,Ship Graveyard,Ship Graveyard Chest,chest,2,,,,,,,
97,D1327A,Phoenix Down,Ship Graveyard,Ship Graveyard Chest,chest,2,,,,,,,
98,D1327E,Antidote,Carwen,Carwen Barrel,chest,2,,,,,,,
99,D13282,Ice Rod,Carwen,Carwen Box,chest,2,,,,,,,
100,D13286,1000,Carwen,Carwen Pot,chest,2,,,,,,,
101,D1328A,Soft,North Mountain,North Mountain Chest,chest,2,,,,,,,
102,D1328E,Phoenix Down,North Mountain,North Mountain Chest,chest,2,,,,,,,
103,D13292,Glasses,Walse,Walse Town Pot,chest,2,,,,,,,
104,D13296,Hi-Potion,Tycoon Castle,Tycoon Castle Pot,chest,2,,,,,,,
105,D1329A,Ether,Tycoon Castle,Tycoon Castle Pot,chest,2,,,,,,,
106,D1329E,Elixir,Tycoon Castle,Tycoon Castle Barrel,chest,2,,,,,,,
107,D132A2,Phoenix Down,Tycoon Castle,Tycoon Castle Barrel,chest,2,,,,,,,
108,D132A6,Cabin,Tycoon Castle,Tycoon Castle Barrel,chest,2,,,,,,,
109,D132AA,Ether,Tycoon Castle,Tycoon Castle Pot,chest,2,,,,,,,
110,D132AE,Elixir,Tycoon Castle,Tycoon Castle Pot,chest,2,,,,,,,
111,D132B2,Phoenix Down,Tycoon Castle,Tycoon Castle Pot,chest,2,,,,,,,
112,D132B6,Maiden's Kiss,Tycoon Castle,Tycoon Castle Pot,chest,2,,,,,,,
113,D132BA,Shuriken,Tycoon Castle,Tycoon Castle Chest,chest,2,,,,,,,
114,D132BE,Giyaman,Tycoon Castle,Tycoon Castle Chest,chest,2,,,,,,,
115,D132C2,Katana,Tycoon Castle,Tycoon Castle Chest,chest,2,,,,,,,
116,D132C6,Elf Cape,Walse,Walse Castle Chest,chest,2,,,,,,,
117,D132CA,1000,Walse,Walse Castle Pot,chest,2,,,,,,,
118,D132CE,Drag,Walse,Walse Castle Pot,chest,2,,,,,,,
119,D132D2,1000,Walse,Walse Castle Pot,chest,2,,,,,,,
120,D132D6,490,Walse,Walse Castle Box,chest,2,,,,,,,
121,D132DA,Tent,Walse,Walse Castle Barrel,chest,2,,,,,,,
122,D132DE,Phoenix Down,Walse,Walse Castle Barrel,chest,2,,,,,,,
123,D132E2,Silk robe,Walse,Walse Tower Chest,chest,2,,,,,,,
124,D132E6,Maiden's Kiss,Walse,Walse Tower Chest,chest,2,,,,,,,
125,D132EA,Silver Armlet,Walse,Walse Tower Chest,chest,2,,,,,,,
126,D132EE,Ether,Walse,Walse Tower Chest,chest,2,,,,,,,
127,D132F2,Phoenix Down,Tycoon Castle,Tycoon Meteor Chest,chest,2,,,,,,,
128,D132F6,Heavy Spear,Karnak,Karnak Castle Chest MIB 1,mib_key,4,Item,[“Steamship Key”],[“Steamship Key”],[“Steamship Key”],84,[“ship”],1
129,D132FA,Thunder Scroll,Karnak,Karnak Castle Chest MIB 2,mib_key,4,Item,[“Steamship Key”],[“Steamship Key”],[“Steamship Key”],85,[“ship”],1
130,D132FE,2000,Karnak,Karnak Castle Chest,chest,4,,,,,,,
131,D13302,Elixir,Karnak,Karnak Castle Chest MIB 3,mib_key,4,Item,[“Steamship Key”],[“Steamship Key”],[“Steamship Key”],86,[“ship”],1
132,D13306,Elixir,Karnak,Karnak Castle Chest,chest,4,,,,,,,
133,D1330A,Elixir,Karnak,Karnak Castle Chest,chest,4,,,,,,,
134,D1330E,2000,Karnak,Karnak Castle Chest,chest,4,,,,,,,
135,D13312,Elixir,Karnak,Karnak Castle Chest,chest,4,,,,,,,
136,D13316,Elixir,Karnak,Karnak Castle Chest,chest,4,,,,,,,
137,D1331A,Ribbon,Karnak,Karnak Castle Chest,chest,4,,,,,,,
138,D1331E,Shuriken,Karnak,Karnak Castle Chest,chest,4,,,,,,,
139,D13322,2000,Karnak,Karnak Castle Chest,chest,4,,,,,,,
140,D13326,Elixir,Karnak,Karnak Castle Chest,chest,4,,,,,,,
141,D1332A,Elf Cape,Karnak,Karnak Castle Chest,chest,4,,,,,,,
142,D1332E,Guardian,Karnak,Karnak Castle Chest,chest,4,,,,,,,
143,D13332,Fire Rod,Steamship,Karnak Town Barrel,chest,4,,,,,,,
144,D13336,Cabin,Steamship,Steamship Chest,chest,2,,,,,,,
145,D1333A,Phoenix Down,Steamship,Steamship Chest,chest,2,,,,,,,
146,D1333E,Elixir,Steamship,Steamship Chest,chest,2,,,,,,,
147,D13342,GrnBeret,Steamship,Steamship Chest,chest,2,,,,,,,
148,D13346,Thief's Glove,Steamship,Steamship Chest,chest,2,,,,,,,
149,D1334A,Elixir,Steamship,Steamship Chest,chest,2,,,,,,,
150,D1334E,Ether,Ancient Library,Ancient Library Chest,chest,2,,,,,,,
151,D13352,Phoenix Down,Ancient Library,Ancient Library Chest,chest,2,,,,,,,
152,D13356,Stealth Suit,Ancient Library,Ancient Library Chest,chest,2,,,,,,,
153,D1335A,Shuriken,Jacole,Jacole Cave Chest,chest,2,,,,,,,
154,D1335E,Tent,Jacole,Jacole Cave Chest,chest,2,,,,,,,
155,D13362,Shuriken,Ruined City,Ruined City Chest,chest,2,,,,,,,
156,D13366,Shuriken,Ruined City,Ruined City Chest,chest,2,,,,,,,
157,D1336A,Size,Ruined City,Ruined City Chest,chest,2,,,,,,,
158,D1336E,Golden Armor,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
159,D13372,Elixir,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
160,D13376,Phoenix Down,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
161,D1337A,Golden Shield,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
162,D1337E,Mythril Glove,Steamship,Steamship Chest,chest,2,,,,,,,
163,D13382,Elixir,Steamship,Steamship Chest,chest,2,,,,,,,
164,D13386,Full Moon,Steamship,Steamship Chest,chest,2,,,,,,,
165,D1338A,Hi-Potion,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
166,D1338E,5000,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
167,D13392,Shuriken,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
168,D13396,Ancient Sword,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
169,D1339A,Full Moon,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
170,D1339E,Power Wrist,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
171,D133A2,Ether,Flying Lonka Ruins,Flying Lonka Ruins Chest,chest,2,,,,,,,
172,D133A6,Cabin,Exdeath's Castle,Flying Lonka Ruins Chest,chest,2,,,,,,,
173,D133AA,Ether,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
174,D133AE,Diamond Shield,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
175,D133B2,Ice Shield,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
176,D133B6,Ether,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
177,D133BA,Elixir,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
178,D133BE,Gale Bow,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
179,D133C2,IceBrand,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
180,D133C6,Kotetsu,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
181,D133CA,9900,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
182,D133CE,Elixir,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
183,D133D2,8000,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
184,D133D6,DblLance,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
185,D133DA,Partisan,Exdeath's Castle,Exdeath's Castle Chest,chest,5,,,,,,,
