idx,address,original_reward,area,description,reward_style
1001,C0FB70,New Key Item,Ancient Library,Byblos,event
1002,C0FB72,New Key Item,Wind Shrine,WingRaptor,event
1003,C0FB74,New Key Item,Torna Canal,Karlabos,event
1004,C0FB76,New Key Item,Ship Graveyard,Siren,event
1005,C0FB78,New Key Item,North Mountain,Magisa & Forza,event
1006,C0FB7A,New Key Item,Walse,Galura,event
1007,C0FB7C,New Key Item,Steamship,LiquiFlame,event
1008,C0FB7E,New Key Item,Karnak,Sergeant & DeathClaw,event
1009,C0FB80,New Key Item,Ruined City,Sandworm,event
1010,C0FB82,New Key Item,Meteor,AdamanTiMi,event
1011,C0FB84,New Key Item,Flying Lonka Ruins,Sol Cannon,event
1012,C0FB86,New Key Item,Flying Lonka Ruins,ArchaeAvis,event
1013,C0FB88,New Key Item,Meteor,Chim.Brain,event
1014,C0FB8A,New Key Item,Meteor,Titan,event
1015,C0FB8C,New Key Item,Meteor,Puroboros,event
1016,C0FB8E,New Key Item,Exdeath's Castle,Gilgamesh 1,event
1017,C0FB90,New Key Item,Exdeath's Castle,Gilgamesh 2,event
1018,C0FB92,New Key Item,Moogle Village,Tyrasaurus,event
1019,C0FB94,New Key Item,Bal Castle,Abductor,event
1020,C0FB96,New Key Item,Hiryuu Valley,HiryuuPlant,event
1021,C0FB98,New Key Item,Zeza Fleet,Gilgamesh 3 & Enkidou,event
1022,C0FB9A,New Key Item,Barrier Tower,Atmos,event
1023,C0FB9C,New Key Item,Mua Forest,Guardians,event
1024,C0FB9E,New Key Item,Exdeath's Castle,Carbunkle,event
1025,C0FBA0,New Key Item,Exdeath's Castle,Gilgamesh 4,event
1026,C0FBA2,New Key Item,Tule,Antlion,event
1027,C0FBA4,New Key Item,Desert,Merugene,event
1028,C0FBA6,New Key Item,Bal Castle,Odin,event
1029,C0FBA8,New Key Item,Great Trench,"Triton, Neregeid & Phobos",event
1030,C0FBAA,New Key Item,Fork Tower,Omniscient,event
1031,C0FBAC,New Key Item,Fork Tower,Minotauros,event
1032,C0FBAE,New Key Item,Istory Falls,Leviathan,event
1033,C0FBB0,New Key Item,Solitary Island,Stalker,event
1034,C0FBB2,New Key Item,Walse,GoGo,event
1035,C0FBB4,New Key Item,North Mountain,Bahamut,event
1036,C0FBB6,New Key Item,Ancient Library,Ifrit,event
1037,C0FBB8,New Key Item,Walse,Shiva,event
1038,C0FBBA,New Key Item,Ruined City,Crayclaw,event
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
