"Other Ability",E78700
"Item Ability",E78718
"Row Ability",E78730
"Def. Ability",E78748
"Attack Ability",E78760
"Guard Ability",E78778
"Kick Ability",E78790
"BuildUp Ability",E787A8
"Mantra Ability",E787C0
"Escape Ability",E787D8
"Steal Ability",E787F0
"Capture Ability",E78808
"Jump Ability",E78820
"DrgnSwd Ability",E78838
"Smoke Ability",E78850
"Image Ability",E78868
"Throw Ability",E78880
"SwdSlap Ability",E78898
"GilToss Ability",E788B0
"Slash Ability",E788C8
"Animals Ability",E788E0
"Aim Ability",E788F8
"X-Fight Ability",E78910
"Conjure Ability",E78928
"Observe Ability",E78940
"Analyze Ability",E78958
"Tame Ability",E78970
"Control Ability",E78988
"Catch Ability",E789A0
"Release Ability",E789B8
"Combine Ability",E789D0
"Drink Ability",E789E8
"Pray Ability",E78A00
"Revive Ability",E78A18
"Terrain Ability",E78A30
"Dummy01 Ability",E78A48
"Hide Ability",E78A60
"Show Ability",E78A78
"Dummy02 Ability",E78A90
"Sing Ability",E78AA8
"Flirt Ability",E78AC0
"Dance Ability",E78AD8
"Mimic Ability",E78AF0
"Blank18 Ability",E78B08
"Blank19 Ability",E78B20
"Blank20 Ability",E78B38
"Blank21 Ability",E78B50
"Blank22 Ability",E78B68
"MgcSwrd Lv.1 Ability",E78B80
"MgcSwrd Lv.2 Ability",E78B98
"MgcSwrd Lv.3 Ability",E78BB0
"MgcSwrd Lv.4 Ability",E78BC8
"MgcSwrd Lv.5 Ability",E78BE0
"MgcSwrd Lv.6 Ability",E78BF8
"Blank23 Ability",E78C10
"Blank24 Ability",E78C28
"White Lv.1 Ability",E78C40
"White Lv.2 Ability",E78C58
"White Lv.3 Ability",E78C70
"White Lv.4 Ability",E78C88
"White Lv.5 Ability",E78CA0
"White Lv.6 Ability",E78CB8
"Blank25 Ability",E78CD0
"Blank26 Ability",E78CE8
"Black Lv.1 Ability",E78D00
"Black Lv.2 Ability",E78D18
"Black Lv.3 Ability",E78D30
"Black Lv.4 Ability",E78D48
"Black Lv.5 Ability",E78D60
"Black Lv.6 Ability",E78D78
"Blank1 Ability",E78D90
"Blank2 Ability",E78DA8
"Dimen Lv.1 Ability",E78DC0
"Dimen Lv.2 Ability",E78DD8
"Dimen Lv.3 Ability",E78DF0
"Dimen Lv.4 Ability",E78E08
"Dimen Lv.5 Ability",E78E20
"Dimen Lv.6 Ability",E78E38
"Blank3 Ability",E78E50
"Blank4 Ability",E78E68
"Summon Lv.1 Ability",E78E80
"Summon Lv.2 Ability",E78E98
"Summon Lv.3 Ability",E78EB0
"Summon Lv.4 Ability",E78EC8
"Summon Lv.5 Ability",E78EE0
"Blank5 Ability",E78EF8
"Blank6 Ability",E78F10
"Blank7 Ability",E78F28
"Red Lv.1 Ability",E78F40
"Red Lv.2 Ability",E78F58
"Red Lv.3 Ability",E78F70
"Blank8 Ability",E78F88
"Blank9 Ability",E78FA0
"Blank10 Ability",E78FB8
"Blank11 Ability",E78FD0
"Blank27 Ability",E78FE8
"X-Magic Ability",E79000
"Blue Ability",E79018
"Blank12 Ability",E79030
"Blank13 Ability",E79048
"Blank14 Ability",E79060
"Blank15 Ability",E79078
"Blank16 Ability",E79090
"Blank17 Ability",E790A8
"Equip Shield Ability",E790C0
"Equip Armors Ability",E790D8
"Equip Ribbon Ability",E790F0
"Equip Swords Ability",E79108
"Equip Spears Ability",E79120
"Equip Katana Ability",E79138
"Equip Axes Ability",E79150
"Equip Bows Ability",E79168
"Equip Whips Ability",E79180
"Equip Harps Ability",E79198
"Agility Ability",E791B0
"HP +10% Ability",E791C8
"HP +20% Ability",E791E0
"HP +30% Ability",E791F8
"MP +10% Ability",E79210
"MP +30% Ability",E79228
"Brawl Ability",E79240
"Dbl Grip Ability",E79258
"2-Handed Ability",E79270
"Medicine Ability",E79288
"Cover Ability",E792A0
"Counter Ability",E792B8
"Evade Ability",E792D0
"Learning Ability",E792E8
"Barrier Ability",E79300
"Berserk Ability",E79318
"Caution Ability",E79330
"Preemptive Ability",E79348
"Passages Ability",E79360
"DmgFloor Ability",E79378
"Pitfalls Ability",E79390
"Equip Rods Ability",E793A8
"Dash Ability",E793C0
