Walse Tower Key,E78100
Steamship Key,E78112
Test Item 3,E78124
Test Item 4,E78136
Test Item 5,E78148
Test Item 6,E7815A
Test Item 7,E7816C
Test Item 8,E7817E
Bracelet,E78190
Momento Bag,E781A2
Castle Key,E781B4
Test Item 9,E781C6
Test Item10,E781D8
Test Item11,E781EA
Test Item12,E781FC
Test Item13,E7820E
Pendant 1,E78220
Pendant 2,E78232
Canal Key,E78244
Hiryuu Plant,E78256
Bell,E78268
Adamantite,E7827A
Moogle Fur,E7828C
Echo Plant,E7829E
Elder Branch,E782B0
Sealed Book,E782C2
1st Tablet,E782D4
2nd Tablet,E782E6
3rd Tablet,E782F8
4th Tablet,E7830A
World Map,E7831C
Splinter,E7832E
