WalseTower<Key>,E73500
Steamship <Key>,E7350D
Test Item 3,E7351A
Test Item 4,E73527
Test Item 5,E73534
Test Item 6,E73541
Test Item 7,E7354E
Test Item 8,E7355B
Bracelet,E73568
Momento Bag,E73575
Castle Key,E73582
Test Item 9,E7358F
Test Item10,E7359C
Test Item11,E735A9
Test Item12,E735B6
Test Item13,E735C3
Pendant 1,E735D0
Pendant 2,E735DD
Canal Key,E735EA
Hiryuu Plant,E735F7
Bell,E73604
Adamantite,E73611
Moogle Fur,E7361E
Echo Plant,E7362B
Elder Branch,E73638
Sealed Book,E73645
1st Tablet,E73652
2nd Tablet,E7365F
3rd Tablet,E7366C
4th Tablet,E73679
World Map,E73686
Splinter,E73693
