item_id,readable_name,valid,type,subtype,value,max_count,tier,textbox_addr,textmenu_addr,data_addr
00,<blank>,FALSE,dummy,dummy,0,0,0,E75860,D11380,D10000
01,Empty,FALSE,dummy,dummy,0,0,0,E75878,D11389,D1000C
02,Knife,TRUE,weapon,knife,1,3,1,E75890,D11392,D10018
03,Dagger,TRUE,weapon,knife,2,3,2,E758A8,D1139B,D10024
04,Mythril Knife,TRUE,weapon,knife,2,3,2,E758C0,D113A4,D10030
05,Kunai,TRUE,weapon,knife,3,3,3,E758D8,D113AD,D1003C
06,Mage Masher,TRUE,weapon,knife,3,3,3,E758F0,D113B6,D10048
07,Guardian,TRUE,weapon,knife,4,3,4,E75908,D113BF,D10054
08,Kodachi,TRUE,weapon,knife,5,3,5,E75920,D113C8,D10060
09,Orialcon,TRUE,weapon,knife,5,3,5,E75938,D113D1,D1006C
0A,Air Lance,TRUE,weapon,knife,6,3,6,E75950,D113DA,D10078
0B,Assassin,TRUE,weapon,knife,7,1,7,E75968,D113E3,D10084
0C,Sasuke,TRUE,weapon,knife,7,1,7,E75980,D113EC,D10090
0D,Broadsword,TRUE,weapon,sword,1,3,1,E75998,D113F5,D1009C
0E,RegalCut,TRUE,weapon,sword,1,3,1,E759B0,D113FE,D100A8
0F,Mythril Sword,TRUE,weapon,sword,2,3,2,E759C8,D11407,D100B4
10,Coral Sword,TRUE,weapon,sword,3,3,3,E759E0,D11410,D100C0
11,Ancient Sword,TRUE,weapon,sword,3,3,3,E759F8,D11419,D100CC
12,Epee Sword,TRUE,weapon,sword,4,3,4,E75A10,D11422,D100D8
13,Slumber Sword,TRUE,weapon,sword,4,3,4,E75A28,D1142B,D100E4
14,Defender Sword,TRUE,weapon,knightsword,6,3,6,E75A40,D11434,D100F0
15,Excalibur,TRUE,weapon,knightsword,7,1,7,E75A58,D1143D,D100FC
16,Ragnarok,TRUE,weapon,knightsword,8,1,8,E75A70,D11446,D10108
17,Javelin,TRUE,weapon,spear,1,3,1,E75A88,D1144F,D10114
18,Spear,TRUE,weapon,spear,2,3,2,E75AA0,D11458,D10120
19,Mythril Spear,TRUE,weapon,spear,2,3,2,E75AB8,D11461,D1012C
1A,Trident,TRUE,weapon,spear,3,3,3,E75AD0,D1146A,D10138
1B,Wind Spear,TRUE,weapon,spear,4,3,4,E75AE8,D11473,D10144
1C,Partisan,TRUE,weapon,spear,4,3,4,E75B00,D1147C,D10150
1D,Gungnir,TRUE,weapon,spear,5,3,5,E75B18,D11485,D1015C
1E,DblLance,TRUE,weapon,spear,4,3,4,E75B30,D1148E,D10168
1F,Holy Lance,TRUE,weapon,spear,7,1,7,E75B48,D11497,D10174
20,Dragoon Lance,TRUE,weapon,spear,8,1,8,E75B60,D114A0,D10180
21,Battle Axe,TRUE,weapon,axe,1,3,1,E75B78,D114A9,D1018C
22,Mythril Hammer,TRUE,weapon,axe,2,3,2,E75B90,D114B2,D10198
23,Ogre Killer,TRUE,weapon,axe,2,3,2,E75BA8,D114BB,D101A4
24,War Hammer,TRUE,weapon,axe,3,3,3,E75BC0,D114C4,D101B0
25,Venom Axe,TRUE,weapon,axe,3,3,3,E75BD8,D114CD,D101BC
26,Earth Hammer,TRUE,weapon,axe,7,3,7,E75BF0,D114D6,D101C8
27,Rune Axe,TRUE,weapon,axe,7,3,7,E75C08,D114DF,D101D4
28,Thor Hammer,TRUE,weapon,axe,7,1,7,E75C20,D114E8,D101E0
29,Katana,TRUE,weapon,katana,1,3,1,E75C38,D114F1,D101EC
2A,Air Blade,TRUE,weapon,katana,2,3,2,E75C50,D114FA,D101F8
2B,Kotetsu,TRUE,weapon,katana,3,3,3,E75C68,D11503,D10204
2C,Bizen,TRUE,weapon,katana,4,3,4,E75C80,D1150C,D10210
2D,Forged,TRUE,weapon,katana,4,3,4,E75C98,D11515,D1021C
2E,Murasume,TRUE,weapon,katana,6,1,6,E75CB0,D1151E,D10228
2F,Masamune,TRUE,weapon,katana,7,1,7,E75CC8,D11527,D10234
