60,A
61,B
62,C
63,D
64,E
65,F
66,G
67,H
68,I
69,J
6A,K
6B,L
6C,M
6D,N
6E,O
6F,P
70,Q
71,R
72,S
73,T
74,U
75,V
76,W
77,X
78,Y
79,Z
7A,a
7B,b
7C,c
7D,d
7E,e
7F,f
80,g
81,h
82,i
83,j
84,k
85,l
86,m
87,n
88,o
89,p
8A,q
8B,r
8C,s
8D,t
8E,u
8F,v
90,w
91,x
92,y
93,z
FF,
53,0
54,1
55,2
56,3
57,4
58,5
59,6
5A,7
5B,8
5C,9
A3,.
CD,%
9D,","
A2,?
CE,/
CF,:
E2,+
97,li
20,A
21,B
22,C
23,D
24,E
25,F
26,G
27,H
28,I
29,J
2A,K
2B,L
2C,M
2D,N
2E,O
2F,P
30,Q
31,R
32,S
33,T
34,U
35,V
36,W
37,X
38,Y
39,Z
53,0
54,1
55,2
56,3
57,4
58,5
59,6
5A,7
5B,8
5C,9
5D,m
5E,H
5F,P
90,w
91,x
92,y
93,z
94,il
95,it
96, 
97,li
98,ll
9D,
9E,(
9F,)
A0,/
A1,!
A2,?
A3,.
A4,ti
A5,fi
A6,Bl
A7,a
A8,pel
A9,
AA,(apostrophe)
AB,(quote)
AC,if
AD,It
AE,tl
AF,ir
B0,tt
B1,(B1)
B2,(B2)
B3,(B3)
B4,(B4)
B5,(B5)
B6,(B6)
B7,(B7)
B8,(B8)
B9,(B9)
BA,(BA)
BB,(BB)
BC,<Key>
BD,<Shoe>
BE,<Misc>
BF,<Hamr>
C0,<Tent>
C1,<Ribn>
C2,<Drnk>
C3,<Suit>
C4,<Song>
C5,-
C6,<Shur>
C7,..
C8,<Scrl>
C9,!
CA,<Claw>
CB,?
CC,<Glov>
CD,%
CE,/
CF,:
D0,|-
D1,_|
D2,.
D3,A
D4,B
D5,X
D6,Y
D7,L
D8,R
D9,E
DA,H
DB,M
DC,P
DD,S
DE,C
DF,T
E0,/\
E1,->
E2,+
E3,<Swrd>
E4,<Whit>
E5,<Blak>
E6,<Dimn>
E7,<Knif>
E8,<Sper>
E9,<Axe>
EA,<Katn>
EB,<Rod>
EC,<Staf>
ED,<Bow>
EE,<Harp>
EF,<Whip>
F0,<Bell>
F1,<Shld>
F2,<Helm>
F3,<Armr>
F4,<Ring>
F5,U
F6,(F6)
F7,1
F8,2
F9,3
FA,4
FB,5
FC,6
FD,7
FE,8
FF, 
