address,code,matches
,FB00,80
,FB01,44
,FB02,22
,FB03,12
,FB04,19
,FB05,12
,FB06,10
,FB07,9
,FB08,8
,FB09,2
,FB0A,5
,FB0B,1
,FB0C,1
,FB0D,6
,FB0E,1
,FB0F,2
,FB10,6
,FB11,0
,FB12,1
,FB13,1
,FB14,1
,FB15,1
,FB16,1
,FB17,1
,FB18,1
,FB19,5
,FB1A,2
,FB1B,2
,FB1C,1
,FB1D,1
,FB1E,0
,FB1F,1
,FB20,7
,FB21,1
,FB22,1
,FB23,0
,FB24,2
,FB25,0
,FB26,0
,FB27,2
,FB28,0
,FB29,0
,FB2A,1
,FB2B,0
,FB2C,1
,FB2D,1
,FB2E,0
,FB2F,0
,FB30,4
,FB31,2
,FB32,3
,FB33,1
,FB34,2
,FB35,2
,FB36,2
,FB37,2
,FB38,2
,FB39,1
,FB3A,0
,FB3B,1
,FB3C,1
,FB3D,1
,FB3E,0
,FB3F,0
,FB40,5
,FB41,1
,FB42,3
,FB43,3
,FB44,0
,FB45,0
,FB46,4
,FB47,4
,FB48,4
,FB49,4
,FB4A,0
,FB4B,1
,FB4C,0
,FB4D,1
,FB4E,0
,FB4F,1
,FB50,5
,FB51,0
,FB52,1
,FB53,0
,FB54,0
,FB55,0
,FB56,7
,FB57,7
,FB58,7
,FB59,7
,FB5A,7
,FB5B,7
,FB5C,7
,FB5D,7
,FB5E,0
,FB5F,1
,FB60,5
,FB61,0
,FB62,0
,FB63,0
,FB64,2
,FB65,2
,FB66,2
,FB67,0
,FB68,1
,FB69,1
,FB6A,1
,FB6B,0
,FB6C,1
,FB6D,2
,FB6E,3
,FB6F,1
,FB70,4
,FB71,1
,FB72,0
,FB73,0
,FB74,0
,FB75,2
,FB76,2
,FB77,1
,FB78,0
,FB79,1
,FB7A,1
,FB7B,1
,FB7C,2
,FB7D,1
,FB7E,1
,FB7F,0
,FB80,3
,FB81,0
,FB82,0
,FB83,0
,FB84,0
,FB85,0
,FB86,0
,FB87,0
,FB88,1
,FB89,1
,FB8A,1
,FB8B,1
,FB8C,1
,FB8D,1
,FB8E,1
,FB8F,1
,FB90,6
,FB91,1
,FB92,1
,FB93,1
,FB94,1
,FB95,0
,FB96,0
,FB97,1
,FB98,1
,FB99,2
,FB9A,0
,FB9B,0
,FB9C,0
,FB9D,0
,FB9E,0
,FB9F,1
,FBA0,4
,FBA1,0
,FBA2,0
,FBA3,0
,FBA4,0
,FBA5,0
,FBA6,0
,FBA7,0
,FBA8,0
,FBA9,0
,FBAA,0
,FBAB,0
,FBAC,0
,FBAD,0
,FBAE,0
,FBAF,0
,FBB0,3
,FBB1,0
,FBB2,0
,FBB3,0
,FBB4,0
,FBB5,0
,FBB6,0
,FBB7,0
,FBB8,0
,FBB9,1
,FBBA,1
,FBBB,1
,FBBC,0
,FBBD,0
,FBBE,0
,FBBF,0
,FBC0,4
,FBC1,0
,FBC2,0
,FBC3,0
,FBC4,0
,FBC5,0
,FBC6,0
,FBC7,0
,FBC8,0
,FBC9,0
,FBCA,0
,FBCB,0
,FBCC,0
,FBCD,0
,FBCE,0
,FBCF,0
,FBD0,4
,FBD1,0
,FBD2,0
,FBD3,0
,FBD4,0
,FBD5,0
,FBD6,0
,FBD7,0
,FBD8,0
,FBD9,0
,FBDA,0
,FBDB,0
,FBDC,0
,FBDD,0
,FBDE,0
,FBDF,0
,FBE0,3
,FBE1,0
,FBE2,2
,FBE3,1
,FBE4,0
,FBE5,0
,FBE6,3
,FBE7,5
,FBE8,1
,FBE9,0
,FBEA,4
,FBEB,0
,FBEC,2
,FBED,0
,FBEE,0
,FBEF,0
,FBF0,6
,FBF1,0
,FBF2,1
,FBF3,1
,FBF4,0
,FBF5,0
,FBF6,0
,FBF7,0
,FBF8,0
,FBF9,0
,FBFA,0
,FBFB,9
,FBFC,60
,FBFD,5
,FBFE,3
,FBFF,5
,FC00,37
,FC01,19
,FC02,7
,FC03,12
,FC04,6
,FC05,2
,FC06,3
,FC07,2
,FC08,1
,FC09,1
,FC0A,1
,FC0B,0
,FC0C,1
,FC0D,1
,FC0E,0
,FC0F,5
,FC10,3
,FC11,0
,FC12,1
,FC13,1
,FC14,1
,FC15,1
,FC16,0
,FC17,0
,FC18,0
,FC19,0
,FC1A,0
,FC1B,0
,FC1C,0
,FC1D,0
,FC1E,0
,FC1F,0
,FC20,3
,FC21,0
,FC22,1
,FC23,0
,FC24,0
,FC25,0
,FC26,0
,FC27,1
,FC28,2
,FC29,2
,FC2A,0
,FC2B,0
,FC2C,1
,FC2D,0
,FC2E,0
,FC2F,0
,FC30,9
,FC31,0
,FC32,0
,FC33,0
,FC34,1
,FC35,1
,FC36,1
,FC37,1
,FC38,1
,FC39,1
,FC3A,0
,FC3B,1
,FC3C,0
,FC3D,0
,FC3E,0
,FC3F,3
,FC40,5
,FC41,0
,FC42,0
,FC43,0
,FC44,4
,FC45,0
,FC46,1
,FC47,1
,FC48,1
,FC49,1
,FC4A,1
,FC4B,0
,FC4C,0
,FC4D,0
,FC4E,0
,FC4F,0
,FC50,4
,FC51,0
,FC52,0
,FC53,1
,FC54,5
,FC55,0
,FC56,8
,FC57,8
,FC58,8
,FC59,7
,FC5A,8
,FC5B,8
,FC5C,8
,FC5D,7
,FC5E,1
,FC5F,0
,FC60,7
,FC61,2
,FC62,2
,FC63,4
,FC64,2
,FC65,2
,FC66,0
,FC67,0
,FC68,0
,FC69,0
,FC6A,0
,FC6B,0
,FC6C,3
,FC6D,2
,FC6E,1
,FC6F,0
,FC70,4
,FC71,0
,FC72,2
,FC73,1
,FC74,0
,FC75,0
,FC76,0
,FC77,0
,FC78,3
,FC79,0
,FC7A,0
,FC7B,0
,FC7C,0
,FC7D,0
,FC7E,0
,FC7F,0
,FC80,6
,FC81,0
,FC82,0
,FC83,0
,FC84,0
,FC85,0
,FC86,0
,FC87,0
,FC88,1
,FC89,1
,FC8A,1
,FC8B,1
,FC8C,1
,FC8D,1
,FC8E,1
,FC8F,1
,FC90,12
,FC91,0
,FC92,0
,FC93,0
,FC94,0
,FC95,0
,FC96,0
,FC97,0
,FC98,0
,FC99,0
,FC9A,0
,FC9B,0
,FC9C,0
,FC9D,0
,FC9E,0
,FC9F,3
,FCA0,3
,FCA1,0
,FCA2,0
,FCA3,0
,FCA4,0
,FCA5,0
,FCA6,0
