address,code,matches
,A200,5
,A201,5
,A202,4
,A203,2
,A204,3
,A205,0
,A206,1
,A207,3
,A208,0
,A209,0
,A20A,0
,A20B,2
,A20C,1
,A20D,1
,A20E,0
,A20F,1
,A210,3
,A211,2
,A212,2
,A213,2
,A214,2
,A215,2
,A216,2
,A217,1
,A218,2
,A219,0
,A21A,1
,A21B,1
,A21C,0
,A21D,1
,A21E,2
,A21F,1
,A220,1
,A221,1
,A222,1
,A223,1
,A224,1
,A225,1
,A226,1
,A227,3
,A228,2
,A229,1
,A22A,1
,A22B,2
,A22C,2
,A22D,3
,A22E,2
,A22F,2
,A230,1
,A231,2
,A232,3
,A233,3
,A234,0
,A235,1
,A236,1
,A237,1
,A238,1
,A239,2
,A23A,1
,A23B,1
,A23C,2
,A23D,1
,A23E,1
,A23F,1
,A240,0
,A241,1
,A242,1
,A243,1
,A244,1
,A245,1
,A246,3
,A247,4
,A248,1
,A249,1
,A24A,2
,A24B,2
,A24C,1
,A24D,4
,A24E,1
,A24F,2
,A250,3
,A251,2
,A252,5
,A253,1
,A254,1
,A255,1
,A256,0
,A257,0
,A258,1
,A259,1
,A25A,0
,A25B,2
,A25C,2
,A25D,3
,A25E,1
,A25F,2
,A260,3
,A261,1
,A262,2
,A263,0
,A264,3
,A265,0
,A266,1
,A267,3
,A268,5
,A269,3
,A26A,3
,A26B,3
,A26C,1
,A26D,1
,A26E,3
,A26F,1
,A270,0
,A271,0
,A272,1
,A273,2
,A274,2
,A275,1
,A276,0
,A277,0
,A278,0
,A279,2
,A27A,1
,A27B,2
,A27C,2
,A27D,0
,A27E,1
,A27F,2
,A280,3
,A281,1
,A282,1
,A283,2
,A284,0
,A285,2
,A286,0
,A287,1
,A288,1
,A289,1
,A28A,0
,A28B,0
,A28C,0
,A28D,1
,A28E,1
,A28F,0
,A290,3
,A291,1
,A292,0
,A293,0
,A294,0
,A295,0
,A296,1
,A297,0
,A298,1
,A299,1
,A29A,1
,A29B,1
,A29C,1
,A29D,2
,A29E,1
,A29F,1
,A2A0,3
,A2A1,2
,A2A2,2
,A2A3,0
,A2A4,5
,A2A5,1
,A2A6,1
,A2A7,0
,A2A8,1
,A2A9,1
,A2AA,3
,A2AB,2
,A2AC,1
,A2AD,1
,A2AE,2
,A2AF,0
,A2B0,4
,A2B1,4
,A2B2,3
,A2B3,3
,A2B4,2
,A2B5,2
,A2B6,2
,A2B7,2
,A2B8,1
,A2B9,1
,A2BA,1
,A2BB,1
,A2BC,1
,A2BD,2
,A2BE,1
,A2BF,1
,A2C0,1
,A2C1,1
,A2C2,1
,A2C3,1
,A2C4,1
,A2C5,1
,A2C6,1
,A2C7,0
,A2C8,0
,A2C9,0
,A2CA,0
,A2CB,2
,A2CC,0
,A2CD,4
,A2CE,2
,A2CF,2
,A2D0,2
,A2D1,1
,A2D2,2
,A2D3,1
,A2D4,0
,A2D5,0
,A2D6,0
,A2D7,0
,A2D8,1
,A2D9,0
,A2DA,0
,A2DB,0
,A2DC,0
,A2DD,0
,A2DE,0
,A2DF,0
,A2E0,0
,A2E1,0
,A2E2,1
,A2E3,0
,A2E4,1
,A2E5,0
,A2E6,1
,A2E7,0
,A2E8,0
,A2E9,0
,A2EA,0
,A2EB,0
,A2EC,0
,A2ED,0
,A2EE,0
,A2EF,0
,A2F0,0
,A2F1,0
,A2F2,1
,A2F3,0
,A2F4,0
,A2F5,0
,A2F6,0
,A2F7,0
,A2F8,0
,A2F9,0
,A2FA,0
,A2FB,0
,A2FC,0
,A2FD,0
,A2FE,0
,A2FF,0
,A300,2
,A301,0
,A302,7
,A303,0
,A304,4
,A305,2
,A306,0
,A307,0
,A308,0
,A309,0
,A30A,0
,A30B,0
,A30C,0
,A30D,1
,A30E,15
,A30F,0
,A310,0
,A311,0
,A312,0
,A313,0
,A314,1
,A315,0
,A316,0
,A317,0
,A318,0
,A319,0
,A31A,0
,A31B,0
,A31C,0
,A31D,0
,A31E,0
,A31F,1
,A320,3
,A321,0
,A322,0
,A323,0
,A324,0
,A325,0
,A326,0
,A327,0
,A328,0
,A329,0
,A32A,0
,A32B,0
,A32C,0
,A32D,0
,A32E,0
,A32F,0
,A330,1
,A331,0
,A332,0
,A333,0
,A334,1
,A335,0
,A336,0
,A337,0
,A338,0
,A339,0
,A33A,0
,A33B,0
,A33C,0
,A33D,1
,A33E,0
,A33F,0
,A340,13
,A341,0
,A342,0
,A343,0
,A344,0
,A345,0
,A346,0
,A347,0
,A348,0
,A349,0
,A34A,0
,A34B,0
,A34C,0
,A34D,0
,A34E,0
,A34F,0
,A350,3
,A351,0
,A352,0
,A353,0
,A354,0
,A355,0
,A356,0
,A357,0
,A358,0
,A359,0
,A35A,0
,A35B,0
,A35C,1
,A35D,1
,A35E,0
,A35F,0
,A360,1
,A361,1
,A362,0
,A363,0
,A364,0
,A365,0
,A366,0
,A367,0
,A368,0
,A369,0
,A36A,0
,A36B,0
,A36C,2
,A36D,0
,A36E,0
,A36F,0
,A370,4
,A371,0
,A372,0
,A373,1
,A374,0
,A375,0
,A376,1
,A377,0
,A378,0
,A379,1
,A37A,0
,A37B,0
,A37C,0
,A37D,0
,A37E,0
,A37F,0
,A380,3
,A381,0
,A382,2
,A383,0
,A384,1
,A385,0
,A386,0
,A387,0
,A388,0
,A389,0
,A38A,0
,A38B,0
,A38C,1
,A38D,0
,A38E,0
,A38F,0
,A390,3
,A391,1
,A392,0
,A393,0
,A394,0
,A395,0
,A396,0
,A397,1
,A398,0
,A399,0
,A39A,0
,A39B,0
,A39C,0
,A39D,0
,A39E,0
,A39F,0
,A3A0,5
,A3A1,0
,A3A2,0
,A3A3,0
,A3A4,1
,A3A5,0
,A3A6,0
,A3A7,0
,A3A8,1
,A3A9,0
,A3AA,0
,A3AB,0
,A3AC,0
,A3AD,0
,A3AE,0
,A3AF,0
