address,code,matches
,FB00,6
,FB01,1
,FB02,1
,FB03,0
,FB04,0
,FB05,3
,FB06,1
,FB07,1
,FB08,0
,FB09,1
,FB0A,1
,FB0B,0
,FB0C,1
,FB0D,0
,FB0E,1
,FB0F,1
,FB10,1
,FB11,1
,FB12,0
,FB13,0
,FB14,0
,FB15,0
,FB16,0
,FB17,0
,FB18,0
,FB19,0
,FB1A,0
,FB1B,0
,FB1C,0
,FB1D,0
,FB1E,0
,FB1F,0
,FB20,2
,FB21,0
,FB22,0
,FB23,0
,FB24,0
,FB25,0
,FB26,0
,FB27,0
,FB28,0
,FB29,0
,FB2A,0
,FB2B,1
,FB2C,0
,FB2D,0
,FB2E,1
,FB2F,0
,FB30,2
,FB31,0
,FB32,0
,FB33,0
,FB34,0
,FB35,0
,FB36,0
,FB37,0
,FB38,0
,FB39,0
,FB3A,0
,FB3B,0
,FB3C,0
,FB3D,0
,FB3E,1
,FB3F,1
,FB40,3
,FB41,0
,FB42,0
,FB43,0
,FB44,0
,FB45,0
,FB46,0
,FB47,0
,FB48,0
,FB49,0
,FB4A,0
,FB4B,0
,FB4C,0
,FB4D,0
,FB4E,1
,FB4F,0
,FB50,0
,FB51,1
,FB52,0
,FB53,0
,FB54,0
,FB55,0
,FB56,0
,FB57,0
,FB58,0
,FB59,0
,FB5A,0
,FB5B,0
,FB5C,0
,FB5D,0
,FB5E,0
,FB5F,1
,FB60,0
,FB61,0
,FB62,0
,FB63,0
,FB64,1
,FB65,1
,FB66,0
,FB67,0
,FB68,0
,FB69,0
,FB6A,0
,FB6B,1
,FB6C,0
,FB6D,0
,FB6E,0
,FB6F,0
,FB70,0
,FB71,1
,FB72,0
,FB73,0
,FB74,0
,FB75,0
,FB76,0
,FB77,0
,FB78,0
,FB79,0
,FB7A,0
,FB7B,0
,FB7C,0
,FB7D,0
,FB7E,0
,FB7F,0
,FB80,2
,FB81,2
,FB82,2
,FB83,1
,FB84,2
,FB85,2
,FB86,2
,FB87,2
,FB88,0
,FB89,0
,FB8A,0
,FB8B,0
,FB8C,0
,FB8D,0
,FB8E,0
,FB8F,0
,FB90,0
,FB91,0
,FB92,0
,FB93,0
,FB94,0
,FB95,1
,FB96,1
,FB97,0
,FB98,0
,FB99,0
,FB9A,0
,FB9B,0
,FB9C,0
,FB9D,0
,FB9E,0
,FB9F,0
,FBA0,0
,FBA1,0
,FBA2,0
,FBA3,0
,FBA4,0
,FBA5,0
,FBA6,0
,FBA7,0
,FBA8,0
,FBA9,0
,FBAA,0
,FBAB,0
,FBAC,0
,FBAD,0
,FBAE,0
,FBAF,1
,FBB0,1
,FBB1,0
,FBB2,0
,FBB3,0
,FBB4,0
,FBB5,0
,FBB6,0
,FBB7,0
,FBB8,0
,FBB9,0
,FBBA,0
,FBBB,0
,FBBC,0
,FBBD,0
,FBBE,0
,FBBF,1
,FBC0,1
,FBC1,0
,FBC2,0
,FBC3,0
,FBC4,0
,FBC5,0
,FBC6,0
,FBC7,0
,FBC8,0
,FBC9,0
,FBCA,0
,FBCB,0
,FBCC,0
,FBCD,0
,FBCE,0
,FBCF,0
,FBD0,1
,FBD1,0
,FBD2,0
,FBD3,0
,FBD4,0
,FBD5,0
