address,code,matches
,FF0000,53
,FF0001,1
,FF0002,0
,FF0003,1
,FF0004,0
,FF0005,1
,FF0006,0
,FF0007,0
,FF0100,0
,FF0101,0
,FF0102,0
,FF0103,1
,FF0104,1
,FF0105,0
,FF0106,0
,FF0107,0
,FF0200,0
,FF0201,1
,FF0202,0
,FF0203,1
,FF0204,1
,FF0205,0
,FF0206,0
,FF0207,0
,FF0300,0
,FF0301,1
,FF0302,0
,FF0303,1
,FF0304,1
,FF0305,0
,FF0306,0
,FF0307,0
,FF0400,0
,FF0401,1
,FF0402,0
,FF0403,1
,FF0404,1
,FF0405,0
,FF0406,0
,FF0407,0
,FF0500,0
,FF0501,1
,FF0502,1
,FF0503,1
,FF0504,1
,FF0505,0
,FF0506,0
,FF0507,0
,FF0600,0
,FF0601,1
,FF0602,1
,FF0603,1
,FF0604,2
,FF0605,0
,FF0606,0
,FF0607,0
,FF0700,0
,FF0701,2
,FF0702,1
,FF0703,1
,FF0704,3
,FF0705,0
,FF0706,0
,FF0707,0
,FF0800,0
,FF0801,1
,FF0802,0
,FF0803,0
,FF0804,0
,FF0805,0
,FF0806,0
,FF0807,1
,FF0900,0
,FF0901,0
,FF0902,0
,FF0903,0
,FF0904,0
,FF0905,0
,FF0906,1
,FF0907,1
,FF0A00,0
,FF0A01,1
,FF0A02,0
,FF0A03,1
,FF0A04,0
,FF0A05,1
,FF0A06,1
,FF0A07,1
,FF0B00,0
,FF0B01,1
,FF0B02,0
,FF0B03,1
,FF0B04,0
,FF0B05,0
,FF0B06,1
,FF0B07,1
,FF0C00,1
,FF0C01,1
,FF0C02,1
,FF0C03,1
,FF0C04,0
,FF0C05,0
,FF0C06,1
,FF0C07,1
,FF0D00,0
,FF0D01,1
,FF0D02,0
,FF0D03,1
,FF0D04,0
,FF0D05,0
,FF0D06,0
,FF0D07,1
,FF0E00,1
,FF0E01,0
,FF0E02,0
,FF0E03,1
,FF0E04,0
,FF0E05,0
,FF0E06,0
,FF0E07,1
,FF0F00,0
,FF0F01,0
,FF0F02,0
,FF0F03,1
,FF0F04,0
,FF0F05,0
,FF0F06,0
,FF0F07,1
,FF1000,0
,FF1001,0
,FF1002,0
,FF1003,1
,FF1004,0
,FF1005,0
,FF1006,0
,FF1007,1
,FF1100,1
,FF1101,1
,FF1102,0
,FF1103,3
,FF1104,0
,FF1105,0
,FF1106,0
,FF1107,1
,FF1200,1
,FF1201,0
,FF1202,1
,FF1203,0
,FF1204,0
,FF1205,1
,FF1206,0
,FF1207,1
,FF1300,1
,FF1301,1
,FF1302,1
,FF1303,0
,FF1304,0
,FF1305,1
,FF1306,0
,FF1307,1
,FF1400,1
,FF1401,0
,FF1402,1
,FF1403,0
,FF1404,0
,FF1405,1
,FF1406,0
,FF1407,1
,FF1500,0
,FF1501,0
,FF1502,0
,FF1503,0
,FF1504,0
,FF1505,1
,FF1506,0
,FF1507,1
,FF1600,1
,FF1601,1
,FF1602,0
,FF1603,0
,FF1604,0
,FF1605,1
,FF1606,0
,FF1607,1
,FF1700,1
,FF1701,0
,FF1702,0
,FF1703,1
,FF1704,0
,FF1705,0
,FF1706,0
,FF1707,1
,FF1800,0
,FF1801,1
,FF1802,0
,FF1803,1
,FF1804,0
,FF1805,1
,FF1806,0
,FF1807,0
,FF1900,0
,FF1901,1
,FF1902,0
,FF1903,1
,FF1904,1
,FF1905,1
,FF1906,1
,FF1907,0
,FF1A00,0
,FF1A01,1
,FF1A02,0
,FF1A03,1
,FF1A04,1
,FF1A05,1
,FF1A06,0
,FF1A07,0
,FF1B00,0
,FF1B01,0
,FF1B02,0
,FF1B03,1
,FF1B04,1
,FF1B05,1
,FF1B06,0
,FF1B07,0
,FF1C00,0
,FF1C01,1
,FF1C02,0
,FF1C03,1
,FF1C04,2
,FF1C05,1
,FF1C06,0
,FF1C07,0
,FF1D00,0
,FF1D01,1
,FF1D02,2
,FF1D03,1
,FF1D04,1
,FF1D05,4
,FF1D06,0
,FF1D07,0
,FF1E00,1
,FF1E01,1
,FF1E02,0
,FF1E03,1
,FF1E04,1
,FF1E05,1
,FF1E06,1
,FF1E07,0
,FF1F00,1
,FF1F01,1
,FF1F02,0
,FF1F03,0
,FF1F04,1
,FF1F05,0
,FF1F06,0
,FF1F07,0
,FF2000,4
,FF2001,0
,FF2002,0
,FF2003,0
,FF2004,0
,FF2005,0
,FF2006,0
,FF2007,0
,FF2100,0
,FF2101,0
,FF2102,0
,FF2103,0
,FF2104,1
,FF2105,1
,FF2106,0
,FF2107,0
,FF2200,0
,FF2201,0
,FF2202,0
,FF2203,0
,FF2204,1
,FF2205,1
,FF2206,0
,FF2207,1
,FF2300,1
,FF2301,1
,FF2302,0
,FF2303,0
,FF2304,1
,FF2305,1
,FF2306,0
,FF2307,1
,FF2400,1
,FF2401,1
,FF2402,0
,FF2403,0
,FF2404,1
,FF2405,1
,FF2406,0
,FF2407,1
,FF2500,1
,FF2501,0
,FF2502,0
,FF2503,0
,FF2504,1
,FF2505,1
,FF2506,0
,FF2507,0
,FF2600,0
,FF2601,0
,FF2602,0
,FF2603,0
,FF2604,0
,FF2605,0
,FF2606,0
,FF2607,0
,FF2700,0
,FF2701,1
,FF2702,0
,FF2703,0
,FF2704,1
,FF2705,1
,FF2706,0
,FF2707,0
,FF2800,1
,FF2801,1
,FF2802,0
,FF2803,0
,FF2804,1
,FF2805,1
,FF2806,0
,FF2807,0
,FF2900,1
,FF2901,1
,FF2902,0
,FF2903,1
,FF2904,1
,FF2905,1
,FF2906,0
,FF2907,0
,FF2A00,1
,FF2A01,1
,FF2A02,0
,FF2A03,1
,FF2A04,1
,FF2A05,0
,FF2A06,0
,FF2A07,0
,FF2B00,1
,FF2B01,1
,FF2B02,0
,FF2B03,1
,FF2B04,1
,FF2B05,1
,FF2B06,0
,FF2B07,1
,FF2C00,1
,FF2C01,1
,FF2C02,0
,FF2C03,1
,FF2C04,1
,FF2C05,0
,FF2C06,0
,FF2C07,1
,FF2D00,1
,FF2D01,1
,FF2D02,0
,FF2D03,1
,FF2D04,1
,FF2D05,0
,FF2D06,0
,FF2D07,1
,FF2E00,1
,FF2E01,0
