address,code,matches
,CD0000,0
,CD0001,0
,CD0002,0
,CD0003,0
,CD0004,0
,CD0005,0
,CD0006,1
,CD0007,0
,CD0100,1
,CD0101,0
,CD0102,0
,CD0103,1
,CD0104,0
,CD0105,0
,CD0106,1
,CD0107,0
,CD0200,2
,CD0201,0
,CD0202,0
,CD0203,0
,CD0204,0
,CD0205,0
,CD0206,1
,CD0207,0
,CD0300,2
,CD0301,0
,CD0302,0
,CD0303,1
,CD0304,0
,CD0305,0
,CD0306,1
,CD0307,0
,CD0400,0
,CD0401,1
,CD0402,0
,CD0403,0
,CD0404,0
,CD0405,0
,CD0406,1
,CD0407,0
,CD0500,0
,CD0501,0
,CD0502,0
,CD0503,0
,CD0504,0
,CD0505,0
,CD0506,1
,CD0507,0
,CD0600,0
,CD0601,0
,CD0602,0
,CD0603,0
,CD0604,0
,CD0605,0
,CD0606,1
,CD0607,0
,CD0700,0
,CD0701,0
,CD0702,0
,CD0703,0
,CD0704,0
,CD0705,0
,CD0706,1
,CD0707,0
,CD0800,0
,CD0801,0
,CD0802,1
,CD0803,4
,CD0804,1
,CD0805,0
,CD0806,1
,CD0807,0
,CD0900,8
,CD0901,3
,CD0902,1
,CD0903,2
,CD0904,1
,CD0905,0
,CD0906,0
,CD0907,0
,CD0A00,0
,CD0A01,0
,CD0A02,1
,CD0A03,0
,CD0A04,1
,CD0A05,0
,CD0A06,0
,CD0A07,0
,CD0B00,0
,CD0B01,0
,CD0B02,0
,CD0B03,0
,CD0B04,1
,CD0B05,0
,CD0B06,0
,CD0B07,0
,CD0C00,0
,CD0C01,0
,CD0C02,0
,CD0C03,0
,CD0C04,1
,CD0C05,0
,CD0C06,0
,CD0C07,0
,CD0D00,36
,CD0D01,0
,CD0D02,0
,CD0D03,0
,CD0D04,1
,CD0D05,0
,CD0D06,0
,CD0D07,0
,CD0E00,0
,CD0E01,0
,CD0E02,0
,CD0E03,0
,CD0E04,1
,CD0E05,0
,CD0E06,0
,CD0E07,0
,CD0F00,1
,CD0F01,2
,CD0F02,1
,CD0F03,0
,CD0F04,1
,CD0F05,0
,CD0F06,0
,CD0F07,0
,CD1000,0
,CD1001,0
,CD1002,0
,CD1003,0
,CD1004,5
,CD1005,0
,CD1006,0
,CD1007,1
,CD1100,0
,CD1101,0
,CD1102,0
,CD1103,0
,CD1104,2
,CD1105,0
,CD1106,0
,CD1107,1
,CD1200,0
,CD1201,3
,CD1202,0
,CD1203,0
,CD1204,1
,CD1205,0
,CD1206,0
,CD1207,1
,CD1300,0
,CD1301,1
,CD1302,0
,CD1303,2
,CD1304,1
,CD1305,0
,CD1306,0
,CD1307,1
,CD1400,0
,CD1401,0
,CD1402,0
,CD1403,0
,CD1404,1
,CD1405,0
,CD1406,0
,CD1407,1
,CD1500,3
,CD1501,0
,CD1502,0
,CD1503,0
,CD1504,1
,CD1505,0
,CD1506,0
,CD1507,1
,CD1600,0
,CD1601,0
,CD1602,0
,CD1603,0
,CD1604,1
,CD1605,0
,CD1606,0
,CD1607,1
,CD1700,0
,CD1701,0
,CD1702,0
,CD1703,0
,CD1704,2
,CD1705,0
,CD1706,0
,CD1707,1
,CD1800,1
,CD1801,0
,CD1802,0
,CD1803,0
,CD1804,1
,CD1805,0
,CD1806,0
,CD1807,1
,CD1900,1
,CD1901,0
,CD1902,0
,CD1903,0
,CD1904,0
,CD1905,0
,CD1906,0
,CD1907,1
,CD1A00,2
,CD1A01,0
,CD1A02,0
,CD1A03,0
,CD1A04,0
,CD1A05,0
,CD1A06,0
,CD1A07,1
,CD1B00,6
,CD1B01,0
,CD1B02,0
,CD1B03,0
,CD1B04,0
,CD1B05,0
,CD1B06,0
,CD1B07,1
,CD1C00,4
,CD1C01,0
,CD1C02,0
,CD1C03,0
,CD1C04,0
,CD1C05,0
,CD1C06,0
,CD1C07,1
,CD1D00,2
,CD1D01,0
,CD1D02,0
,CD1D03,0
,CD1D04,2
,CD1D05,0
,CD1D06,0
,CD1D07,1
,CD1E00,0
,CD1E01,0
,CD1E02,1
,CD1E03,1
,CD1E04,2
,CD1E05,0
,CD1E06,0
,CD1E07,1
,CD1F00,0
,CD1F01,0
,CD1F02,1
,CD1F03,0
,CD1F04,0
,CD1F05,0
,CD1F06,0
,CD1F07,1
,CD2000,0
,CD2001,0
,CD2002,0
,CD2003,0
,CD2004,0
,CD2005,1
,CD2006,0
,CD2007,8
,CD2100,0
,CD2101,0
,CD2102,0
,CD2103,0
,CD2104,0
,CD2105,0
,CD2106,0
,CD2107,9
,CD2200,0
,CD2201,0
,CD2202,0
,CD2203,0
,CD2204,0
,CD2205,0
,CD2206,0
,CD2207,0
,CD2300,0
,CD2301,0
,CD2302,0
,CD2303,0
,CD2304,0
,CD2305,0
,CD2306,0
,CD2307,0
,CD2400,0
,CD2401,0
,CD2402,0
,CD2403,0
,CD2404,0
,CD2405,0
,CD2406,0
,CD2407,0
,CD2500,0
,CD2501,10
,CD2502,0
,CD2503,0
,CD2504,0
,CD2505,0
,CD2506,0
,CD2507,0
,CD2600,2
,CD2601,4
,CD2602,0
,CD2603,0
,CD2604,0
,CD2605,1
,CD2606,0
,CD2607,1
