address,code,matches
,FF0000,58
,FF0001,0
,FF0002,1
,FF0003,0
,FF0004,1
,FF0005,0
,FF0006,0
,FF0007,1
,FF0100,394
,FF0101,1
,FF0102,1
,FF0103,0
,FF0104,0
,FF0105,0
,FF0106,0
,FF0107,1
,FF0200,153
,FF0201,0
,FF0202,1
,FF0203,0
,FF0204,0
,FF0205,0
,FF0206,0
,FF0207,1
,FF0300,49
,FF0301,0
,FF0302,1
,FF0303,0
,FF0304,0
,FF0305,0
,FF0306,0
,FF0307,0
,FF0400,20
,FF0401,0
,FF0402,1
,FF0403,0
,FF0404,0
,FF0405,0
,FF0406,0
,FF0407,1
,FF0500,4
,FF0501,1
,FF0502,0
,FF0503,0
,FF0504,0
,FF0505,0
,FF0506,0
,FF0507,1
,FF0600,4
,FF0601,0
,FF0602,0
,FF0603,0
,FF0604,0
,FF0605,0
,FF0606,0
,FF0607,1
,FF0700,1
,FF0701,0
,FF0702,0
,FF0703,0
,FF0704,0
,FF0705,0
,FF0706,0
,FF0707,1
,FF0800,1
,FF0801,0
,FF0802,0
,FF0803,0
,FF0804,0
,FF0805,0
,FF0806,0
,FF0807,0
,FF0900,0
,FF0901,0
,FF0902,0
,FF0903,0
,FF0904,0
,FF0905,0
,FF0906,0
,FF0907,0
,FF0A00,0
,FF0A01,0
,FF0A02,0
,FF0A03,0
,FF0A04,0
,FF0A05,0
,FF0A06,0
,FF0A07,0
,FF0B00,0
,FF0B01,0
,FF0B02,1
,FF0B03,0
,FF0B04,0
,FF0B05,0
,FF0B06,0
,FF0B07,0
,FF0C00,0
,FF0C01,0
,FF0C02,1
,FF0C03,0
,FF0C04,0
,FF0C05,0
,FF0C06,0
,FF0C07,0
,FF0D00,15
,FF0D01,0
,FF0D02,1
,FF0D03,0
,FF0D04,0
,FF0D05,0
,FF0D06,1
,FF0D07,0
,FF0E00,0
,FF0E01,0
,FF0E02,1
,FF0E03,0
,FF0E04,0
,FF0E05,0
,FF0E06,1
,FF0E07,0
,FF0F00,0
,FF0F01,0
,FF0F02,0
,FF0F03,0
,FF0F04,0
,FF0F05,0
,FF0F06,1
,FF0F07,0
,FF1000,0
,FF1001,0
,FF1002,1
,FF1003,0
,FF1004,0
,FF1005,0
,FF1006,1
,FF1007,0
,FF1100,0
,FF1101,0
,FF1102,0
,FF1103,0
,FF1104,0
,FF1105,0
,FF1106,1
,FF1107,0
,FF1200,0
,FF1201,0
,FF1202,0
,FF1203,1
,FF1204,0
,FF1205,0
,FF1206,1
,FF1207,0
