,crystal,seed
0,Dancer,8122306
1,WhiteMage,8122306
2,Mimic,8122306
3,Freelancer,8122306
4,Thief,8122306
5,BlueMage,8122306
6,TimeMage,8122306
7,Bard,8122306
8,Samurai,8122306
9,Chemist,8122306
10,MysticKnight,8122306
11,Geomancer,8122306
0,Monk,8697747
1,BlackMage,8697747
2,Dragoon,8697747
3,Geomancer,8697747
4,Freelancer,8697747
5,Thief,8697747
6,Summoner,8697747
7,Samurai,8697747
8,Bard,8697747
9,TimeMage,8697747
10,Berserker,8697747
11,Hunter,8697747
12,Knight,8697747
13,MysticKnight,8697747
14,WhiteMage,8697747
15,Mimic,8697747
0,Dragoon,4624269
1,WhiteMage,4624269
2,Freelancer,4624269
3,Samurai,4624269
4,RedMage,4624269
5,Mediator,4624269
6,Ninja,4624269
7,Berserker,4624269
8,Monk,4624269
9,Geomancer,4624269
10,Knight,4624269
11,BlueMage,4624269
12,Dancer,4624269
13,Chemist,4624269
14,Thief,4624269
15,BlackMage,4624269
16,TimeMage,4624269
17,Mimic,4624269
0,BlueMage,6019304
1,Dancer,6019304
2,Hunter,6019304
3,BlackMage,6019304
4,Bard,6019304
5,WhiteMage,6019304
0,Geomancer,6097998
1,Berserker,6097998
2,Summoner,6097998
3,BlueMage,6097998
4,RedMage,6097998
5,TimeMage,6097998
6,Dragoon,6097998
7,Knight,6097998
8,Bard,6097998
9,Chemist,6097998
10,MysticKnight,6097998
11,Ninja,6097998
12,Mimic,6097998
0,BlackMage,6406261
1,Chemist,6406261
2,Bard,6406261
3,BlueMage,6406261
4,Mediator,6406261
5,Freelancer,6406261
6,TimeMage,6406261
0,Dragoon,4975490
1,MysticKnight,4975490
2,Knight,4975490
3,Samurai,4975490
4,Hunter,4975490
5,Summoner,4975490
6,Ninja,4975490
7,BlackMage,4975490
8,BlueMage,4975490
9,Chemist,4975490
0,Samurai,9604770
1,BlackMage,9604770
2,Dancer,9604770
3,Freelancer,9604770
4,Chemist,9604770
5,Mimic,9604770
6,Knight,9604770
7,Thief,9604770
8,Bard,9604770
9,WhiteMage,9604770
10,BlueMage,9604770
11,Ninja,9604770
12,Geomancer,9604770
13,Summoner,9604770
14,RedMage,9604770
15,MysticKnight,9604770
16,Hunter,9604770
17,TimeMage,9604770
0,Dragoon,8787629
1,RedMage,8787629
2,TimeMage,8787629
3,Freelancer,8787629
4,BlueMage,8787629
0,RedMage,1385871
1,Mediator,1385871
2,Ninja,1385871
3,Samurai,1385871
4,Monk,1385871
5,Berserker,1385871
6,Hunter,1385871
