,boss,key,seed
0,Byblos,Hiryuu Call,8122306
1,Magisa & Forza,Bracelet,8122306
2,Galura,Submarine Key,8122306
3,LiquiFlame,Big Bridge Key,8122306
4,Sol Cannon,Moogle Suit,8122306
5,Chim.Brain,Walse Tower Key,8122306
6,Puroboros,Trench Page,8122306
7,Titan,Shrine Page,8122306
8,Gilgamesh 1,4th Tablet,8122306
9,Gilgamesh 2,Falls Page,8122306
10,Abductor,3rd Tablet,8122306
11,HiryuuPlant,Elder Branch,8122306
12,Carbunkle,Ifrit's Fire,8122306
13,Merugene,1st Tablet,8122306
14,Odin,Anti Barrier,8122306
15,"Triton, Neregeid & Phobos",Pyramid Page,8122306
16,Minotauros,Steamship Key,8122306
17,Leviathan,2nd Tablet,8122306
18,Stalker,Adamantite,8122306
19,Crayclaw,Sandworm Bait,8122306
0,Byblos,1st Tablet,8697747
1,Siren,Adamantite,8697747
2,Galura,Trench Page,8697747
3,LiquiFlame,2nd Tablet,8697747
4,Sergeant & DeathClaw,4th Tablet,8697747
5,Sandworm,Steamship Key,8697747
6,AdamanTiMi,Bracelet,8697747
7,Sol Cannon,Moogle Suit,8697747
8,Titan,Submarine Key,8697747
9,Gilgamesh 2,Walse Tower Key,8697747
10,Tyrasaurus,Anti Barrier,8697747
11,Abductor,Sandworm Bait,8697747
12,Atmos,Shrine Page,8697747
13,Guardians,Ifrit's Fire,8697747
14,Carbunkle,Pyramid Page,8697747
15,Gilgamesh 4,Big Bridge Key,8697747
16,Odin,Elder Branch,8697747
17,Omniscient,Falls Page,8697747
18,Shiva,Hiryuu Call,8697747
19,Crayclaw,3rd Tablet,8697747
0,Byblos,3rd Tablet,4624269
1,Magisa & Forza,Moogle Suit,4624269
2,Sandworm,Adamantite,4624269
3,ArchaeAvis,1st Tablet,4624269
4,Puroboros,Anti Barrier,4624269
5,Gilgamesh 1,Hiryuu Call,4624269
6,Abductor,4th Tablet,4624269
7,HiryuuPlant,Falls Page,4624269
8,Gilgamesh 3 & Enkidou,Ifrit's Fire,4624269
9,Atmos,Steamship Key,4624269
10,Guardians,Walse Tower Key,4624269
11,Carbunkle,Submarine Key,4624269
12,Gilgamesh 4,Trench Page,4624269
13,Antlion,Pyramid Page,4624269
14,Merugene,Bracelet,4624269
15,"Triton, Neregeid & Phobos",Shrine Page,4624269
16,Stalker,Elder Branch,4624269
17,Bahamut,Big Bridge Key,4624269
18,Shiva,2nd Tablet,4624269
19,Crayclaw,Sandworm Bait,4624269
0,WingRaptor,Big Bridge Key,6019304
1,Karlabos,Adamantite,6019304
2,Galura,Submarine Key,6019304
3,LiquiFlame,3rd Tablet,6019304
4,Sandworm,Hiryuu Call,6019304
5,AdamanTiMi,Elder Branch,6019304
6,Chim.Brain,1st Tablet,6019304
