check,value
12 Kuzar Events Apollo's Harp,2.0
12 Kuzar Events Assassin,2.5
12 Kuzar Events Earth Bell,2.6666666666666665
12 Kuzar Events Excalibur,2.1666666666666665
12 Kuzar Events Flame Whip,2.8333333333333335
12 Kuzar Events Holy Lance,2.3333333333333335
12 Kuzar Events Masamune,2.4285714285714284
12 Kuzar Events Rune Axe,2.4285714285714284
12 Kuzar Events Sage's Staff,3.0
12 Kuzar Events Sasuke,2.7142857142857144
12 Kuzar Events Wizard Rod,1.8333333333333333
12 Kuzar Events Yoichi Bow,2.2857142857142856
"5 potions in Wind Shrine, bottom left guy Potion",2.5
"8 potions, Pirate after Torna Canal Key acquired Potion",1.7142857142857142
Abductor New,4.0
AdamanTiMi New,4.0
Aegis Shield Chest Aegis Shield,2.5714285714285716
Ancient Library Chest Ether,1.0
Ancient Library Chest Phoenix Down,3.0
Ancient Library Chest Stealth Suit,2.6666666666666665
Antlion New,4.0
ArchaeAvis New,4.0
Atmos New,4.0
Bahamut Bahmut,2.6666666666666665
Bahamut New,4.0
Bal Castle Chest Angel Gwn,2.4285714285714284
Bal Castle Chest Exit,1.8333333333333333
Bal Castle Chest Hero Drink,2.6
Barrier Tower Chest 18000,2.1
Barrier Tower Chest 9000,2.875
Barrier Tower Chest Drain Sword,3.2
Barrier Tower Chest Gold Hairpin,2.2
Beginner's House Chest 100,2.1666666666666665
Beginner's House Chest Ether,1.6666666666666667
Beginner's House Chest Leather Shoes,2.3
Beginner's House Chest Phoenix Down,2.3333333333333335
Beginner's House Chest Potion,2.625
Beginner's House Chest Tent,2.5
Black Choco Crystals Bard,1.8333333333333333
Black Choco Crystals Hunter,2.6666666666666665
Brave Blade Brave Blade,2.4444444444444446
Byblos New,4.0
Carbuncle Crbnkl,2.5
Carbunkle New,4.0
Carwen Barrel Antidote,1.4
Carwen Box Ice Rod,2.25
Carwen Pot 1000,3.6666666666666665
Chancellor at Tycoon Healing Staff,2.142857142857143
Chicken Knife Chicken Knife,2.5714285714285716
Chim.Brain New,4.0
CornaJar at Kelb CornaJar,2.3333333333333335
Crayclaw New,4.0
Earth Crystal Chemist,2.4285714285714284
Earth Crystal Dancer,2.6666666666666665
Earth Crystal Dragoon,2.3333333333333335
Earth Crystal Samurai,2.857142857142857
Exdeath's Castle Chest 8000,1.75
Exdeath's Castle Chest 9900,2.6
Exdeath's Castle Chest DblLance,2.0
Exdeath's Castle Chest Diamond Shield,2.4
Exdeath's Castle Chest Elixir,2.142857142857143
Exdeath's Castle Chest Ether,2.5
Exdeath's Castle Chest Gale Bow,1.5
Exdeath's Castle Chest Ice Shield,2.0
Exdeath's Castle Chest IceBrand,2.3333333333333335
Exdeath's Castle Chest Kotetsu,1.8333333333333333
Exdeath's Castle Chest Partisan,3.2
Exdeath's Castle Chest Pinwheel,2.8
Fire Crystal Geomancer,2.7777777777777777
Fire Crystal Mediator,2.0
Fire Crystal Ninja,2.125
Flying Lonka Ruins Chest 5000,2.8333333333333335
Flying Lonka Ruins Chest Ancient Sword,2.5
Flying Lonka Ruins Chest Cabin,3.2
Flying Lonka Ruins Chest Elixir,2.3333333333333335
Flying Lonka Ruins Chest Ether,2.0
Flying Lonka Ruins Chest Full Moon,3.25
Flying Lonka Ruins Chest Golden Armor,3.0
Flying Lonka Ruins Chest Golden Shield,2.5
Flying Lonka Ruins Chest Hi-Potion,2.5
Flying Lonka Ruins Chest Phoenix Down,1.375
Flying Lonka Ruins Chest Power Wrist,1.6666666666666667
Flying Lonka Ruins Chest Shuriken,2.875
Fork Tower L. Chest Ether,2.75
Fork Tower L. Chest Wonder Wand,1.3333333333333333
Fork Tower R. Chest Defender Sword,2.4
Fork Tower R. Chest Hi-Potion,2.6666666666666665
"Fork Tower, two Magics Flare",2.1666666666666665
