,check,reward,mib,seed
0,Wind Crystal Knight,Chocob->Titan->Golem->Odin,,8122306
1,Wind Crystal BlueMage,Chocob->Titan->Golem->Odin,,8122306
2,Wind Crystal BlackMage,Chocob->Titan->Golem->Odin,,8122306
3,Wind Crystal WhiteMage,Venom Axe,,8122306
4,Wind Crystal Monk,Wizard Rod,,8122306
5,Wind Crystal Thief,Giant's Axe,,8122306
6,Fire Crystal Mediator,Shiva->Ramuh->Ifrit->Bahmut,,8122306
7,Fire Crystal Geomancer,Dream Harp,,8122306
8,Fire Crystal Ninja,DoomCut,,8122306
9,Black Choco Crystals Bard,Medicine,,8122306
10,Black Choco Crystals Hunter,Speed Drink,,8122306
11,Earth Crystal Samurai,Crystal Helm,,8122306
12,Earth Crystal Dragoon,Flash->Time Slip->DethClaw,,8122306
13,Earth Crystal Chemist,Drain Sword,,8122306
14,Earth Crystal Dancer,Vampire->MindBlst->WhiteWind,,8122306
15,Leviathan Esper Levia,Power->Vitality Song,,8122306
16,Titan Titan,Revivify,,8122306
17,Carbuncle Crbnkl,Summon Ability Progressive,,8122306
18,Syldra Syldra,FrogSong->TinySong->MoonFlut,,8122306
19,Odin Odin,Sage's Staff,,8122306
20,Phoenix Phenix,Partisan,,8122306
21,Bahamut Bahmut,Bone Mail,,8122306
22,Life (or Strength) Song from Crescent Town bard Vitality,Speed Drink,,8122306
23,Temptation Song at Lix Charm,White Ability Progressive,,8122306
24,Love Song at Istory Love,Catch,,8122306
25,Requiem Song at Kelb Requiem,Geomancer Job Crystal,,8122306
26,Speed Song at Surgate Speed,GbnPnch->Emision->Missle->Blwfsh,,8122306
27,Magic Song at Ancient Library Magic,Thunder Bow,,8122306
28,Power Song from Crescent Town Power,Sylph->Crbnkl->Phenix->Syldra,,8122306
29,Hero Song from Crescent Town Hero,Tiger Mask,,8122306
30,"Fork Tower, two Magics Holy",Mythril Hammer,,8122306
31,"Fork Tower, two Magics Flare",L4Qrter->L3Flare->L2Old->L5Doom,,8122306
32,Meteo Meteo,Sleep->Psych->Doom,,8122306
33,"5 potions in Wind Shrine, bottom left guy Potion",Black Ability Progressive,,8122306
34,"8 potions, Pirate after Torna Canal Key acquired Potion",Preemptive,,8122306
35,Chancellor at Tycoon Healing Staff,Killer Bow,,8122306
36,Magisa & Forza Mythril Helm,Equip Spears,,8122306
37,CornaJar at Kelb CornaJar,Phoenix Down,,8122306
38,Ribbon from girl in Rugor Ribbon,MgcSword Ability Progressive,,8122306
39,Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Toad->Bio->Flare,,8122306
40,12 Kuzar Events Assassin,Magic->Love@Song,,8122306
41,12 Kuzar Events Apollo's Harp,Venom Rod,,8122306
42,12 Kuzar Events Excalibur,????->Fusion->Exploder->DrkShock,,8122306
43,12 Kuzar Events Flame Whip,Blue,,8122306
44,12 Kuzar Events Earth Bell,Whip,,8122306
45,12 Kuzar Events Holy Lance,Mute->Psych->Holy Sword,,8122306
46,12 Kuzar Events Masamune,Venom Rod,,8122306
47,12 Kuzar Events Wizard Rod,Thunder Whip,,8122306
48,12 Kuzar Events Rune Axe,Mythril Helm,,8122306
49,12 Kuzar Events Sage's Staff,Mage Masher,,8122306
50,12 Kuzar Events Sasuke,Slow->Stop->Slow2,,8122306
51,12 Kuzar Events Yoichi Bow,Armor->Shell->Wall->Dispel,,8122306
52,Shiva Shiva,Glasses,,8122306
53,Ifrit Ifrit,Conjure,,8122306
54,Water Crystal Samurai,Equip Armors,,8122306
55,Water Crystal Berserker,Shuriken,,8122306
56,Water Crystal MysticKnight,Enhancer,,8122306
57,Water Crystal TimeMage,Ether,,8122306
58,Water Crystal Summoner,Crystal Shield,,8122306
59,Brave Blade Brave Blade,Staff,,8122306
60,Chicken Knife Chicken Knife,Chicken Knife,,8122306
61,Tycoon Castle Cabin Cabin,HiPotion,,8122306
62,Walse Tower Chest GoGo,Air Lance,,8122306
63,Pyramid Top Pyramid Tablet,TimeMage Job Crystal,,8122306
