,shop_name,shop_type,item,seed
0,Tule Weapon,01,Leather Shield,8122306
1,Tule Weapon,01,Ice Shield,8122306
2,Tule Weapon,01,Rune Axe,8122306
3,Tule Weapon,01,Leather Shoes,8122306
4,Tule Weapon,01,Revivify,8122306
5,Tule Weapon,01,Cabin,8122306
6,Tule Weapon,01,None,8122306
7,Tule Weapon,01,None,8122306
8,Tule Armor,01,Gale Bow,8122306
9,Tule Armor,01,Bronze Armor,8122306
10,Tule Armor,01,Murasume,8122306
11,Tule Armor,01,Cursed Ring,8122306
12,Tule Armor,01,Ether,8122306
13,Tule Armor,01,Maiden's Kiss,8122306
14,Tule Armor,01,TurtleShell,8122306
15,Tule Armor,01,Antidote,8122306
16,Tule Inn,01,Elf Cape,8122306
17,Tule Inn,01,Kotetsu,8122306
18,Tule Inn,01,Avis Killer,8122306
19,Tule Inn,01,Diamond Shield,8122306
20,Tule Inn,01,Ether,8122306
21,Tule Inn,01,Antidote,8122306
22,Tule Inn,01,Tent,8122306
23,Tule Inn,01,Tent,8122306
24,Tule Magic,01,Forged,8122306
25,Tule Magic,01,Coral Sword,8122306
26,Tule Magic,01,Thunder Bow,8122306
27,Tule Magic,01,DrgnCrest,8122306
28,Tule Magic,01,Eyedrop,8122306
29,Tule Magic,01,Flame Whip,8122306
30,Tule Magic,01,Elixir,8122306
31,Tule Magic,01,Elixir,8122306
32,Carwen Weapon,00,Haste,8122306
33,Carwen Weapon,00,Crbnkl,8122306
34,Carwen Weapon,00,Hammer,8122306
35,Carwen Weapon,00,Venom,8122306
36,Carwen Weapon,00,None,8122306
37,Carwen Weapon,00,None,8122306
38,Carwen Weapon,00,None,8122306
39,Carwen Weapon,00,None,8122306
40,Carwen Armor,01,Soft,8122306
41,Carwen Armor,01,Ice Rod,8122306
42,Carwen Armor,01,Guardian,8122306
43,Carwen Armor,01,Hero Drink,8122306
44,Carwen Armor,01,Aegis Shield,8122306
45,Carwen Armor,01,Phoenix Down,8122306
46,Carwen Armor,01,Phoenix Down,8122306
47,Carwen Armor,01,Revivify,8122306
48,Carwen Inn,00,MoonFlut,8122306
49,Carwen Inn,00,Exploder,8122306
50,Carwen Inn,00,Exit,8122306
51,Carwen Inn,00,Flare,8122306
52,Carwen Inn,00,Flare,8122306
53,Carwen Inn,00,None,8122306
54,Carwen Inn,00,None,8122306
55,Carwen Inn,00,None,8122306
56,Carwen Magic,01,Coronet,8122306
57,Carwen Magic,01,Strength,8122306
58,Carwen Magic,01,Angel Gwn,8122306
59,Carwen Magic,01,RuneEdge,8122306
60,Carwen Magic,01,Glasses,8122306
61,Carwen Magic,01,Rune Axe,8122306
62,Carwen Magic,01,Protect Drink,8122306
63,Carwen Magic,01,Killer Bow,8122306
64,Worus Weapon,00,Mute,8122306
65,Worus Weapon,00,Bolt2,8122306
66,Worus Weapon,00,Cure,8122306
67,Worus Weapon,00,None,8122306
68,Worus Weapon,00,None,8122306
69,Worus Weapon,00,None,8122306
70,Worus Weapon,00,None,8122306
71,Worus Weapon,00,None,8122306
72,Worus Armor,07,Black Lv.6,8122306
73,Worus Armor,07,Smoke,8122306
74,Worus Armor,07,HP +30%,8122306
75,Worus Armor,07,Dance,8122306
76,Worus Armor,07,None,8122306
77,Worus Armor,07,None,8122306
78,Worus Armor,07,None,8122306
79,Worus Armor,07,None,8122306
80,Worus Magic,07,Agility,8122306
81,Worus Magic,07,X-Magic,8122306
82,Worus Magic,07,Pray,8122306
83,Worus Magic,07,BuildUp,8122306
84,Worus Magic,07,None,8122306
85,Worus Magic,07,None,8122306
86,Worus Magic,07,None,8122306
87,Worus Magic,07,None,8122306
88,Karnak Weapon 1,00,Sleep,8122306
89,Karnak Weapon 1,00,Chocob,8122306
90,Karnak Weapon 1,00,Bolt2,8122306
91,Karnak Weapon 1,00,Drain,8122306
92,Karnak Weapon 1,00,Venom,8122306
93,Karnak Weapon 1,00,None,8122306
94,Karnak Weapon 1,00,None,8122306
95,Karnak Weapon 1,00,None,8122306
96,Karnak Weapon 2,07,Summon Lv.2,8122306
97,Karnak Weapon 2,07,Hide,8122306
98,Karnak Weapon 2,07,Sing,8122306
99,Karnak Weapon 2,07,None,8122306
100,Karnak Weapon 2,07,None,8122306
101,Karnak Weapon 2,07,None,8122306
102,Karnak Weapon 2,07,None,8122306
103,Karnak Weapon 2,07,None,8122306
104,Karnak Armor,01,Gauntlets,8122306
105,Karnak Armor,01,Diamond Armor,8122306
106,Karnak Armor,01,Venom Rod,8122306
107,Karnak Armor,01,AntiMagic Bow,8122306
108,Karnak Armor,01,Golem,8122306
109,Karnak Armor,01,Tricorn Hat,8122306
110,Karnak Armor,01,Flame Whip,8122306
111,Karnak Armor,01,Gale Bow,8122306
112,Common World 1 Inn,07,Barrier,8122306
113,Common World 1 Inn,07,Brawl,8122306
114,Common World 1 Inn,07,Chemist,8122306
115,Common World 1 Inn,07,Bard,8122306
116,Common World 1 Inn,07,None,8122306
117,Common World 1 Inn,07,None,8122306
118,Common World 1 Inn,07,None,8122306
119,Common World 1 Inn,07,None,8122306
120,Karnak Magic 1,01,Morning Star,8122306
121,Karnak Magic 1,01,Healing Staff,8122306
122,Karnak Magic 1,01,Bronze Shield,8122306
123,Karnak Magic 1,01,Glasses,8122306
124,Karnak Magic 1,01,Power Staff,8122306
125,Karnak Magic 1,01,Guard Ring,8122306
126,Karnak Magic 1,01,Maiden's Kiss,8122306
127,Karnak Magic 1,01,Spear,8122306
128,Karnak Magic 2,00,AquaRake,8122306
129,Karnak Magic 2,00,Charm,8122306
130,Karnak Magic 2,00,Charm,8122306
131,Karnak Magic 2,00,Life,8122306
132,Karnak Magic 2,00,????,8122306
133,Karnak Magic 2,00,None,8122306
134,Karnak Magic 2,00,None,8122306
135,Karnak Magic 2,00,None,8122306
136,Karnak Magic 3,07,BlackMage,8122306
137,Karnak Magic 3,07,Analyze,8122306
138,Karnak Magic 3,07,MgcSwrd Lv.3,8122306
139,Karnak Magic 3,07,Animals,8122306
140,Karnak Magic 3,07,None,8122306
141,Karnak Magic 3,07,None,8122306
142,Karnak Magic 3,07,None,8122306
143,Karnak Magic 3,07,None,8122306
144,Crescent Weapon,01,Mythril Helm,8122306
145,Crescent Weapon,01,CopperPlt,8122306
146,Crescent Weapon,01,Angel Ring,8122306
147,Crescent Weapon,01,Excailbur,8122306
148,Crescent Weapon,01,None,8122306
149,Crescent Weapon,01,None,8122306
150,Crescent Weapon,01,None,8122306
