shop_name,value
Bal/Kelb Armor,2.370967741935484
Bal/Kelb Weapon,2.1311475409836067
Carwen Armor,2.1186440677966103
Carwen Inn,2.257575757575758
Carwen Magic,2.2131147540983607
Carwen Weapon,2.037037037037037
Common World 1 Inn,2.287878787878788
Common World 2 Inn 1,2.150943396226415
Common World 2 Inn 2,2.305084745762712
Common World 2 Magic 1,2.020408163265306
Common World 2 Magic 2,1.9722222222222223
Common World 2 Magic 3,1.935483870967742
Crescent Armor,1.9444444444444444
Crescent Weapon,1.9682539682539681
Dwarf Armor,2.5303030303030303
Dwarf Magic,2.123076923076923
Dwarf Weapon,2.017543859649123
Istory Relic,1.8545454545454545
Jacole Armor,2.111111111111111
Jacole Weapon,2.0714285714285716
Karnak Armor,2.2698412698412698
Karnak Magic 1,2.1911764705882355
Karnak Magic 2,2.1333333333333333
Karnak Magic 3,1.9607843137254901
Karnak Weapon 1,2.2794117647058822
Karnak Weapon 2,1.9130434782608696
Kelb Armor,2.097560975609756
Kelb Weapon,2.1846153846153844
Lix Armor,1.9090909090909092
Lix Guild,2.103448275862069
Lix Inn,2.1791044776119404
Lix Magic,2.0
Mirage Armor,2.2708333333333335
Mirage Guild,2.183333333333333
Mirage Inn 1,2.4714285714285715
Mirage Inn 2,2.2241379310344827
Mirage Magic 1,2.0892857142857144
Mirage Magic 2,2.196969696969697
Mirage Relic,2.169230769230769
Mirage Weapon,2.246153846153846
Mua Armor,2.298507462686567
Mua Magic 1,2.1272727272727274
Mua Magic 2,2.0317460317460316
Mua Magic 3,2.123076923076923
Mua Weapon,1.90625
Rugor Armor,2.2131147540983607
Rugor Weapon,2.274193548387097
Surgate Armor,2.078125
Surgate Weapon,1.8679245283018868
Tule Armor,1.8775510204081634
Tule Inn,2.017543859649123
Tule Magic,2.1470588235294117
Tule Weapon,2.0416666666666665
Worus Armor,2.2291666666666665
Worus Magic,2.0517241379310347
Worus Weapon,2.033333333333333
