check,reward,mib,seed
Wind Crystal Knight,Assassin,,849039
Wind Crystal BlueMage,Fire Rod,,849039
Wind Crystal BlackMage,Tiger Mask,,849039
Wind Crystal WhiteMage,Cure White Magic Progressive,,849039
Wind Crystal Monk,Black Ability Progressive,,849039
Wind Crystal Thief,Diamond Helm,,849039
Fire Crystal Mediator,Running Shoes,,849039
Fire Crystal Geomancer,Genji Armor,,849039
Fire Crystal Ninja,Darkness Bow,,849039
Black Choco Crystals Bard,DarkSuit,,849039
Black Choco Crystals Hunter,Power->Vitality Song,,849039
Earth Crystal Samurai,MysticKnight Job Crystal,,849039
Earth Crystal Dragoon,Black Ability Progressive,,849039
Earth Crystal Chemist,Phoenix Down,,849039
Earth Crystal Dancer,Void->Demi->Qrter->Old,,849039
Leviathan Esper Levia,Sage's Staff,,849039
Titan Titan,White Robe,,849039
Carbuncle Crbnkl,????->Fusion->Exploder->DrkShock,,849039
Syldra Syldra,White Robe,,849039
Odin Odin,Ninja Job Crystal,,849039
Phoenix Phenix,Maiden's Kiss,,849039
Bahamut Bahmut,Fire Bow,,849039
Life (or Strength) Song from Crescent Town bard Vitality,Antidote,,849039
Temptation Song at Lix Charm,Red1->Red2->Red3->X-Magic,,849039
Love Song at Istory Love,Mute->Psych->Holy Sword,,849039
Requiem Song at Kelb Requiem,Summon Ability Progressive,,849039
Speed Song at Surgate Speed,Ice Black Magic Progressive,,849039
Magic Song at Ancient Library Magic,Berserker Job Crystal,,849039
Power Song from Crescent Town Power,Artemis Bow,,849039
Hero Song from Crescent Town Hero,Giant's Axe,,849039
"Fork Tower, two Magics Holy",White Ability Progressive,,849039
"Fork Tower, two Magics Flare",Defender Sword,,849039
Meteo Meteo,Mythril Armor,,849039
"5 potions in Wind Shrine, bottom left guy Potion",Condemn->Roulette->AquaRake,,849039
"8 potions, Pirate after Torna Canal Key acquired Potion",Giant's Axe,,849039
Chancellor at Tycoon Healing Staff,Terrain,,849039
Magisa & Forza Mythril Helm,Gaia Gear,,849039
CornaJar at Kelb CornaJar,Iron Shield,,849039
Ribbon from girl in Rugor Ribbon,Flash->Time Slip->DethClaw,,849039
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Bolt Black Magic Progressive,,849039
12 Kuzar Events Assassin,Chocob->Titan->Golem->Odin,,849039
12 Kuzar Events Apollo's Harp,TurtleShell,,849039
12 Kuzar Events Excalibur,BlackMage Job Crystal,,849039
12 Kuzar Events Flame Whip,Equip Rods,,849039
12 Kuzar Events Earth Bell,Black Ability Progressive,,849039
12 Kuzar Events Holy Lance,Apollo's Harp,,849039
12 Kuzar Events Masamune,Slow->Stop->Slow2,,849039
12 Kuzar Events Wizard Rod,Equip Ribbon,,849039
12 Kuzar Events Rune Axe,Dimen Ability Progressive,,849039
12 Kuzar Events Sage's Staff,Scan->Charm->Holy,,849039
12 Kuzar Events Sasuke,Shiva->Ramuh->Ifrit->Bahmut,,849039
12 Kuzar Events Yoichi Bow,Flirt,,849039
Shiva Shiva,Dimen Ability Progressive,,849039
Ifrit Ifrit,Earth Hammer,,849039
Water Crystal Samurai,Hunter Job Crystal,,849039
Water Crystal Berserker,Smoke,,849039
Water Crystal MysticKnight,Shoat,,849039
Water Crystal TimeMage,Water Scroll,,849039
Water Crystal Summoner,L4Qrter->L3Flare->L2Old->L5Doom,,849039
Brave Blade Brave Blade,CornaJar,,849039
Chicken Knife Chicken Knife,Chicken Knife,,849039
Tycoon Castle Cabin Cabin,Orialcon,,849039
Walse Tower Chest GoGo,Elven Bow,,849039
Pyramid Top Pyramid Tablet,Sylph->Crbnkl->Phenix->Syldra,,849039
Toad Event Toad,Armor->Shell->Wall->Dispel,,849039
Aegis Shield Chest Aegis Shield,Aegis Shield,,849039
Lone Wolf Barrel Cabin,Leather Shield,,849039
Lone Wolf Chest Thunder Whip,Thunder Whip,,849039
Moat Item Epee,Mirage Vest,,849039
Shop Backdoor Lamia Harp,Silver Plate,,849039
Top of the Falls Magic Lamp,Mythril Staff,,849039
Wind Shrine Chest Broadsword,Killer Bow,,849039
Beginner's House Chest Ether,Venom->Drain->Break Sword,,849039
Beginner's House Chest 100,Stealth Suit,,849039
Beginner's House Chest Potion,Toad->Bio->Flare,,849039
Beginner's House Chest Phoenix Down,ManEater,MIB,849039
Beginner's House Chest Tent,Brawl,,849039
Beginner's House Chest Leather Shoes,Healing Staff,,849039
Pirate's Cave Chest Leather Cap,4900 gil,,849039
Pirate's Cave Chest Tent,9500 gil,,849039
Pirate's Cave Chest Ether,9000 gil,,849039
Pirate's Cave Chest 300,100 gil,,849039
Wind Shrine Chest Tent,100 gil,,849039
Wind Shrine Chest Leather Cap,Giyaman,,849039
Wind Shrine Chest Staff,4400 gil,,849039
Tule Barrel 150,Silver Armlet,,849039
Tule Box Leather Shoes,BeastKiller,,849039
Tule Barrel Potion,Defender Sword,,849039
Tule Box Tent,DarkSuit,,849039
Tule Bush Phoenix Down,Bolt Black Magic Progressive,,849039
Ship Graveyard Chest Flail,2000 gil,,849039
Ship Graveyard Chest Phoenix Down,Tent,,849039
Ship Graveyard Chest Tent,10000 gil,,849039
Ship Graveyard Box 990,Ice Sword Magic Progressive,,849039
Ship Graveyard Chest Potion,Pinwheel,,849039
Ship Graveyard Chest Antidote,Equip Spears,,849039
Carwen Barrel Antidote,4900 gil,,849039
Carwen Box Ice Rod,12000 gil,,849039
Carwen Pot 1000,Cotton Robe,,849039
North Mountain Chest Soft,L4Qrter->L3Flare->L2Old->L5Doom,,849039
North Mountain Chest Phoenix Down,10000 gil,,849039
Walse Town Pot Glasses,Remora->Shoat->Levia,,849039
Tycoon Castle Pot Hi-Potion,Fire Rod,,849039
Tycoon Castle Pot Ether,Fire Sword Magic Progressive,,849039
Tycoon Castle Barrel Elixir,RedMage Job Crystal,,849039
Tycoon Castle Barrel Phoenix Down,Mute->Size->Bersk,,849039
Tycoon Castle Barrel Cabin,Magic->Love@Song,,849039
Tycoon Castle Pot Elixir,Flame Whip,,849039
Tycoon Castle Pot Phoenix Down,White Ability Progressive,,849039
Tycoon Castle Pot Maiden's Kiss,Judgement Staff,,849039
Tycoon Castle Chest Shuriken,2000 gil,,849039
Tycoon Castle Chest Giyaman,Broadsword,,849039
Tycoon Castle Chest Katana,Fire Sword Magic Progressive,,849039
Walse Castle Chest Elf Cape,Caution,,849039
Walse Castle Pot 1000,Lamia's Tiara,,849039
Walse Castle Pot Drag,DrgnCrest,,849039
Walse Castle Box 490,Ice Shield,,849039
Walse Castle Barrel Tent,100 gil,,849039
Walse Castle Barrel Phoenix Down,Ice Sword Magic Progressive,,849039
Walse Tower Chest Silk robe,10000 gil,,849039
Walse Tower Chest Maiden's Kiss,BuildUp,,849039
Walse Tower Chest Silver Armlet,TurtleShell,,849039
Walse Tower Chest Ether,????->Fusion->Exploder->DrkShock,,849039
Tycoon Meteor Chest Phoenix Down,25000 gil,,849039
Karnak Castle Chest Gungnir,Partisan,MIB,849039
Karnak Castle Chest Thunder Scroll,Revivify,MIB,849039
Karnak Castle Chest 2000,150 gil,,849039
Karnak Castle Chest Elixir,RuneEdge,MIB,849039
Karnak Castle Chest Ribbon,Phoenix Down,MIB,849039
Karnak Castle Chest Shuriken,Diamond Shield,MIB,849039
Karnak Castle Chest Elf Cape,Knife,MIB,849039
Karnak Castle Chest Guardian,Full Moon,MIB,849039
Karnak Town Barrel Fire Rod,Elixir,,849039
Steamship Chest Cabin,Forged,,849039
Steamship Chest Phoenix Down,Black Ability Progressive,,849039
Steamship Chest Elixir,Black Ability Progressive,,849039
Steamship Chest GrnBeret,Pinwheel,,849039
Steamship Chest Thief's Glove,Venom->Drain->Break,,849039
Ancient Library Chest Ether,12000 gil,,849039
Ancient Library Chest Phoenix Down,490 gil,,849039
Ancient Library Chest Stealth Suit,150 gil,,849039
Jacole Cave Chest Shuriken,8000 gil,,849039
Jacole Cave Chest Tent,5000 gil,,849039
Ruined City Chest Shuriken,8000 gil,,849039
Ruined City Chest Size,Golden Shield,,849039
Flying Lonka Ruins Chest Golden Armor,Vampire->MindBlst->WhiteWind,,849039
Flying Lonka Ruins Chest Elixir,Image,,849039
Flying Lonka Ruins Chest Phoenix Down,Cotton Robe,,849039
Flying Lonka Ruins Chest Golden Shield,10000 gil,,849039
Steamship Chest Mythril Glove,990 gil,,849039
Steamship Chest Full Moon,9900 gil,,849039
Flying Lonka Ruins Chest Hi-Potion,Venom->Drain->Break,,849039
Flying Lonka Ruins Chest 5000,Summon Ability Progressive,,849039
Flying Lonka Ruins Chest Shuriken,300 gil,,849039
Flying Lonka Ruins Chest Ancient Sword,Diamond Armlet,,849039
Flying Lonka Ruins Chest Full Moon,9000 gil,,849039
Flying Lonka Ruins Chest Power Wrist,Thief Job Crystal,,849039
Flying Lonka Ruins Chest Ether,Cotton Robe,,849039
Flying Lonka Ruins Chest Cabin,Equip Axes,,849039
Exdeath's Castle Chest Ether,Tent,,849039
Exdeath's Castle Chest Diamond Shield,Air Blade,,849039
Exdeath's Castle Chest Ice Shield,Shiva->Ramuh->Ifrit->Bahmut,,849039
Exdeath's Castle Chest Elixir,Sage's Staff,,849039
Exdeath's Castle Chest Gale Bow,9500 gil,,849039
Exdeath's Castle Chest IceBrand,2000 gil,,849039
Exdeath's Castle Chest Kotetsu,Genji Helm,,849039
Exdeath's Castle Chest 9900,Life->Life2,,849039
Exdeath's Castle Chest 8000,Hide,,849039
Exdeath's Castle Chest DblLance,Thief's Glove,,849039
Exdeath's Castle Chest Partisan,Shiva->Ramuh->Ifrit->Bahmut,,849039
Exdeath's Castle Chest Pinwheel,Black Ability Progressive,,849039
Moogle Cave Chest 4400,Mirage Vest,,849039
Moogle Cave Chest Phoenix Down,Evade,,849039
Moogle Village Chest Cabin,Drink,,849039
Moogle Village Chest Dancing Dagger,12000 gil,,849039
Moogle Village Chest 1,2000 gil,,849039
Moogle Village Chest 10000,Golden Armor,,849039
Moogle Village Chest Phoenix Down,Red1->Red2->Red3->X-Magic,,849039
Moogle Village Chest Ether,Drain Sword,,849039
Moogle Village Chest Elf Cape,Thunder Bow,,849039
Bal Castle Chest Angel Gwn,Hero Drink,,849039
Bal Castle Chest Hero Drink,Dragoon Lance,,849039
Bal Castle Chest Exit,Battle Axe,,849039
Hiryuu Valley Skull Bone Mail,HP +X%,,849039
Hiryuu Valley Chest 5000,Equip Swords,,849039
Hiryuu Valley Chest Cabin,Red1->Red2->Red3->X-Magic,,849039
Hiryuu Valley Chest 7000,2500 gil,,849039
Hiryuu Valley Chest Coronet,Haste->Exit->Hast2->Quick,,849039
Hiryuu Valley Chest Air Blade,490 gil,,849039
Hiryuu Valley Chest Phoenix Down,L4Qrter->L3Flare->L2Old->L5Doom,,849039
Surgate Castle Chest 5000,9000 gil,,849039
Surgate Castle Chest Float,Crystal Helm,,849039
Barrier Tower Chest Drain Sword,Magic Lamp,,849039
Barrier Tower Chest 9000,Mythril Glove,MIB,849039
Barrier Tower Chest 18000,Coral Ring,MIB,849039
Barrier Tower Chest Gold Hairpin,LuckMallet,,849039
Mua Town Barrel Guardian,Armor->Shell->Wall->Dispel,,849039
Mua Forest Chest 2500,ManEater,,849039
Mua Forest Chest Ether,1000 gil,,849039
Mua Forest Chest 4900,Cure White Magic Progressive,,849039
Mua Forest Chest Phoenix Down,Conjure,,849039
Mua Forest Chest 9500,9000 gil,,849039
Mua Forest Chest Soot,Mantra,,849039
Mua Forest Chest Flametongue,Flametongue,,849039
Mua Forest Chest Cabin,10000 gil,,849039
Mua Forest Chest Giant Drink,HP +X%,,849039
Mua Forest Chest Elixir,Silk robe,,849039
Mua Forest Chest Morning Star,Guard Ring,,849039
Solitary Island Chest Ether,DarkHood,,849039
Solitary Island Chest DragonFang,Animals->Aim->X-Fight,,849039
Pyramid Chest Elixir,RuneEdge,MIB,849039
Pyramid Chest Black Robe,Shuriken,MIB,849039
Pyramid Chest Thornlet,Crystal Armor,MIB,849039
Pyramid Chest DarkMatter,Mythril Glove,,849039
Pyramid Chest Crystal Armor,Silver Armlet,,849039
Pyramid Chest Cursed Ring,Ramuh,MIB,849039
Pyramid Chest Ice Shield,Trident,MIB,849039
Pyramid Chest Flame Shield,Bronze Shield,,849039
Pyramid Chest White Robe,DrgnCrest,,849039
Pyramid Chest DarkSuit,DarkSuit,,849039
Pyramid Chest 9000,Regen->Float->Reset->Xzone,,849039
Pyramid Chest 8000,Regen->Float->Reset->Xzone,,849039
Pyramid Chest Earth Hammer,RegalCut,MIB,849039
Pyramid Chest 10000,Rune Axe,MIB,849039
Pyramid Chest Cabin,Stealth Suit,MIB,849039
Pyramid Chest 12000,OmegaMedl,MIB,849039
Pyramid Chest Guard Ring,RuneEdge,MIB,849039
Pyramid Chest Ribbon,Ogre Killer,,849039
Pyramid Chest Gold Hairpin,OmegaMedl,,849039
Solitary Island Chest 12000,Venom Axe,,849039
Solitary Island Chest Hi-Potion,DmgFloor,,849039
Solitary Island Chest Protect Drink,Rainbow Dress,MIB,849039
Solitary Island Chest BeastKiller,Kotetsu,,849039
Solitary Island Chest RisingSun,Chicken Knife,,849039
Solitary Island Chest Guard Ring,Battle Axe,,849039
Solitary Island Chest Crystal Helm,Red Shoes,MIB,849039
Solitary Island Chest 9000,Golem,,849039
Solitary Island Chest Elixir,Brave Blade,,849039
Solitary Island Chest DarkMatter,Flash->Time Slip->DethClaw,,849039
Solitary Island Chest Circlet,Mimic Job Crystal,,849039
Fork Tower L. Chest Ether,5000 gil,,849039
Fork Tower L. Chest Wonder Wand,Red1->Red2->Red3->X-Magic,,849039
Fork Tower R. Chest Hi-Potion,Trident,,849039
Fork Tower R. Chest Defender Sword,Protect Drink,,849039
Great Trench Chest Water Scroll,Sing,,849039
Great Trench Chest Flame Ring,LuckMallet,,849039
Great Trench Chest DragonFang,Kick,,849039
Great Trench Chest Ether,5000 gil,,849039
Great Trench Chest Phoenix Down,Regen->Float->Reset->Xzone,,849039
Great Trench Chest Kaiser Knuckles,Kaiser Knuckles,,849039
Istory Falls Chest Ether,Speed Drink,,849039
Istory Falls Chest TurtleShell,TimeMage Job Crystal,,849039
Istory Falls Chest Air Lance,Dimen Ability Progressive,,849039
Istory Falls Chest Giant Drink,Control,,849039
Istory Falls Chest RuneEdge,Protect Drink,,849039
Istory Falls Chest Guard Ring,L4Qrter->L3Flare->L2Old->L5Doom,,849039
Istory Falls Chest Wall Ring,Wind Spear,,849039
Istory Falls Chest Phoenix Down,Phoenix Down,,849039
Istory Falls Chest Enhancer,Berserk,,849039
Istory Falls Chest 12000,Cotton Robe,,849039
Istory Falls Chest Artemis Bow,Knife,,849039
Istory Falls Chest Pinwheel,LuckMallet,,849039
Istory Falls Chest Aegis Shield,12000 gil,,849039
Istory Falls Chest Giant's Axe,MP +X%,,849039
Phoenix Tower Pot 5000,Genji Shield,MIB,849039
Phoenix Tower Pot Phoenix Down,Bronze Armor,,849039
Phoenix Tower Pot 10000,Armor->Shell->Wall->Dispel,,849039
Phoenix Tower Pot 15000,Mythril Helm,MIB,849039
Phoenix Tower Pot 20000,Mythril Helm,MIB,849039
Phoenix Tower Pot Avis Killer,Sage's Staff,MIB,849039
Phoenix Tower Pot 25000,Speed->Requiem Song,,849039
