shop_name,value
Bal/Kelb Armor,2.875
Bal/Kelb Weapon,1.5
Carwen Armor,2.125
Carwen Inn,2.8333333333333335
Carwen Magic,2.2857142857142856
Carwen Weapon,2.0
Common World 1 Inn,2.125
Common World 2 Inn 1,2.0
Common World 2 Inn 2,2.25
Common World 2 Magic 1,2.125
Common World 2 Magic 2,2.0
Common World 2 Magic 3,1.5714285714285714
Crescent Armor,2.0
Crescent Weapon,2.0
Dwarf Armor,2.25
Dwarf Magic,2.1666666666666665
Dwarf Weapon,2.0
Istory Relic,2.0
Jacole Armor,2.1666666666666665
Jacole Weapon,1.0
Karnak Armor,2.0
Karnak Magic 1,1.75
Karnak Magic 2,2.142857142857143
Karnak Magic 3,2.625
Karnak Weapon 1,2.0
Karnak Weapon 2,2.0
Kelb Armor,2.25
Kelb Weapon,2.2222222222222223
Lix Armor,1.6
Lix Guild,1.75
Lix Inn,2.5
Lix Magic,2.0
Mirage Armor,2.5714285714285716
Mirage Guild,2.0
Mirage Inn 1,1.5
Mirage Inn 2,2.3333333333333335
Mirage Magic 1,1.75
Mirage Magic 2,2.0
Mirage Relic,2.6666666666666665
Mirage Weapon,1.6666666666666667
Mua Armor,2.1666666666666665
Mua Magic 1,2.0
Mua Magic 2,1.75
Mua Magic 3,2.4444444444444446
Mua Weapon,2.0
Rugor Armor,2.0
Rugor Weapon,1.75
Surgate Armor,2.5
Surgate Weapon,2.0
Tule Armor,2.0
Tule Inn,1.625
Tule Magic,2.125
Tule Weapon,2.0
Worus Armor,1.6666666666666667
Worus Magic,2.5
Worus Weapon,2.0
