boss,key,seed
Karlabos,Big Bridge Key,6074317
Magisa & Forza,Canal Key,6074317
Galura,Pyramid Page,6074317
LiquiFlame,4th Tablet,6074317
Sandworm,Anti Barrier,6074317
AdamanTiMi,Bracelet,6074317
Chim.Brain,Ifrit's Fire,6074317
Titan,Elder Branch,6074317
Tyrasaurus,Adamantite,6074317
Abductor,Moogle Suit,6074317
Atmos,3rd Tablet,6074317
Guardians,2nd Tablet,6074317
Carbunkle,Walse Tower Key,6074317
Antlion,Hiryuu Call,6074317
Merugene,Trench Page,6074317
"Triton, Neregeid & Phobos",Shrine Page,6074317
Omniscient,Submarine Key,6074317
Leviathan,Steamship Key,6074317
Stalker,Sandworm Bait,6074317
Bahamut,Falls Page,6074317
