check,value
12 Kuzar Events Apollo's Harp,3.0
12 Kuzar Events Assassin,2.0
12 Kuzar Events Earth Bell,2.0
12 Kuzar Events Excalibur,1.0
12 Kuzar Events Holy Lance,2.0
12 Kuzar Events Masamune,2.0
12 Kuzar Events Sage's Staff,2.5
12 Kuzar Events Sasuke,4.0
12 Kuzar Events Wizard Rod,2.0
12 Kuzar Events Yoichi Bow,2.0
"5 potions in Wind Shrine, bottom left guy Potion",3.0
"8 potions, Pirate after Torna Canal Key acquired Potion",1.0
Aegis Shield Chest Aegis Shield,1.0
Ancient Library Chest Phoenix Down,2.0
Ancient Library Chest Stealth Suit,4.0
ArchaeAvis New,4.0
Bal Castle Chest Angel Gwn,3.0
Bal Castle Chest Hero Drink,2.0
Barrier Tower Chest 18000,2.0
Barrier Tower Chest 9000,2.0
Barrier Tower Chest Drain Sword,3.0
Barrier Tower Chest Gold Hairpin,3.0
Beginner's House Chest 100,2.5
Beginner's House Chest Ether,2.0
Beginner's House Chest Leather Shoes,4.0
Beginner's House Chest Tent,3.0
Black Choco Crystals Bard,2.0
Brave Blade Brave Blade,4.0
Byblos New,4.0
Carbuncle Crbnkl,1.0
Carwen Box Ice Rod,2.0
Carwen Pot 1000,2.0
Chancellor at Tycoon Healing Staff,3.0
Chicken Knife Chicken Knife,3.0
Crayclaw New,4.0
Earth Crystal Dancer,3.0
Earth Crystal Samurai,2.0
Exdeath's Castle Chest 8000,1.0
Exdeath's Castle Chest Diamond Shield,3.0
Exdeath's Castle Chest Ice Shield,1.0
Exdeath's Castle Chest Kotetsu,4.0
Fire Crystal Mediator,4.0
Fire Crystal Ninja,2.0
Flying Lonka Ruins Chest 5000,4.0
Flying Lonka Ruins Chest Elixir,3.0
Flying Lonka Ruins Chest Hi-Potion,1.0
Flying Lonka Ruins Chest Phoenix Down,1.0
Fork Tower L. Chest Wonder Wand,3.0
Fork Tower R. Chest Defender Sword,2.0
"Fork Tower, two Magics Flare",2.0
"Fork Tower, two Magics Holy",4.0
Gilgamesh 1 New,4.0
Gilgamesh 2 New,4.0
Gilgamesh 3 & Enkidou New,4.0
Gilgamesh 4 New,4.0
GoGo New,4.0
Great Trench Chest DragonFang,2.0
Great Trench Chest Flame Ring,4.0
Great Trench Chest Phoenix Down,3.0
Hiryuu Valley Chest 5000,1.0
Hiryuu Valley Chest 7000,3.0
Hiryuu Valley Chest Coronet,4.0
HiryuuPlant New,4.0
Ifrit New,4.0
Istory Falls Chest Aegis Shield,4.0
Istory Falls Chest Enhancer,3.0
Istory Falls Chest Ether,4.0
Istory Falls Chest Giant Drink,3.0
Istory Falls Chest Giant's Axe,4.0
Istory Falls Chest Pinwheel,3.0
Istory Falls Chest RuneEdge,1.0
Istory Falls Chest TurtleShell,1.0
Karnak Castle Chest 2000,2.0
Karnak Castle Chest Elf Cape,3.0
Karnak Castle Chest Elixir,3.0
Karnak Castle Chest Guardian,2.0
Karnak Castle Chest Gungnir,3.0
Karnak Castle Chest Ribbon,1.0
Karnak Castle Chest Shuriken,3.0
Karnak Castle Chest Thunder Scroll,3.0
Leviathan Esper Levia,2.0
Lone Wolf Chest Thunder Whip,3.0
Magic Song at Ancient Library Magic,4.0
Minotauros New,4.0
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,2.0
Moogle Village Chest Cabin,2.0
