check,reward,mib,reward_value,seed
Wind Crystal Knight,Battle Axe,,325,7691650
Wind Crystal BlueMage,CornaJar,,5000,7691650
Wind Crystal BlackMage,Kodachi,,2550,7691650
Wind Crystal WhiteMage,Diamond Armor,,4000,7691650
Wind Crystal Monk,Mute->Size->Bersk,,0,7691650
Wind Crystal Thief,Caution,,0,7691650
Fire Crystal Mediator,Ice Bow,,1250,7691650
Fire Crystal Geomancer,Wall Ring,,10000,7691650
Fire Crystal Ninja,Spear,,50,7691650
Black Choco Crystals Bard,Bolt Black Magic Progressive,,0,7691650
Black Choco Crystals Hunter,TurtleShell,,75,7691650
Earth Crystal Samurai,Summon Ability Progressive,,0,7691650
Earth Crystal Dragoon,????->Fusion->Exploder->DrkShock,,0,7691650
Earth Crystal Chemist,Ether,,750,7691650
Earth Crystal Dancer,RegalCut,,240,7691650
Leviathan Esper Levia,CopperPlt,,175,7691650
Titan Titan,Genji Gloves,,7500,7691650
Carbuncle Crbnkl,Guardian,,1300,7691650
Syldra Syldra,Dancer Job Crystal,,0,7691650
Odin Odin,Black Ability Progressive,,0,7691650
Phoenix Phenix,Leather Cap,,25,7691650
Bahamut Bahmut,Mute->Psych->Holy Sword,,0,7691650
Life (or Strength) Song from Crescent Town bard Vitality,Evade,,0,7691650
Temptation Song at Lix Charm,Void->Demi->Qrter->Old,,0,7691650
Love Song at Istory Love,Antidote,,15,7691650
Requiem Song at Kelb Requiem,Barrier,,0,7691650
Speed Song at Surgate Speed,Equip Harps,,0,7691650
Magic Song at Ancient Library Magic,Murasume,,10000,7691650
Power Song from Crescent Town Power,Artemis Bow,,15000,7691650
Hero Song from Crescent Town Hero,Elven Bow,,3750,7691650
"Fork Tower, two Magics Holy",Catch,,0,7691650
"Fork Tower, two Magics Flare",Dragoon Job Crystal,,0,7691650
Meteo Meteo,Sleep->Psych->Doom,,0,7691650
"5 potions in Wind Shrine, bottom left guy Potion",Ice Shield,,20000,7691650
"8 potions, Pirate after Torna Canal Key acquired Potion",Golden Armor,,2000,7691650
Chancellor at Tycoon Healing Staff,Healing Staff,,450,7691650
Magisa & Forza Mythril Helm,Ice Rod,,375,7691650
CornaJar at Kelb CornaJar,Hero Drink,,55,7691650
Ribbon from girl in Rugor Ribbon,Coral Sword,,1400,7691650
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Lillith Rod,,1500,7691650
12 Kuzar Events Assassin,Phoenix Down,,500,7691650
12 Kuzar Events Apollo's Harp,Cursed Shield,,5000,7691650
12 Kuzar Events Excalibur,Condemn->Roulette->AquaRake,,0,7691650
