playthrough_log,all_keys_obtained_flag,completeable_seed_flag,sphere_num,tablets_sphere_num,sphere_zero_keys_num,seed
"Number of sphere zero keys: (11)
Sphere 0:	4th Tablet	 (WingRaptor loc)
Sphere 0:	Falls Page	 (Karlabos loc)
Sphere 0:	Walse Tower Key	 (Siren loc)
Sphere 0:	Ifrit's Fire	 (AdamanTiMi loc)
Sphere 0:	2nd Tablet	 (Titan loc)
Sphere 0:	1st Tablet	 (Tyrasaurus loc)
Sphere 0:	Hiryuu Call	 (Antlion loc)
Sphere 0:	Sandworm Bait	 (Merugene loc)
Sphere 0:	Anti Barrier	 (Odin loc)
Sphere 0:	Elder Branch	 (Ifrit loc)
Sphere 0:	Bracelet	 (Shiva loc)
Sphere 1:	Adamantite	 (Byblos loc via Ifrit's Fire)
Sphere 1:	Canal Key	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Submarine Key	 (Sol Cannon loc via Adamantite)
Sphere 1:	Steamship Key	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	3rd Tablet	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 1:	Trench Page	 (Guardians loc via Elder Branch)
Sphere 1:	Moogle Suit	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Big Bridge Key	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Pyramid Page	 (Leviathan loc via Submarine Key, Falls Page)
All tablets obtained (1 spheres).
All keys obtained.
",True,True,2,1,11,9107864
"Number of sphere zero keys: (10)
Sphere 0:	Moogle Suit	 (Karlabos loc)
Sphere 0:	Pyramid Page	 (AdamanTiMi loc)
Sphere 0:	Elder Branch	 (Puroboros loc)
Sphere 0:	Steamship Key	 (Titan loc)
Sphere 0:	3rd Tablet	 (HiryuuPlant loc)
Sphere 0:	Shrine Page	 (Merugene loc)
Sphere 0:	Ifrit's Fire	 (Odin loc)
Sphere 0:	4th Tablet	 (Bahamut loc)
Sphere 0:	2nd Tablet	 (Ifrit loc)
Sphere 0:	Adamantite	 (Crayclaw loc)
Sphere 1:	Anti Barrier	 (LiquiFlame loc via Steamship Key)
Sphere 1:	Submarine Key	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	1st Tablet	 (ArchaeAvis loc via Adamantite)
Sphere 1:	Falls Page	 (Atmos loc via Submarine Key)
Sphere 1:	Walse Tower Key	 (Omniscient loc via Elder Branch)
Sphere 1:	Sandworm Bait	 (Minotauros loc via Elder Branch)
Sphere 1:	Big Bridge Key	 (GoGo loc via Submarine Key)
Sphere 2:	Bracelet	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 2:	Trench Page	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 2:	Canal Key	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
All tablets obtained (1 spheres).
All keys obtained.
",True,True,3,1,10,3107008
"Number of sphere zero keys: (9)
Sphere 0:	2nd Tablet	 (Siren loc)
Sphere 0:	Walse Tower Key	 (Magisa & Forza loc)
Sphere 0:	1st Tablet	 (Chim.Brain loc)
Sphere 0:	Elder Branch	 (Puroboros loc)
Sphere 0:	Sandworm Bait	 (Abductor loc)
Sphere 0:	Bracelet	 (Merugene loc)
Sphere 0:	Moogle Suit	 (Ifrit loc)
Sphere 0:	Falls Page	 (Shiva loc)
Sphere 0:	3rd Tablet	 (Crayclaw loc)
Sphere 1:	Canal Key	 (Guardians loc via Elder Branch)
Sphere 1:	Anti Barrier	 (Omniscient loc via Elder Branch)
Sphere 1:	Big Bridge Key	 (Minotauros loc via Elder Branch)
Sphere 2:	Shrine Page	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 2:	Ifrit's Fire	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 2:	Trench Page	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 3:	Adamantite	 (Byblos loc via Ifrit's Fire)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,9,4179542
"Number of sphere zero keys: (11)
Sphere 0:	Anti Barrier	 (WingRaptor loc)
Sphere 0:	Falls Page	 (Karlabos loc)
Sphere 0:	Moogle Suit	 (Siren loc)
Sphere 0:	Elder Branch	 (AdamanTiMi loc)
Sphere 0:	Steamship Key	 (Chim.Brain loc)
Sphere 0:	Shrine Page	 (Titan loc)
Sphere 0:	Submarine Key	 (Abductor loc)
Sphere 0:	Big Bridge Key	 (HiryuuPlant loc)
Sphere 0:	Adamantite	 (Antlion loc)
Sphere 0:	Ifrit's Fire	 (Merugene loc)
Sphere 0:	Pyramid Page	 (Ifrit loc)
Sphere 1:	Canal Key	 (Sol Cannon loc via Adamantite)
Sphere 1:	Trench Page	 (ArchaeAvis loc via Adamantite)
Sphere 1:	4th Tablet	 (Atmos loc via Submarine Key)
Sphere 1:	Bracelet	 (Guardians loc via Elder Branch)
Sphere 1:	Hiryuu Call	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Walse Tower Key	 (Omniscient loc via Elder Branch)
Sphere 1:	Sandworm Bait	 (Minotauros loc via Elder Branch)
Sphere 2:	2nd Tablet	 (Sandworm loc via Sandworm Bait)
Sphere 2:	3rd Tablet	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
All tablets NOT obtained.
All keys obtained.
",True,False,3,0,11,2994753
"Number of sphere zero keys: (7)
Sphere 0:	3rd Tablet	 (Magisa & Forza loc)
Sphere 0:	Hiryuu Call	 (AdamanTiMi loc)
Sphere 0:	2nd Tablet	 (Titan loc)
Sphere 0:	Steamship Key	 (Tyrasaurus loc)
Sphere 0:	Canal Key	 (Antlion loc)
Sphere 0:	Ifrit's Fire	 (Merugene loc)
Sphere 0:	Anti Barrier	 (Bahamut loc)
Sphere 1:	Elder Branch	 (Byblos loc via Ifrit's Fire)
Sphere 1:	1st Tablet	 (LiquiFlame loc via Steamship Key)
Sphere 1:	Bracelet	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Trench Page	 (Guardians loc via Elder Branch)
Sphere 1:	Moogle Suit	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Submarine Key	 (Minotauros loc via Elder Branch)
Sphere 2:	Sandworm Bait	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 3:	Falls Page	 (Sandworm loc via Sandworm Bait)
Sphere 3:	Big Bridge Key	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 4:	4th Tablet	 (Gilgamesh 2 loc via Big Bridge Key)
All tablets obtained (4 spheres).
All keys NOT obtained.
",False,True,100,4,7,4055929
"Number of sphere zero keys: (9)
Sphere 0:	3rd Tablet	 (WingRaptor loc)
Sphere 0:	Big Bridge Key	 (Magisa & Forza loc)
Sphere 0:	Anti Barrier	 (Puroboros loc)
Sphere 0:	Bracelet	 (Tyrasaurus loc)
Sphere 0:	2nd Tablet	 (HiryuuPlant loc)
Sphere 0:	Canal Key	 (Antlion loc)
Sphere 0:	Steamship Key	 (Odin loc)
Sphere 0:	Shrine Page	 (Shiva loc)
Sphere 0:	Submarine Key	 (Crayclaw loc)
Sphere 1:	Moogle Suit	 (LiquiFlame loc via Steamship Key)
Sphere 1:	Elder Branch	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 1:	Trench Page	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 1:	Falls Page	 (Carbunkle loc via Anti Barrier, Bracelet)
Sphere 1:	Pyramid Page	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Ifrit's Fire	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Hiryuu Call	 (Omniscient loc via Elder Branch)
Sphere 1:	1st Tablet	 (Minotauros loc via Elder Branch)
Sphere 1:	4th Tablet	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 2:	Sandworm Bait	 (Byblos loc via Ifrit's Fire)
All tablets obtained (1 spheres).
All keys NOT obtained.
",False,True,100,1,9,3458032
"Number of sphere zero keys: (10)
Sphere 0:	Big Bridge Key	 (Karlabos loc)
Sphere 0:	1st Tablet	 (Siren loc)
Sphere 0:	Walse Tower Key	 (Magisa & Forza loc)
Sphere 0:	Canal Key	 (AdamanTiMi loc)
Sphere 0:	Trench Page	 (Abductor loc)
Sphere 0:	Ifrit's Fire	 (HiryuuPlant loc)
Sphere 0:	Moogle Suit	 (Antlion loc)
Sphere 0:	Bracelet	 (Bahamut loc)
Sphere 0:	Elder Branch	 (Shiva loc)
Sphere 0:	Submarine Key	 (Crayclaw loc)
Sphere 1:	Hiryuu Call	 (Byblos loc via Ifrit's Fire)
Sphere 1:	2nd Tablet	 (Atmos loc via Submarine Key)
Sphere 1:	Shrine Page	 (Guardians loc via Elder Branch)
Sphere 1:	Steamship Key	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Anti Barrier	 (Minotauros loc via Elder Branch)
Sphere 2:	Pyramid Page	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 2:	Falls Page	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 2:	Adamantite	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 3:	Sandworm Bait	 (Sol Cannon loc via Adamantite)
Sphere 3:	3rd Tablet	 (ArchaeAvis loc via Adamantite)
All tablets NOT obtained.
All keys obtained.
",True,False,4,0,10,6840370
"Number of sphere zero keys: (10)
Sphere 0:	Canal Key	 (Karlabos loc)
Sphere 0:	Shrine Page	 (AdamanTiMi loc)
Sphere 0:	Ifrit's Fire	 (Chim.Brain loc)
Sphere 0:	Big Bridge Key	 (Titan loc)
Sphere 0:	Moogle Suit	 (Tyrasaurus loc)
Sphere 0:	Trench Page	 (Antlion loc)
Sphere 0:	4th Tablet	 (Merugene loc)
Sphere 0:	Adamantite	 (Odin loc)
Sphere 0:	Hiryuu Call	 (Ifrit loc)
Sphere 0:	Submarine Key	 (Crayclaw loc)
Sphere 1:	Walse Tower Key	 (Sol Cannon loc via Adamantite)
Sphere 1:	Bracelet	 (ArchaeAvis loc via Adamantite)
Sphere 1:	Anti Barrier	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 1:	1st Tablet	 (Gilgamesh 4 loc via Anti Barrier, Bracelet)
Sphere 1:	Falls Page	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 2:	Sandworm Bait	 (Galura loc via Walse Tower Key)
Sphere 2:	2nd Tablet	 (Sandworm loc via Sandworm Bait)
Sphere 2:	Steamship Key	 (Gilgamesh 1 loc via Anti Barrier)
Sphere 3:	3rd Tablet	 (LiquiFlame loc via Steamship Key)
Sphere 3:	Elder Branch	 (Sergeant & DeathClaw loc via Steamship Key)
All tablets obtained (3 spheres).
All keys obtained.
",True,True,4,3,10,3668666
"Number of sphere zero keys: (5)
Sphere 0:	Pyramid Page	 (Magisa & Forza loc)
Sphere 0:	Adamantite	 (Abductor loc)
Sphere 0:	Sandworm Bait	 (Merugene loc)
Sphere 0:	Hiryuu Call	 (Odin loc)
Sphere 0:	Submarine Key	 (Shiva loc)
Sphere 1:	3rd Tablet	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Shrine Page	 (Sol Cannon loc via Adamantite)
Sphere 1:	Steamship Key	 (Atmos loc via Submarine Key)
Sphere 1:	Falls Page	 (Stalker loc via Shrine Page)
Sphere 1:	1st Tablet	 (GoGo loc via Submarine Key)
Sphere 2:	Canal Key	 (Sergeant & DeathClaw loc via Steamship Key)
Sphere 2:	Ifrit's Fire	 (Leviathan loc via Submarine Key, Falls Page)
Sphere 3:	Big Bridge Key	 (Byblos loc via Ifrit's Fire)
Sphere 3:	Elder Branch	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 3:	Bracelet	 (Guardians loc via Elder Branch)
Sphere 3:	4th Tablet	 (Omniscient loc via Elder Branch)
All tablets NOT obtained.
All keys NOT obtained.
",False,False,100,0,5,4377186
"Number of sphere zero keys: (9)
Sphere 0:	Sandworm Bait	 (WingRaptor loc)
Sphere 0:	Moogle Suit	 (Karlabos loc)
Sphere 0:	Elder Branch	 (Siren loc)
Sphere 0:	Canal Key	 (Magisa & Forza loc)
Sphere 0:	Adamantite	 (Titan loc)
Sphere 0:	Falls Page	 (Tyrasaurus loc)
Sphere 0:	Trench Page	 (HiryuuPlant loc)
Sphere 0:	1st Tablet	 (Antlion loc)
Sphere 0:	Big Bridge Key	 (Shiva loc)
Sphere 1:	Anti Barrier	 (Sandworm loc via Sandworm Bait)
Sphere 1:	Submarine Key	 (ArchaeAvis loc via Adamantite)
Sphere 1:	Ifrit's Fire	 (Gilgamesh 2 loc via Big Bridge Key)
Sphere 1:	3rd Tablet	 (Atmos loc via Submarine Key)
Sphere 1:	2nd Tablet	 (Triton, Neregeid & Phobos loc via Submarine Key, Trench Page)
Sphere 1:	Hiryuu Call	 (Omniscient loc via Elder Branch)
Sphere 1:	Bracelet	 (Minotauros loc via Elder Branch)
Sphere 2:	Walse Tower Key	 (Gilgamesh 3 & Enkidou loc via Hiryuu Call)
Sphere 3:	Shrine Page	 (Galura loc via Walse Tower Key)
Sphere 3:	Steamship Key	 (Stalker loc via Shrine Page)
Sphere 4:	4th Tablet	 (Sergeant & DeathClaw loc via Steamship Key)
All tablets obtained (4 spheres).
All keys obtained.
",True,True,5,4,9,3418669
