crystal,seed
Knight,7341478
Mediator,7341478
Dancer,7341478
Chemist,7341478
BlueMage,7341478
Bard,7341478
MysticKnight,7341478
Monk,7341478
WhiteMage,7341478
Ninja,6698498
Dancer,6698498
WhiteMage,6698498
BlackMage,6698498
Thief,6698498
Chemist,6698498
Monk,6698498
RedMage,6698498
Bard,6698498
Mediator,6698498
Samurai,6698498
TimeMage,6698498
Hunter,6698498
Knight,6698498
Freelancer,6698498
Dragoon,6698498
BlueMage,6698498
Mimic,6698498
Summoner,6698498
Mimic,2541039
Dragoon,2541039
Ninja,2541039
BlueMage,2541039
Thief,2541039
Geomancer,2541039
RedMage,2541039
Knight,1961754
Berserker,1961754
WhiteMage,1961754
Dragoon,1961754
Mimic,1961754
Chemist,1961754
Thief,1961754
RedMage,1961754
MysticKnight,1961754
Samurai,1961754
Mediator,1961754
BlackMage,1961754
TimeMage,1961754
Ninja,1455651
RedMage,1455651
Chemist,1455651
Freelancer,1455651
BlueMage,1455651
Dragoon,1455651
Mimic,1455651
Samurai,1455651
TimeMage,1455651
Thief,1455651
MysticKnight,1455651
BlackMage,1455651
Knight,1455651
Hunter,9306751
WhiteMage,9306751
Berserker,9306751
Chemist,9306751
RedMage,9306751
Bard,9306751
Mediator,9306751
Summoner,9306751
Mimic,9306751
Knight,9306751
Thief,9306751
Monk,9306751
TimeMage,9306751
MysticKnight,9306751
Ninja,9306751
Geomancer,9306751
Dancer,9306751
Dragoon,9306751
BlueMage,9306751
BlueMage,7090102
RedMage,7090102
Summoner,7090102
TimeMage,7090102
BlackMage,7090102
Monk,7090102
BlackMage,5367912
WhiteMage,5367912
Berserker,5367912
Knight,5367912
Hunter,5367912
Geomancer,5367912
Ninja,5367912
Samurai,5367912
RedMage,5367912
Freelancer,5367912
TimeMage,5367912
Dragoon,5367912
Mediator,5367912
Dancer,5367912
Chemist,5367912
Bard,5367912
Monk,5367912
RedMage,4344320
Knight,4344320
Dancer,4344320
MysticKnight,4344320
Geomancer,4344320
Dragoon,5465129
Berserker,5465129
Thief,5465129
TimeMage,5465129
Geomancer,5465129
Knight,5465129
Samurai,5465129
BlackMage,5465129
Mediator,5465129
Summoner,5465129
Mimic,5465129
Bard,5465129
Dancer,5465129
Ninja,5465129
BlueMage,5465129
Summoner,9551699
Berserker,9551699
BlackMage,9551699
TimeMage,9551699
Dragoon,9551699
Thief,9551699
Samurai,9551699
Freelancer,9551699
Mediator,9551699
Knight,9551699
MysticKnight,9551699
Hunter,9551699
Bard,9551699
Freelancer,2866685
BlueMage,2866685
MysticKnight,2866685
Chemist,2866685
Hunter,2866685
WhiteMage,2866685
Dancer,2866685
Dragoon,2866685
Mimic,2866685
Bard,2866685
Monk,2866685
Thief,2866685
RedMage,2866685
BlackMage,2866685
Ninja,2866685
Samurai,2866685
TimeMage,2866685
Geomancer,2866685
Berserker,9392476
Mediator,9392476
TimeMage,9392476
Hunter,9392476
Freelancer,9392476
Knight,9392476
Mimic,9392476
WhiteMage,9392476
Bard,9392476
Dragoon,9392476
Chemist,9392476
Thief,9392476
MysticKnight,9392476
Summoner,9392476
Geomancer,43911
Berserker,43911
Hunter,43911
Mediator,43911
Knight,43911
Summoner,43911
Thief,43911
Dancer,43911
Dragoon,43911
Freelancer,43911
Bard,43911
Samurai,43911
RedMage,43911
Mimic,43911
BlackMage,43911
BlueMage,43911
Ninja,43911
Summoner,6352659
Dragoon,6352659
Thief,6352659
Samurai,6352659
Hunter,6352659
Berserker,6352659
TimeMage,6352659
Mediator,6352659
WhiteMage,6352659
BlueMage,9246526
Dancer,9246526
Geomancer,9246526
Ninja,9246526
BlackMage,9246526
Berserker,9246526
TimeMage,9246526
Dragoon,9246526
MysticKnight,9246526
Samurai,9246526
Summoner,9246526
Freelancer,9246526
Thief,9246526
Bard,9246526
Chemist,9246526
Hunter,9246526
Monk,9246526
MysticKnight,5186604
Mimic,5186604
Dragoon,5186604
Chemist,5186604
Bard,5186604
WhiteMage,5186604
Knight,5186604
TimeMage,5186604
RedMage,5186604
BlackMage,5186604
Freelancer,5186604
BlueMage,5186604
TimeMage,1052351
WhiteMage,1052351
Chemist,1052351
Mediator,1052351
MysticKnight,1052351
Summoner,1052351
Berserker,1052351
Ninja,3425245
Geomancer,3425245
WhiteMage,3425245
Dragoon,3425245
Knight,3425245
Mimic,3425245
Hunter,3425245
Bard,3425245
Chemist,3425245
Freelancer,3425245
RedMage,3425245
Thief,3425245
Samurai,3425245
Mediator,3425245
TimeMage,3425245
BlackMage,2277122
Samurai,2277122
Dancer,2277122
Mediator,2277122
Summoner,2277122
BlueMage,2277122
