shop_name,shop_type,item,seed
Tule Weapon,00,Aero 3,9108847
Tule Weapon,00,None,9108847
Tule Weapon,00,None,9108847
Tule Weapon,00,None,9108847
Tule Weapon,00,None,9108847
Tule Weapon,00,None,9108847
Tule Weapon,00,None,9108847
Tule Weapon,00,None,9108847
Tule Armor,07,Equip Armors,9108847
Tule Armor,07,Equip Harps,9108847
Tule Armor,07,Capture,9108847
Tule Armor,07,Counter,9108847
Tule Armor,07,None,9108847
Tule Armor,07,None,9108847
Tule Armor,07,None,9108847
Tule Armor,07,None,9108847
Tule Inn,01,Guard Ring,9108847
Tule Inn,01,Speed Drink,9108847
Tule Inn,01,OmegaMedl,9108847
Tule Inn,01,Power Staff,9108847
Tule Inn,01,Potion,9108847
Tule Inn,01,HiPotion,9108847
Tule Inn,01,Soft,9108847
Tule Inn,01,Cabin,9108847
Tule Magic,01,Leather Armor,9108847
Tule Magic,01,Power Staff,9108847
Tule Magic,01,Chain Whip,9108847
Tule Magic,01,Brave Blade,9108847
Tule Magic,01,Rune Axe,9108847
Tule Magic,01,Dragon's Whisker,9108847
Tule Magic,01,HiPotion,9108847
Tule Magic,01,Maiden's Kiss,9108847
Carwen Weapon,00,Wall,9108847
Carwen Weapon,00,Haste,9108847
Carwen Weapon,00,TinySong,9108847
Carwen Weapon,00,Flare,9108847
Carwen Weapon,00,None,9108847
Carwen Weapon,00,None,9108847
Carwen Weapon,00,None,9108847
Carwen Weapon,00,None,9108847
Carwen Armor,07,Equip Axes,9108847
Carwen Armor,07,Agility,9108847
Carwen Armor,07,Equip Rods,9108847
Carwen Armor,07,Dimen Lv.6,9108847
Carwen Armor,07,None,9108847
Carwen Armor,07,None,9108847
Carwen Armor,07,None,9108847
Carwen Armor,07,None,9108847
Carwen Inn,01,Darkness Bow,9108847
Carwen Inn,01,Spear,9108847
Carwen Inn,01,Coronet,9108847
Carwen Inn,01,DarkHood,9108847
Carwen Inn,01,Cursed Ring,9108847
Carwen Inn,01,RegalCut,9108847
Carwen Inn,01,Revivify,9108847
Carwen Inn,01,Crystal Shield,9108847
Carwen Magic,01,Ice Bow,9108847
Carwen Magic,01,Thunder Whip,9108847
Carwen Magic,01,Stealth Suit,9108847
Carwen Magic,01,Coral Ring,9108847
Carwen Magic,01,Gungnir,9108847
Carwen Magic,01,Forged,9108847
Carwen Magic,01,Gold Hairpin,9108847
