check,reward,value
12 Kuzar Events Apollo's Harp,Power Drink,1
12 Kuzar Events Earth Bell,IceBrand,1
12 Kuzar Events Flame Whip,Rainbow Dress,1
12 Kuzar Events Holy Lance,Black Robe,1
12 Kuzar Events Sage's Staff,Diamond Armlet,1
12 Kuzar Events Wizard Rod,DiamndPlt,1
"5 potions in Wind Shrine, bottom left guy Potion",Rune Axe,1
"8 potions, Pirate after Torna Canal Key acquired Potion",Mythril Helm,1
Aegis Shield Chest Aegis Shield,Equip Whips,1
Antlion New,Thor Hammer,1
Atmos New,AntiMagic Bow,1
Bahamut New,Thor Hammer,1
Bal Castle Chest Angel Gwn,Angel Gwn,1
Bal Castle Chest Exit,Mimic,1
Bal Castle Chest Hero Drink,Flametongue,1
Barrier Tower Chest 18000,Apollo's Harp,1
Barrier Tower Chest 9000,Giant Drink,1
Barrier Tower Chest Drain Sword,Bronze Armor,1
Barrier Tower Chest Gold Hairpin,Ice Bow,1
Beginner's House Chest 100,Berserk,1
Beginner's House Chest Leather Shoes,Ancient Sword,1
Black Choco Crystals Hunter,Brawl,1
Byblos New,Rune Axe,1
Carwen Barrel Antidote,Air Blade,1
Carwen Box Ice Rod,Katana,1
Carwen Pot 1000,Rune Axe,1
Earth Crystal Chemist,Control,1
Earth Crystal Dancer,Equip Katana,1
Earth Crystal Samurai,Protect Drink,1
Exdeath's Castle Chest DblLance,Kaiser Knuckles,1
Exdeath's Castle Chest Elixir,Water Scroll,1
Exdeath's Castle Chest Ether,Cursed Shield,1
Exdeath's Castle Chest Kotetsu,Rod,1
Exdeath's Castle Chest Partisan,Thunder Whip,1
Exdeath's Castle Chest Pinwheel,Guardian,1
Fire Crystal Geomancer,Conjure,1
Fire Crystal Mediator,Plumed Hat,1
Fire Crystal Ninja,Equip Spears,1
Flying Lonka Ruins Chest Ancient Sword,LuckMallet,1
Flying Lonka Ruins Chest Cabin,Genji Shield,1
Flying Lonka Ruins Chest Ether,DragonFang,1
Flying Lonka Ruins Chest Full Moon,Silver Bow,1
Flying Lonka Ruins Chest Golden Armor,Orialcon,1
Flying Lonka Ruins Chest Golden Shield,Power Staff,1
Flying Lonka Ruins Chest Power Wrist,Ice Rod,1
Fork Tower L. Chest Wonder Wand,Mythril Knife,1
Fork Tower R. Chest Defender Sword,Avis Killer,1
"Fork Tower, two Magics Flare",Magus,1
Gilgamesh 2 New,Genji Gloves,1
Gilgamesh 3 & Enkidou New,Ribbon,1
GoGo New,Dragon's Whisker,1
Great Trench Chest Flame Ring,Ice Rod,1
Hero Song from Crescent Town Hero,Drink,1
Hiryuu Valley Chest Air Blade,Thor Hammer,1
Ifrit New,Wizard Rod,1
Istory Falls Chest Aegis Shield,Mirage Vest,1
Istory Falls Chest Air Lance,Air Lance,1
Istory Falls Chest Ether,Cursed Shield,1
Istory Falls Chest Giant's Axe,Giant's Axe,1
Istory Falls Chest Guard Ring,Sing,1
Istory Falls Chest TurtleShell,Genji Armor,1
Karnak Castle Chest 2000,Glasses,1
Karnak Castle Chest Elf Cape,Black Robe,1
Karnak Castle Chest Elixir,Shoat,2
Karnak Castle Chest Guardian,Assassin,1
Karnak Castle Chest Gungnir,Enhancer,1
Karnak Castle Chest Ribbon,DarkHood,1
Karnak Castle Chest Shuriken,Sage's Staff,1
Karnak Castle Chest Thunder Scroll,Flametongue,1
Karnak Town Barrel Fire Rod,Silver Bow,1
Leviathan New,Masamune,1
Lone Wolf Chest Thunder Whip,Flametongue,1
Love Song at Istory Love,Giant Drink,1
Magisa & Forza Mythril Helm,IceBrand,1
Merugene New,Gold Hairpin,1
Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Dagger,1
Moat Item Epee,Giant Drink,1
Moogle Cave Chest 4400,Chicken Knife,1
Moogle Village Chest 1,Magic Lamp,1
Moogle Village Chest Elf Cape,Soot,1
Mua Forest Chest 2500,Ice Shield,1
Mua Forest Chest Cabin,Cabin,1
Mua Forest Chest Flametongue,Battle Axe,1
Mua Forest Chest Morning Star,Morning Star,1
Mua Forest Chest Phoenix Down,Iron Armor,1
Mua Forest Chest Soot,Flame Whip,1
Mua Town Barrel Guardian,Steal,1
North Mountain Chest Soft,Whip,1
Odin Odin,Thunder Bow,1
Phoenix Tower Pot 10000,DarkMatter,1
Phoenix Tower Pot 15000,Trident,1
Phoenix Tower Pot 20000,Mythril Staff,1
Phoenix Tower Pot 25000,Wall Ring,1
Phoenix Tower Pot 5000,Gauntlets,1
Phoenix Tower Pot Avis Killer,Flame Scroll,1
Phoenix Tower Pot Phoenix Down,Avis Killer,1
Power Song from Crescent Town Power,Dagger,1
Pyramid Chest 10000,Iron Shield,1
Pyramid Chest 12000,Rune Axe,1
Pyramid Chest 9000,Wind Spear,1
Pyramid Chest Black Robe,Mythril Armor,1
Pyramid Chest Cabin,Ice Bow,1
Pyramid Chest Crystal Armor,Golden Shield,1
Pyramid Chest Cursed Ring,Earth Bell,1
Pyramid Chest DarkMatter,Iron Helm,1
Pyramid Chest DarkSuit,Coral Sword,1
Pyramid Chest Earth Hammer,Running Shoes,1
Pyramid Chest Elixir,Golden Helm,1
Pyramid Chest Flame Shield,Bandana,1
Pyramid Chest Ice Shield,Elf Cape,1
Pyramid Chest Ribbon,Ogre Killer,1
Pyramid Chest Thornlet,Glasses,1
Pyramid Chest White Robe,Sage's Staff,1
Pyramid Top Pyramid Tablet,Leather Cap,1
Requiem Song at Kelb Requiem,CornaJar,1
Ribbon from girl in Rugor Ribbon,Mythril Knife,1
Rift (Castle) Chest ManEater,Drain Sword,1
Rift (Castle) Chest Rainbow Dress,Gauntlets,1
Rift (Castle) Chest Red Shoes,Catch,1
Rift (Castle) Chest Running Shoes,Red Shoes,1
Rift (Cave) Chest Angel Ring,Ice Bow,1
Rift (Forest) Chest DragonFang,Dagger,1
Rift (Forest) Chest Ribbon,Diamond Armlet,1
Rift (Ruins) Chest DarkMatter,Training Suit,1
Rift (Ruins) Chest Elixir,Tent,1
Rift (Ruins) Chest Ether,Iron Helm,1
Sandworm New,Tempest,1
Sergeant & DeathClaw New,Crystal Armor,1
Ship Graveyard Chest Antidote,Rod,1
Ship Graveyard Chest Potion,Genji Gloves,1
Siren New,Masamune,1
Sol Cannon New,DiamndPlt,1
Solitary Island Chest 9000,Wall Ring,1
Solitary Island Chest BeastKiller,Katana,1
Solitary Island Chest Circlet,War Hammer,1
Solitary Island Chest Crystal Helm,Ether,1
Solitary Island Chest DarkMatter,Equip Ribbon,1
Solitary Island Chest DragonFang,Air Lance,1
Solitary Island Chest Elixir,Gold Hairpin,1
Solitary Island Chest Ether,Masamune,1
Solitary Island Chest Guard Ring,DblLance,1
Solitary Island Chest Hi-Potion,Stealth Suit,1
Solitary Island Chest Protect Drink,Gungnir,1
Solitary Island Chest RisingSun,Fire Bow,1
Speed Song at Surgate Speed,Medicine,1
Stalker New,Artemis Bow,1
Steamship Chest Cabin,Phoenix Down,1
Steamship Chest Elixir,Angel Ring,1
Steamship Chest GrnBeret,Excailbur,1
Steamship Chest Mythril Glove,DmgFloor,1
Syldra Syldra,Iron Armor,1
Temptation Song at Lix Charm,Ether,1
The Void Chest Ragnarok,Thunder Scroll,1
Titan New,Holy Lance,1
Titan Titan,Thunder Bow,1
Toad Event Toad,Silver Armlet,1
"Triton, Neregeid & Phobos New",Excailbur,1
Tule Barrel Potion,GilToss,1
Tule Box Leather Shoes,Protect Drink,1
Tule Box Tent,Thunder Bow,1
Tule Bush Phoenix Down,Gale Bow,1
Tycoon Castle Barrel Cabin,Barrier,1
Tycoon Castle Barrel Elixir,Partisan,1
Tycoon Castle Barrel Phoenix Down,Tent,1
Tycoon Castle Cabin Cabin,Wizard Rod,1
Tycoon Castle Chest Katana,Wind Spear,1
