shop_name,item,value
Bal/Kelb Armor,DarkMatter,1
Bal/Kelb Armor,Diamond Helm,1
Bal/Kelb Armor,Giant Drink,1
Bal/Kelb Armor,Giant's Axe,1
Bal/Kelb Armor,Maiden's Kiss,1
Bal/Kelb Armor,Sasuke,1
Bal/Kelb Armor,Thunder Scroll,1
Bal/Kelb Armor,Wind Spear,1
Bal/Kelb Weapon,Cursed Ring,1
Bal/Kelb Weapon,DarkHood,1
Bal/Kelb Weapon,Iron Shield,1
Bal/Kelb Weapon,Lumina Robe,1
Bal/Kelb Weapon,Pinwheel,1
Bal/Kelb Weapon,Power Drink,1
Bal/Kelb Weapon,Tempest,1
Bal/Kelb Weapon,Tiger Mask,1
Carwen Armor,Agility,1
Carwen Armor,Dimen Lv.6,1
Carwen Armor,Equip Axes,1
Carwen Armor,Equip Rods,1
Carwen Inn,Coronet,1
Carwen Inn,Crystal Shield,1
Carwen Inn,Cursed Ring,1
Carwen Inn,DarkHood,1
Carwen Inn,Darkness Bow,1
Carwen Inn,RegalCut,1
Carwen Inn,Revivify,1
Carwen Inn,Spear,1
Carwen Magic,Angel Ring,1
Carwen Magic,Coral Ring,1
Carwen Magic,Forged,1
Carwen Magic,Gold Hairpin,1
Carwen Magic,Gungnir,1
Carwen Magic,Ice Bow,1
Carwen Magic,Stealth Suit,1
Carwen Magic,Thunder Whip,1
Carwen Weapon,Flare,2
Carwen Weapon,Haste,1
Carwen Weapon,TinySong,1
Carwen Weapon,Wall,1
Common World 1 Inn,Bolt2,2
Common World 1 Inn,Slow2,1
Common World 1 Inn,Sylph,1
Common World 1 Inn,Vampire,1
Common World 1 Inn,Xzone,1
Common World 2 Inn 1,Ancient Sword,1
Common World 2 Inn 1,Angel Gwn,1
Common World 2 Inn 1,ManEater,1
Common World 2 Inn 1,Mythril Staff,1
Common World 2 Inn 1,Protect Drink,1
Common World 2 Inn 1,Ribbon,1
Common World 2 Inn 1,RisingSun,1
Common World 2 Inn 1,Venom Axe,1
Common World 2 Inn 2,Dance,1
Common World 2 Inn 2,Revive,1
Common World 2 Inn 2,X-Magic,1
Common World 2 Magic 1,Cure2,1
Common World 2 Magic 1,Demi,1
Common World 2 Magic 1,Missile,1
Common World 2 Magic 2,Aim,1
Common World 2 Magic 2,Slash,1
Common World 2 Magic 2,X-Fight,1
Common World 2 Magic 3,Black Lv.5,1
Common World 2 Magic 3,BuildUp,1
Common World 2 Magic 3,Dimen Lv.5,1
Crescent Armor,Old,1
Crescent Armor,Titan,1
Crescent Weapon,Analyze,1
Crescent Weapon,Jump,1
Crescent Weapon,Kick,1
Crescent Weapon,SwdSlap,1
Dwarf Armor,Dimen Lv.3,1
Dwarf Armor,HP +20%,1
Dwarf Armor,MgcSwrd Lv.5,1
Dwarf Armor,MgcSwrd Lv.6,1
Dwarf Magic,Blue,1
Dwarf Magic,Dimen Lv.1,1
Dwarf Magic,MP +30%,1
Dwarf Magic,Summon Lv.3,1
Dwarf Weapon,Bahmut,1
Dwarf Weapon,Bolt,2
Dwarf Weapon,Condemn,1
Dwarf Weapon,Time Slip,1
Istory Relic,Black Lv.3,1
Istory Relic,Observe,1
Istory Relic,White Lv.6,1
Jacole Armor,Cure,1
Jacole Armor,Qrter,1
Jacole Weapon,Hide,1
Jacole Weapon,Throw,1
Karnak Armor,FrogSong,1
Karnak Armor,Hammer,1
Karnak Armor,Hero,1
Karnak Armor,Ramuh,2
Karnak Armor,Remora,1
Karnak Magic 1,Diamond Shield,1
Karnak Magic 1,Ice Shield,1
Karnak Magic 1,Mythril Shield,1
Karnak Magic 1,Power Drink,1
Karnak Magic 1,Shuriken,1
Karnak Magic 1,Soft,1
Karnak Magic 1,Tricorn Hat,1
Karnak Magic 1,Venom Axe,1
Karnak Magic 2,White Lv.4,1
Karnak Magic 2,White Lv.5,1
Karnak Magic 3,Bolt3,2
Karnak Magic 3,Crbnkl,1
Karnak Magic 3,Dispel,1
Karnak Magic 3,Holy,2
Karnak Weapon 1,Air Blade,1
Karnak Weapon 1,DarkMatter,1
Karnak Weapon 1,Earth Hammer,1
Karnak Weapon 1,Eyedrop,1
Karnak Weapon 1,Orialcon,1
Karnak Weapon 1,Training Suit,1
Karnak Weapon 1,War Hammer,1
Karnak Weapon 1,Wind Spear,1
Karnak Weapon 2,Exit,1
Karnak Weapon 2,Heal,1
Karnak Weapon 2,Ice3,2
Kelb Armor,Broadsword,1
Kelb Armor,Cursed Shield,1
Kelb Armor,Elixir,1
Kelb Armor,Ether,1
Kelb Armor,Ice Shield,1
Kelb Armor,Mythril Spear,1
Kelb Armor,Tent,1
Kelb Armor,TurtleShell,1
Kelb Weapon,Bio,2
Kelb Weapon,Emission,1
Kelb Weapon,Fusion,1
Kelb Weapon,Magic,1
Kelb Weapon,Power,1
Lix Armor,Animals,1
Lix Armor,Evade,1
Lix Guild,AntiMagic Bow,1
Lix Guild,Antidote,1
Lix Guild,Fire Rod,1
Lix Guild,Healing Staff,1
Lix Guild,Hero Drink,1
Lix Guild,Maiden's Kiss,1
Lix Guild,ManEater,1
Lix Guild,Venom Rod,1
Lix Inn,Bolt3,2
Lix Inn,Ice2,2
Lix Inn,Life2,1
Lix Inn,Odin,1
Lix Inn,Psych,2
Lix Magic,Cabin,1
Lix Magic,Defender Sword,1
Lix Magic,Elixir,1
Lix Magic,Revivify,2
Lix Magic,Thunder Whip,1
Lix Magic,Training Suit,1
Lix Magic,War Hammer,1
Mirage Armor,Cotton Robe,1
Mirage Armor,Elixir,1
Mirage Armor,Excalibur,1
Mirage Armor,Rune Chime,1
Mirage Armor,Thornlet,1
Mirage Guild,Angel Ring,1
Mirage Guild,DiamndPlt,1
Mirage Guild,Dream Harp,1
Mirage Guild,Eyedrop,1
Mirage Guild,Flail,1
Mirage Guild,Gaia Gear,1
Mirage Guild,Gauntlets,1
Mirage Guild,Shuriken,1
Mirage Inn 1,DragonFang,1
Mirage Inn 1,Elf Cape,1
Mirage Inn 1,Healing Staff,1
Mirage Inn 1,IceBrand,1
Mirage Inn 1,LuckMallet,1
Mirage Inn 1,Power Staff,1
Mirage Inn 1,Ragnarok,1
Mirage Inn 1,Thief Knife,1
Mirage Inn 2,Combine,1
Mirage Inn 2,Preemptive,1
Mirage Magic 1,Antidote,1
Mirage Magic 1,Ether,1
Mirage Magic 1,Eyedrop,1
Mirage Magic 1,Golden Shield,1
Mirage Magic 1,Ice Bow,1
Mirage Magic 1,Phoenix Down,1
Mirage Magic 1,Power Wrist,1
Mirage Magic 1,Protect Drink,1
Mirage Magic 2,Black Lv.4,1
Mirage Magic 2,Dbl Grip,1
Mirage Magic 2,Image,2
Mirage Relic,Cover,1
Mirage Relic,Equip Bows,1
Mirage Relic,White Lv.1,1
Mirage Weapon,Coral Sword,1
Mirage Weapon,DoomCut,1
Mirage Weapon,Dragoon Lance,1
Mirage Weapon,Fire Bow,1
Mirage Weapon,Flail,1
Mirage Weapon,Golden Shield,1
Mirage Weapon,Murasume,1
Mirage Weapon,Pinwheel,1
Mua Armor,Ifrit,1
Mua Armor,Mute,2
Mua Armor,Psych,2
Mua Armor,Scan,1
Mua Armor,Shell,1
Mua Magic 1,AntiMagic Bow,1
